"Activation Key Required","要求激活密钥"
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","请<a href=\"%s\">升级 WordPress</a>，或 <a href=\"%s\">将 Akismet 插件降级至 2.4 版本</a>。"
"Comment History","评论历史"
"Settings","设置"
"Cheatin&#8217; uh?","开玩笑，呵？"
"Your key has been cleared.","您的密钥已被清除。"
"Your key has been verified. Happy blogging!","您的密钥验证通过。祝您使用愉快！"
"The key you entered is invalid. Please double-check it.","输入的密钥无效，请确认。"
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","无法建立到 akismet.com 的连接，因此无法验证您输入的密钥是否有效。请检查您的服务器配置。"
"There was a problem connecting to the Akismet server. Please check your server configuration.","无法连接到 Akismet 服务器。请检查您的服务器配置。"
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","请输入 API 密钥（<a href=\"%s\" style=\"color:#fff\">注册一个。</a>）"
"This key is valid.","密钥有效。"
"This key is invalid.","密钥无效。"
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","如下密钥曾经通过了验证，不过目前无法连接到 Akismet 服务器。请检查您的服务器配置。"
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","您的 WordPress 地址（URL）%s 不正确。请<a href=\"%s\">修正此选项</a>。"
"Options saved.","设置已保存。"
"Akismet Configuration","Akismet 配置"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>注册成功！</strong>请查收电子邮件，并在下面填入您收到的 Akismet API 密钥（Akismet API Key）。"
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","对大多数人来说，<a href=\"%s\">Akismet</a> 将大量减少甚至彻底消灭垃圾评论和不良 trackback 引用通告。即使有漏网之鱼，您只需将其标成“垃圾评论”，然后 Akismet 会自动从失误中学习。若您还没有 API 密钥，您可从 <a href=\"%s\">Akismet.com</a> 得到一个。"
"Akismet API Key","Akismet API 密钥"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">这是什么？</a>"
"Why might my key be invalid?","为什么我的密钥会无效呢？"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","现在的问题有两个可能原因：您拷贝错了密钥，或者插件不能连接到 Akismet 服务器（可能这是您的 web 服务器上的防火墙所导致的）。"
"Auto-delete spam submitted on posts more than a month old.","自动删除一个月前的垃圾评论。"
"Show the number of comments you've approved beside each comment author.","在评论者名字旁边显示此人评论获准的次数。"
"Update options &raquo;","更新设置 &raquo;"
"Server Connectivity","服务器连接状态"
"Network functions are disabled.","网络功能被禁用。"
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","您的主机似乎禁用了 PHP 的 <code>fsockopen</code> 或 <code>gethostbynamel</code> 函数。<strong>在此问题修复之前，Akismet 无法工作。</strong>请联系您的主机服务管理员或防火墙管理员，并向他们提供 <a href=\"%s\" target=\"_blank\">Akismet 的运行环境要求</a>。"
"Unable to reach some Akismet servers.","无法连接到部分 Akismet 服务器。"
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","网络问题或是防火墙的屏蔽导致我们无法连接到部分 Akismet.com 服务器。Akismet 依旧可以工作，但是在网络堵塞时可能出现一些问题。请联系您的主机托管商或防火墙管理员，向他们提供 <a href=\"%s\" target=\"_blank\">Akismet 与防火墙共同工作时需要注意的事项</a>。"
"Unable to reach any Akismet servers.","无法连接任何 Akismet 服务器。"
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","网络问题或是防火墙的屏蔽导致我们无法连接到部分 Akismet.com 服务器。<strong>Akismet 在您修复这个问题之前无法正常工作。</strong>请联系您的主机托管商或防火墙管理员，向他们提供 <a href=\"%s\" target=\"_blank\">Akismet 与防火墙共同工作时需要注意的事项</a>。"
"All Akismet servers are available.","所有 Akismet 服务器均可用。"
"Akismet is working correctly.  All servers are accessible.","Akismet 工作正常。所有服务器均可被访问到。"
"Unable to find Akismet servers.","无法找到 Akismet 服务器。"
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS 问题或防火墙的屏蔽导致我们完全无法连接到 Akismet.com。<strong>Akismet 在您修复这个问题之前无法正常工作。</strong>请联系您的主机托管商或防火墙管理员，向他们提供 <a href=\"%s\" target=\"_blank\">Akismet 与防火墙共同工作时需要注意的事项</a>。"
"Akismet server","Akismet 服务器"
"Network Status","网络状态"
"Accessible","可访问"
"Re-trying","正在重试"
"Last checked %s ago.","上次检查在 %s之前。"
"Check network status &raquo;","检查网络状态 &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">点击这里</a>确认<a href=\"%s\" target=\"_blank\">Akismet.com 是否已经宕机了</a>。"
"Spam","垃圾站点"
"Akismet is almost ready.","Akismet 即将就绪。"
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","您须<a href=\"%s\">输入一个 WordPress.com API 密钥</a>来使其正常工作。"
"Akismet has detected a problem.","Akismet 检测到一个问题。"
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","有些评论 Akismet 还没有检查过，因此我们不确定它们是否为垃圾评论。这部分评论暂时被设为待审状态。请检查您的 <a href=\"%s\">Akismet 配置</a>，如果问题持续存在，请联系您的主机服务提供商。"
"Awaiting spam check","等待垃圾检查"
"Flagged as spam by Akismet","由 Akismet 标记为垃圾评论"
"Cleared by Akismet","由 Akismet 核查通过"
"Flagged as spam by %s","由 %s 标记为垃圾"
"Un-spammed by %s","由 %s 取消标记为垃圾"
"View comment history","查看评论历史"
"History","历史"
"%s ago","%s前"
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> 保护您的博客，使其免受垃圾评论的困扰。"
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","目前<a href='%s'>垃圾评论队列</a>为空。"
"Check for Spam","检查垃圾评论"
"%s reported this comment as not spam","%s 认定这不是垃圾评论"
"%s reported this comment as spam","%s 认定这是垃圾评论"
"%s changed the comment status to %s","%s 将评论状态改为 %s"
"Akismet re-checked and caught this comment as spam","经 Akismet 复查，我们新截获了此条评论"
"Akismet re-checked and cleared this comment","Akismet 复查了此条评论，现在认为它不是垃圾邮件了"
"Akismet was unable to re-check this comment (response: %s)","Akismet 无法复查此条评论（回应：%s）"
"Akismet Stats","Akismet 统计"
"Akismet caught this comment as spam","Akismet 认为这是垃圾评论"
"Comment status was changed to %s","评论状态改为 %s"
"Akismet cleared this comment","Akismet 检查通过了此评论"
"Comment was caught by wp_blacklist_check","评论由 wp_blacklist_check 截获"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet 无法复查此条评论（回应：%s），将尽快自动重试。"
"Akismet caught this comment as spam during an automatic retry.","经过自动重新检查，Akismet 认定这是垃圾评论。"
"Akismet cleared this comment during an automatic retry.","Akismet 经自动重试后，认定它不是垃圾评论。"
"Akismet Spam (%s)","Akismet 反垃圾评论 (%s)"
"Akismet Spam","Akismet 反垃圾"
"You do not have sufficient permission to moderate comments.","您没有审核评论的权限。"
"%s comments recovered.","%s 条评论被恢复。"
"All spam deleted.","已删除所有垃圾评论。"
"Caught Spam","截获到的垃圾评论"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","您安装 Akismet 以来，它已为您截获了 <strong>%s 条垃圾评论</strong>。"
"You have no spam currently in the queue. Must be your lucky day. :)","干净的一天。您门前没有任何垃圾。"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","您只需按一下鼠标就可以删除全部垃圾评论。因为该操作无法撤销，您可能需要先检查一下以确保没有正常的评论被误认为垃圾评论。被认定为垃圾的评论会在 15 天后自动被系统删除。"
"There are currently %s comments identified as spam.","现在有 %s 条评论被认定为垃圾评论。"
"Delete all","全部删除"
"Search","搜索"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","这些是最近被 Akismet 认定为垃圾的评论。如果您发现任何错误，您只需将它标成“不是垃圾”，然后 Akismet 会自动学习并纠正错误。如果您希望恢复一条被误标成垃圾的评论，请选中它，然后点击 “不是垃圾”。15 天后，垃圾将被自动清除。"
"All","全部"
"Comments","条评论"
"Search Spam &raquo;","搜索垃圾评论 &raquo;"
"&laquo; Previous Page","&laquo; 上一页"
"Next Page &raquo;","下一页 &raquo;"
"IP:","IP："
"Not Spam","不是垃圾"
"View Post","查看文章"
"De-spam marked comments &raquo;","不是垃圾评论 &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","您认为不是垃圾的评论的信息将被提交到 Akismet。它将自动进行学习，不断变得更加准确。"
"No results found.","无结果。"
"Recheck Queue for Spam","重新检查垃圾评论队列"
"Akismet Widget","Akismet 挂件"
"Display the number of spam comments Akismet has caught","显示 Akismet 捕获到的垃圾评论数目"
"Spam Blocked","已屏蔽的垃圾评论"
"Title:","标题："
"About WordPress","关于 WordPress"
"http://wordpress.org/","http://cn.wordpress.org/"
"Documentation","文档"
"http://codex.wordpress.org/","http://codex.wordpress.org/zh-cn:Main_Page"
"Support Forums","支持论坛"
"http://wordpress.org/support/","http://zh-cn.forums.wordpress.org/"
"Feedback","反馈"
"http://wordpress.org/support/forum/requests-and-feedback","http://zh-cn.forums.wordpress.org/forum/suggestions"
"Howdy, %s","您好，%s"
"My Account","我的帐户"
"Edit My Profile","编辑我的个人资料"
"Log Out","登出"
"Network Admin: %s","管理网络：%s"
"Global Dashboard: %s","全局仪表盘：%s"
"Visit Site","查看站点"
"Edit Site","编辑站点"
"Dashboard","仪表盘"
"My Sites","我的站点"
"Network Admin","管理网络"
"Sites","站点"
"Users","位用户"
"Visit Network","访问网络"
"New Post","写文章"
"Manage Comments","管理评论"
"Shortlink","短链接"
"Link","链接"
"User","用户"
"New","新"
"Add New","添加用户"
"Themes","主题"
"Customize","自定义"
"Widgets","小工具"
"Menus","菜单"
"Background","背景"
"Header","顶部"
"XML error: %s at line %d","XML 错误：在 %d 行有 %s 错误"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","若您不希望值被输出，请换用 <code>get_the_author()</code>。"
"Visit %s&#8217;s website","访问 %s 的站点"
"Posts by %s","由 %s 发布"
"Last updated: %s","最后更新：%s"
"Bookmarks","书签"
"Use <code>WP_User->ID</code> instead.","请换用 <code>WP_User->ID</code>。"
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","插件和主题中，用户等级的使用已不被支持。请换用角色和权限。"
"View all posts in %s","查看 %s 中的全部文章"
"Uncategorized","未分类"
"No categories","没有分类目录"
"Categories","分类目录"
"View all posts filed under %s","查看 %s 下的所有文章"
"Feed for all posts filed under %s","%s 下所有文章的 feed"
"Tags:","标签："
"A valid URL was not provided.","URL 无效。"
"User has blocked requests through HTTP.","用户阻止了 HTTP 请求。"
"Destination directory for file streaming does not exist or is not writable.","文件流的目标目录不存在或不可写。"
"There are no HTTP transports available which can complete the requested request.","没有可以完成请求的 HTTP 传输器。"
"Could not open handle for fopen() to %s","无法打开 fopen() 句柄到 %s"
"Too many redirects.","重定向过多。"
"Malformed URL: %s","URL 形式错误：%s"
"No server specified","未指定服务器"
"Error","错误"
"no login ID submitted","未提交登录 ID"
"connection not established","无法建立连接"
"No password submitted","未提交密码"
"Authentication failed","验证失败"
"No connection to server","无法连接到服务器"
"No login ID submitted","未提交登录 ID"
"No server banner","没有服务器消息"
"abort","中止"
"apop authentication failed","apop 认证失败"
"Premature end of list","列表过早结束"
"Empty command string","命令字符串为空"
"connection does not exist","连接不存在"
"No msg number submitted","未提交消息号码"
"Command failed","命令执行失败"
"The menu ID should not be empty.","目录 ID 不能为空。"
"Skip to toolbar","跳至工具栏"
"Top navigation toolbar.","顶部导航工具栏。"
"&mdash; Select &mdash;","&mdash; 选择 &mdash;"
"Default","默认"
"Hex Value","十六进制值"
"Upload","上传"
"Remove","移除"
"No Image","不设图像"
"Upload New","上传新的"
"Uploaded","已上传的"
"Remove Image","删除图像"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","您设备上的网页浏览器不能上传文件。但是您可以通过<a href=\"http://wordpress.org/extend/mobile/\">适合您设备的原生 app</a> 来上传文件。"
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","将文件拖到这里，或直接<a href=\"#\" class=\"upload\">选择文件</a>。"
"Select File","选择文件"
"Background Image","背景图像"
"Header Image","顶部图像"
"Random Default Image","随机预设图片"
"Random Uploaded Image","随机上传文件"
"Site Title & Tagline","站点标题和副标题"
"Site Title","站点标题"
"Tagline","副标题"
"Colors","颜色"
"Display Header Text","显示顶部文字"
"Header Text Color","顶部文字颜色"
"Background Color","背景颜色"
"Background Repeat","重复背景"
"No Repeat","不重复"
"Tile","平铺"
"Tile Horizontally","水平平铺"
"Tile Vertically","竖直平铺"
"Background Position","背景位置"
"Left","左"
"Center","中"
"Right","右"
"Background Attachment","背景附着方式"
"Fixed","固定"
"Scroll","随内容滚动"
"Navigation","导航菜单"
"You can edit your menu content on the Menus screen in the Appearance section.","菜单内容可在“外观”的“菜单”页面进行编辑"
"Static Front Page","静态首页"
"Your theme supports a static front page.","您的主题提供静态首页支持。"
"Front page displays","首页显示"
"Your latest posts","您的最新文章"
"A static page","一个静态页面"
"Front page","首页"
"Posts page","文章页"
"Text","文本"
"Visual","可视化"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","英语=en,丹麦语=da,荷兰语=nl,芬兰语=fi,法语=fr,德语=de,意大利语=it,波兰语=pl,葡萄牙语=pt,西班牙语=es,瑞典语=sv"
"Update","更新"
"Save","保存"
"Exit fullscreen","退出全屏"
"Bold (Ctrl + B)","粗体 (Ctrl + B)"
"Italic (Ctrl + I)","斜体 (Ctrl + I)"
"Unordered list (Alt + Shift + U)","非序号式列表 (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","序号式列表 (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","引用文段 (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","插入或编辑图像 (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","插入或编辑链接 (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","取消链接 (Alt + Shift + S)"
"Help (Alt + Shift + H)","帮助 (Alt + Shift + H)"
"Updated.","已更新。"
"Saved.","已保存。"
"Enter title here","在此键入标题"
"Word count: %s","字数：%s"
"Just write.","尽情写作吧。"
"Y/m/d","Y-m-d"
"Enter the destination URL","输入目标 URL"
"Title","标题"
"Open link in a new window/tab","在新窗口或标签页打开链接"
"Or link to existing content","或链接到站点中的内容"
"No search term specified. Showing recent items.","未指定搜索条件。自动显示近期条目。"
"Add Link","添加链接"
"Cancel","取消"
"File doesn&#8217;t exist?","“%s”文件不存在？"
"File is not an image.","文件类型不是图像。"
"Could not read image size.","无法读取图像尺寸。"
"Image resize failed.","图像大小调整失败。"
"Could not calculate resized image dimensions","无法计算调整后图像的尺寸"
"Image crop failed.","图像剪裁失败。"
"Image rotate failed.","图像旋转失败。"
"Image flip failed.","图像翻转失败。"
"Image Editor Save Failed","图像编辑器保存失败"
"Could not read image size","无法读取图像尺寸"
"The theme directory does not exist.","主题目录不存在。"
"Stylesheet is missing.","缺少样式表。"
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","错误：主题目录是个空目录或主题目录不存在。请检查主题是否安装妥当。"
"Stylesheet is not readable.","样式表文件不可读。"
"Template is missing.","模板丢失。"
"The parent theme is missing. Please install the \"%s\" parent theme.","缺失父级主题。请安装“%s”父级主题。"
"The \"%s\" theme is not a valid parent theme.","“%s”是无效的父主题。"
"Visit author homepage","访问作者主页"
"Anonymous","匿名"
",","、"
"XML-RPC services are disabled on this site.","本站点禁用 XML-RPC 服务。"
"Incorrect username or password.","用户名或密码不正确。"
"Software Name","软件名称"
"Software Version","软件版本"
"Site URL","站点 URL"
"Home URL","首页 URL"
"Image default link type","图像默认链接类型"
"Image default size","图像默认尺寸"
"Image default align","图像默认对齐方式"
"Template","模板"
"Stylesheet","样式表"
"Post Thumbnail","文章缩略图"
"Time Zone","时区"
"Site Tagline","站点副标题"
"Date Format","日期格式"
"Time Format","时间格式"
"Allow new users to sign up","允许新用户注册"
"Thumbnail Width","缩略图宽度"
"Thumbnail Height","缩略图高度"
"Crop thumbnail to exact dimensions","裁剪缩略图到特定尺寸"
"Medium size image width","中等尺寸图像的宽度"
"Medium size image height","中等尺寸图像的高度"
"Large size image width","大尺寸图像的宽度"
"Large size image height","大尺寸图像的高度"
"Allow people to post comments on new articles","允许他人在新文章上发表评论"
"Allow link notifications from other blogs (pingbacks and trackbacks)","接受从其它博客的链接通知（pingback 和 trackback）"
"Insufficient arguments passed to this XML-RPC method.","该 XML-RPC 方法需要更多参数。"
"Invalid post type","无效的文章类型"
"Invalid post ID.","文章 ID 无效。"
"Sorry, you are not allowed to edit this post.","抱歉，您没有修改这篇文章的权限。"
"The post type may not be changed.","不可修改文章类型。"
"Sorry, you are not allowed to post on this site.","抱歉，您无权在本站点进行发布。"
"Sorry, you are not allowed to create private posts in this post type","抱歉，您不能将这种文章类型发布成私密文章"
"Sorry, you are not allowed to publish posts in this post type","抱歉，您不能发布这种文章类型的文章"
"Sorry, you are not allowed to create password protected posts in this post type","抱歉，您不能为这种文章类型设置密码"
"You are not allowed to create posts as this user.","您所登录的帐户不能创建文章。"
"Invalid author ID.","作者 ID 无效。"
"Sorry, you cannot stick a private post.","抱歉，您不能置顶私密的文章。"
"Sorry, you are not allowed to stick this post.","抱歉，您无权置顶这篇文章。"
"Invalid attachment ID.","无效附件 ID。"
"Sorry, one of the given taxonomies is not supported by the post type.","抱歉，文章类型不支持您的分类法。"
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","抱歉，您无权向某些分类法指定项目。"
"Invalid term ID","条目 ID 无效"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","层级分类法项名不明确，请指定项目的 ID。"
"Sorry, you are not allowed to add a term to one of the given taxonomies.","抱歉，您无权向某些分类法添加项目。"
"Sorry, your entry could not be posted. Something wrong happened.","抱歉，无法发布您的文章。发生了错误。"
"There is a revision of this post that is more recent.","数据库中存在比文章当前状态还新的版本。"
"Sorry, you are not allowed to delete this post.","抱歉，您无权删除该文章。"
"The post cannot be deleted.","不能删除这篇文章。"
"Sorry, you cannot edit this post.","抱歉，您不能编辑这篇文章。"
"The post type specified is not valid","指定的文章类型无效"
"Sorry, you are not allowed to edit posts in this post type","抱歉，您不能编辑这种类型的文章"
"Invalid taxonomy","分类法无效"
"You are not allowed to create terms in this taxonomy.","您无权向这个分类法添加项目。"
"The term name cannot be empty.","项目名称不能留空。"
"This taxonomy is not hierarchical.","该分类法不具层级关系。"
"Parent term does not exist.","父项目不存在。"
"Sorry, your term could not be created. Something wrong happened.","抱歉，无法创建这个项目。发生了未知错误。"
"You are not allowed to edit terms in this taxonomy.","您无权编辑该分类法下的项目。"
"This taxonomy is not hierarchical so you can't set a parent.","该分类法不具层级关系，因此不能为其设置父级。"
"Sorry, editing the term failed.","抱歉，项目编辑失败。"
"You are not allowed to delete terms in this taxonomy.","您无权删除该分类法下的项目。"
"Sorry, deleting the term failed.","抱歉，项目删除失败。"
"You are not allowed to assign terms in this taxonomy.","您无权为该分类法指定项目。"
"Sorry, you cannot edit users.","抱歉，您不能编辑用户。"
"Invalid user ID","用户 ID 无效"
"Sorry, you cannot list users.","抱歉，您不能列用户。"
"The role specified is not valid","指定的角色无效"
"Sorry, you cannot edit your profile.","抱歉，您不能编辑您的个人资料。"
"Sorry, the user cannot be updated.","抱歉，不能更新此用户的信息。"
"Sorry, you cannot edit this page.","抱歉，您不能编辑此页面。"
"Sorry, no such page.","抱歉，此页面不存在。"
"Sorry, you cannot edit pages.","抱歉，您不能编辑页面。"
"Sorry, you do not have the right to delete this page.","抱歉，您无权删除这个页面。"
"Failed to delete the page.","页面删除失败。"
"Sorry, you do not have the right to edit this page.","抱歉，您没有编辑此页面的权限。"
"Sorry, you cannot edit posts on this site.","抱歉，不能编辑本站点中的文章。"
"Sorry, you must be able to edit posts on this site in order to view tags.","抱歉，您必须有编辑本站点文章的权限，才能浏览标签。"
"Sorry, you do not have the right to add a category.","抱歉，您没有添加分类目录的权限。"
"Sorry, the new category failed.","抱歉，新建分类目录失败。"
"Sorry, you do not have the right to delete a category.","抱歉，您没有删除分类目录的权限。"
"Sorry, you must be able to edit posts to this site in order to view categories.","抱歉，您必须有在本站点编辑文章的权限，才能浏览分类目录。"
"You are not allowed to moderate comments on this site.","您没有在本站点审核评论的权限。"
"Invalid comment ID.","评论 ID 无效。"
"Sorry, you cannot edit comments.","抱歉，您不能编辑评论。"
"Invalid comment status.","评论状态无效。"
"Sorry, the comment could not be edited. Something wrong happened.","抱歉，出错了。不能编辑。"
"You must be registered to comment","注册后方可发表评论"
"Comment author name and email are required","评论作者必须填写姓名和电子邮件"
"A valid email address is required","必须提供有效的电子邮箱地址"
"You are not allowed access to details about this site.","您不能浏览本站点的详细信息。"
"You are not allowed access to details about comments.","您无权查看评论的详细内容。"
"You are not allowed to update options.","您没有更改设置的权限。"
"You do not have permission to upload files.","您没有上传文件的权限。"
"Sorry, you are not allowed to edit this post type.","抱歉，您不能编辑这种类型的文章。"
"Invalid post ID","文章 ID 无效"
"Sorry, you are not allowed to edit posts.","抱歉，您没有编辑这篇文章的权限。"
"Sorry, revisions are disabled.","抱歉，修订版本记录功能已关闭。"
"Sorry, you do not have access to user data on this site.","抱歉，您无权访问本站点的用户数据。"
"Either there are no posts, or something went wrong.","没有文章，或发生了其它异常。"
"Sorry, that file cannot be edited.","抱歉，您不能编辑这个文件。"
"Sorry, no such post.","抱歉，无此文章。"
"Sorry, you do not have the right to edit this post.","抱歉，您无权编辑这篇文章。"
"Sorry, you do not have the right to publish this post.","抱歉，您无权发布这篇文章。"
"For some strange yet very annoying reason, this post could not be edited.","由于某个奇怪的原因，无法编辑这篇文章。"
"Sorry, you do not have the right to delete this post.","抱歉，您无权删除这篇文章。"
"For some strange yet very annoying reason, this post could not be deleted.","由于某个奇怪的原因，无法删除这篇文章。"
"Sorry, you are not allowed to publish pages on this site.","抱歉，您无权在本站点发布页面。"
"Sorry, you are not allowed to publish posts on this site.","抱歉，您无权在本站点发布文章。"
"Invalid post format","无效文章形式"
"You are not allowed to create pages as this user.","您无权以该用户的身份创建页面。"
"You are not allowed to change the post author as this user.","您无法以当前用户的身份更改文章作者。"
"You are not allowed to change the page author as this user.","您无法以当前用户的身份更改页面作者。"
"Sorry, you do not have the right to publish this page.","抱歉，您无权编辑发布这个页面。"
"Sorry, your entry could not be edited. Something wrong happened.","抱歉，无法编辑该条目。发生了异常错误。"
"Sorry, you must be able to edit posts on this site in order to view categories.","抱歉，您必须有在本站点编辑文章的权限，才能浏览分类目录。"
"Could not write file %s (%s)","无法写文件 %s（%s）"
"Sorry, you can not edit this post.","抱歉，您不能编辑这篇文章。"
"Sorry, you cannot publish this post.","抱歉，您不可以发布这篇文章。"
"Is there no link to us?","是否没有我们的链接？"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","指定的目标 URL 无法作为目标使用。可能因为目标不存在，或不是一个可供 pingback 的资源。"
"The source URL and the target URL cannot both point to the same resource.","源 URL 和目标 URL 不能指向同一资源。"
"The pingback has already been registered.","此 pingback 已被注册过了。"
"The source URL does not exist.","源 URL 不存在。"
"We cannot find a title on that page.","我们没有找到页面标题。"
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","源 URL 不包含目标 URL 的链接，因此无法作为源。"
"Pingback from %s to %s registered. Keep the web talking! :-)","自 %s，到 %s 的 pingback 引用通告注册成功。保持 web 交流畅通 :-)"
"The specified target URL does not exist.","指定的目标 URL 不存在。"
"%s Comments","%s 条评论"
"No Comments","没有评论"
"1 Comment","一条评论"
"Comment","评论"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","若您不希望值被输出，请换用 <code>get_trackback_url()</code>。"
"Comments Off","评论关闭"
"Enter your password to view comments.","要查看留言请输入您的密码。"
"Comment on %s","《%s》上的评论"
"Reply","回复"
"Log in to Reply","登录以回复"
"Leave a Comment","发表评论"
