"Activation Key Required","Требуется ключ активации"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Нажмите здесь</a>, чтобы убедиться, что <a href=\"%s\" target=\"_blank\">Akismet.com работает</a>."
"Spam","спам-комментария"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> защитил ваш сайт от <a href=\"%s\">%s спам-комментариев</a>."
"Akismet is almost ready.","Akismet почти включён."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Чтобы работать с ним, нужно <a href=\"%s\">ввести API-ключ Akismet</a>."
"Akismet has detected a problem.","Akismet обнаружил проблему."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Некоторые комментарии Akismet ещё не проверил. Они временно помещены в очередь на модерацию. Пожалуйста, перепроверьте <a href=\"%s\">настройки Akismet</a> и обратитесь к хостинг-провайдеру, если проблема не решится."
"Awaiting spam check","В ожидании проверки на спам"
"Flagged as spam by Akismet","Помечен плагином Akismet как спам"
"Cleared by Akismet","Одобрен плагином Akismet"
"Flagged as spam by %s","Помечен пользователем %s как спам"
"Un-spammed by %s","Помечен пользователем %s как не спам"
"View comment history","Посмотреть историю комментария"
"History","История"
"%s approved","%s одобрены"
"%s ago","%s назад"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> защитил ваш сайт от %s спам-комментария."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> защитил ваш сайт от %s спам-комментариев."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> защищает ваш блог от спама. "
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Сейчас в очереди спама <a href=\"%s\">%s комментарий</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Сейчас в очереди спама <a href=\"%s\">%s комментария</a>."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","В настоящий момент <a href='%s'>очередь спама</a> пуста."
"Check for Spam","Проверить на спам"
"%s reported this comment as not spam","Пользователь %s пометил этот комментарий как не спам."
"%s reported this comment as spam","Пользователь %s пометил этот комментарий как спам."
"%s changed the comment status to %s","Пользователь %s изменил статус комментария на %s"
"Akismet re-checked and caught this comment as spam","Akismet перепроверил этот комментарий и пометил его как спам"
"Akismet re-checked and cleared this comment","Akismet перепроверил этот комментарий и одобрил его"
"Akismet was unable to re-check this comment (response: %s)","Akismet не смог перепроверить этот комментарий (ответ: %s)"
"Akismet Stats","Статистика Akismet"
"Akismet caught this comment as spam","Akismet пометил этот комментарий как спам"
"Comment status was changed to %s","Статус комментария был изменён на %s"
"Akismet cleared this comment","Akismet одобрил этот комментарий"
"Comment was caught by wp_blacklist_check","Комментарий задержан функцией wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet не смог проверить этот комментарий (ответ: %s), позже будет предпринята повторная попытка."
"Akismet caught this comment as spam during an automatic retry.","Akismet пометил этот комментарий как спам при повторной проверке."
"Akismet cleared this comment during an automatic retry.","Akismet одобрил этот комментарий при повторной проверке."
"Akismet Spam (%s)","Фильтр Akismet (%s)"
"Akismet Spam","Фильтр Akismet"
"You do not have sufficient permission to moderate comments.","У вас недостаточно полномочий, чтобы модерировать комментарии."
"%s comments recovered.","Комментарии (%s) восстановлены. "
"All spam deleted.","Весь спам удалён."
"Caught Spam","Возможный спам"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet отловил уже кучу спама (<strong>%s</strong>) со времени установки."
"You have no spam currently in the queue. Must be your lucky day. :)","У вас нет спама. Удачный день :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Вы можете удалить весь спам из базы данных одним нажатием кнопки. Это действие необратимо, поэтому сначала убедитесь, что в список не попали полезные комментарии. Спам автоматически удаляется по истечении 15 дней, об этом не стоит беспокоиться."
"There are currently %s comments identified as spam.","Комментарии (%s) определены как спам."
"Delete all","Удалить все"
"Search","Поиск"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Это последние комментарии, которые фильтр Akismet определил как спам. Если вы увидели, что по ошибке в них были зачислены нормальные комментарии, просто пометьте их как &laquo;не спам&raquo;, и Akismet будет уведомлён. Чтобы восстановить комментарий из спама, просто выберите его и нажмите &laquo;Не спам&raquo;. По истечении 15 дней произойдёт очистка."
"All","Все"
"Comments","комментария"
"Search Spam &raquo;","Искать спам &raquo;"
"&laquo; Previous Page","&larr; Предыдущая страница"
"Next Page &raquo;","Следующая страница &rarr;"
"Not Spam","Не спамер"
"View Post","Просмотреть запись"
"De-spam marked comments &raquo;","Пометить выделенные комментарии как НЕ спам &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Комментарии, помеченные как не-спам, будут отправлены в Akismet, чтобы система обучалась и становилась лучше."
"No results found.","Результатов не найдено."
"Recheck Queue for Spam","Заново проверить комментарии на спам"
"Akismet Widget","Виджет Akismet"
"Display the number of spam comments Akismet has caught","Отображает количество комментариев, которые Akismet пометил как спам"
"Spam Blocked","Статистика спама"
"Title:","Заголовок:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong>Akismet</strong> заблокировал <strong class=\"count\">%s спамеров</strong>"
"About WordPress","О WordPress"
"http://wordpress.org/","http://ru.wordpress.org/"
"Documentation","Документация"
"http://codex.wordpress.org/","http://codex.wordpress.org/Заглавная_страница"
"Support Forums","Форумы поддержки"
"http://wordpress.org/support/","http://ru.forums.wordpress.org/"
"Feedback","Обратная связь"
"http://wordpress.org/support/forum/requests-and-feedback","http://ru.forums.wordpress.org/forum/20"
"Howdy, %s","Привет, %s"
"My Account","Моя учётная запись"
"Edit My Profile","Изменить профиль"
"Log Out","Выйти"
"Network Admin: %s","Управление сетью: %s"
"Global Dashboard: %s","Общая консоль: %s"
"Visit Site","Перейти на сайт"
"Edit Site","Редактировать сайт"
"Dashboard","Консоль"
"My Sites","Мои сайты"
"Network Admin","Управление сетью"
"Sites","Сайты"
"Users","пользователей"
"Visit Network","Перейти на сайт сети"
"New Post","Новая запись"
"Manage Comments","Управление комментариями"
"Shortlink","Короткая ссылка"
"Link","Ссылка"
"User","Пользователя"
"New","Новая"
"Add New","Добавить нового"
"%s comment awaiting moderation","%s комментарий ожидает проверки"
"%s comments awaiting moderation","%s комментария ожидают проверки"
"Themes","Темы"
"Customize","Настроить"
"Widgets","Виджеты"
"Menus","Меню"
"Background","Фон"
"Header","Заголовок"
"XML error: %s at line %d","Ошибка XML: %s в строке %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Используйте <code>get_the_author()</code>, если не хотите вывести значение."
"Visit %s&#8217;s website","Перейти на сайт %s"
"Posts by %s","Записи %s"
"Last updated: %s","Последнее изменение: %s"
"Bookmarks","Закладки"
"Use <code>WP_User->ID</code> instead.","Используйте <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности."
"View all posts in %s","Просмотреть все записи в рубрике &laquo;%s&raquo;"
"Uncategorized","Без рубрики"
"No categories","Рубрик нет"
"Categories","рубрики"
"%s topic","%s запись"
"%s topics","%s записи"
"View all posts filed under %s","Просмотреть все записи в рубрике &laquo;%s&raquo;"
"Feed for all posts filed under %s","RSS-лента всех записей в рубрике &laquo;%s&raquo;"
"Tags:","Метки: "
"A valid URL was not provided.","Предоставлен неверный URL."
"User has blocked requests through HTTP.","Пользователь заблокировал HTTP-запросы."
"Destination directory for file streaming does not exist or is not writable.","Каталог назначения для файлового потока не существует или недоступен для записи."
"There are no HTTP transports available which can complete the requested request.","Нет ни одного доступного HTTP-транспорта, который может завершить запрос."
"Could not open handle for fopen() to %s","Не удалось открыть дескриптор для fopen() к %s"
"Too many redirects.","Слишком много перенаправлений."
"Malformed URL: %s","Некорректный URL: %s"
"No server specified","Не указан сервер"
"Error","Ошибка"
"no login ID submitted","не указан логин"
"connection not established","соединение не установлено"
"No password submitted","Не указан пароль"
"Authentication failed","Аутентификация не удалась"
"No connection to server","Нет соединения с сервером"
"No login ID submitted","Не указан логин"
"No server banner","Нет заголовка сервера"
"abort","прервать"
"apop authentication failed","apop-аутентификация не удалась"
"Premature end of list","Преждевременное окончание списка"
"Empty command string","Командная строка пуста"
"connection does not exist","нет соединения"
"No msg number submitted","Не послан номер сообщения"
"Command failed","Команда не выполнена"
"The menu ID should not be empty.","ID меню не должен быть пустым."
"Skip to toolbar","Перейти к верхней панели"
"Top navigation toolbar.","Верхняя панель инструментов."
"&mdash; Select &mdash;","&mdash; Выбрать &mdash;"
"Default","По умолчанию"
"Hex Value","HEX-код"
"Upload","Загрузить"
"Remove","Удалить"
"No Image","Нет изображения"
"Upload New","Новое"
"Uploaded","Загруженные"
"Remove Image","Удалить изображение"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Браузер на вашем устройстве не поддерживает загрузку файлов. Попробуйте воспользоваться <a href=\"http://wordpress.org/extend/mobile/\">мобильным приложением</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Перетащите файл сюда<br /> или <a href=\"#\" class=\"upload\">выберите файл</a>."
"Select File","Выберите файл"
"Background Image","Фоновое изображение"
"Header Image","Изображение заголовка"
"Random Default Image","Случайное из изображений по умолчанию"
"Random Uploaded Image","Случайное из загруженных изображений"
"Site Title & Tagline","Название и описание сайта"
"Site Title","Название сайта"
"Tagline","Краткое описание"
"Colors","Цвета"
"Display Header Text","Отображать текст заголовка"
"Header Text Color","Цвет текста заголовка"
"Background Color","Цвет фона"
"Background Repeat","Повтор фона"
"No Repeat","Не повторять"
"Tile","Замостить"
"Tile Horizontally","Замостить по горизонтали"
"Tile Vertically","Замостить по вертикали"
"Background Position","Позиция фона"
"Left","Слева"
"Center","По центру"
"Right","Справа"
"Background Attachment","Привязка фона"
"Fixed","Зафиксировать"
"Scroll","Прокручивать"
"Navigation","Навигация"
"Your theme supports %s menu. Select which menu you would like to use.","Ваша тема поддерживает %s меню. Выберите, какое меню вы хотите использовать."
"Your theme supports %s menus. Select which menu appears in each location.","Ваша тема поддерживает %s меню. Выберите, какое меню выводить в каждом месте."
"You can edit your menu content on the Menus screen in the Appearance section.","Содержимое меню можно изменить на экране «Меню» в разделе «Внешний вид»."
"Static Front Page","Статическая главная страница"
"Your theme supports a static front page.","Ваша тема поддерживает статическую главную страницу."
"Front page displays","На главной странице отображать"
"Your latest posts","Ваши последние записи"
"A static page","Статическую страницу"
"Front page","Главная страница"
"Posts page","Страница записей"
"Text","Текст"
"Visual","Визуально"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Русский=ru,Английский=en,Датский=da,Испанский=es,Итальянский=it,Немецкий=de,Нидерландский=nl,Польский=pl,Португальский=pt,Финский=fi,Французский=fr,Шведский=sv"
"Update","Обновить"
"Save","Сохранить"
"Exit fullscreen","В обычный режим"
"Bold (Ctrl + B)","Жирный (Ctrl + B)"
"Italic (Ctrl + I)","Курсив (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Маркированный список (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Нумерованный список (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Цитата (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Вставить/изменить картинку (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Вставить/изменить ссылку (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Убрать ссылку (Alt + Shift + S)"
"Help (Alt + Shift + H)","Помощь (Alt + Shift + H)"
"Updated.","Обновлено."
"Saved.","Сохранено."
"Enter title here","Введите заголовок"
"Word count: %s","Количество слов: %s"
"Just write.","Пишите."
"Y/m/d","d.m.Y"
"Enter the destination URL","Введите адрес назначения (URL)"
"Title","Заголовок"
"Open link in a new window/tab","Открывать в новом окне/вкладке"
"Or link to existing content","Или сделайте ссылку на существующий материал"
"No search term specified. Showing recent items.","Поисковый запрос не задан. Показаны недавние элементы."
"Add Link","Добавить ссылку"
"Cancel","Отмена"
"File doesn&#8217;t exist?","Файл не существует?"
"File is not an image.","Файл не является изображением."
"Could not read image size.","Не удалось прочитать размер изображения."
"Image resize failed.","Не удалось изменить размер изображения."
"Could not calculate resized image dimensions","Не удалось вычислить новый размер изображения"
"Image crop failed.","Не удалось обрезать изображение."
"Image rotate failed.","Не удалось повернуть изображение."
"Image flip failed.","Не удалось отразить изображение."
"Image Editor Save Failed","Не удалось сохранить изображение"
"Could not read image size","Не удалось прочитать размер изображения"
"The theme directory does not exist.","Каталог темы не существует."
"Stylesheet is missing.","Таблица стилей не найдена."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","ОШИБКА: Директория тем либо пуста, либо не существует. Убедитесь, что дистрибутив установлен полностью."
"Stylesheet is not readable.","Таблица стилей недоступна для чтения."
"Template is missing.","Шаблон не найден."
"The parent theme is missing. Please install the \"%s\" parent theme.","Отсутствует родительская тема. Пожалуйста, установите родительскую тему &laquo;%s&raquo;"
"The \"%s\" theme is not a valid parent theme.","Тема &laquo;%s&raquo; не является корректной родительской темой."
"Visit author homepage","Перейти на страницу автора"
"Anonymous","Аноним"
",",", "
"XML-RPC services are disabled on this site.","Сервисы XML-RPC на этом сайте отключены."
"Incorrect username or password.","Неверное имя пользователя или пароль."
"Software Name","Название платформы"
"Software Version","Версия платформы"
"Site URL","Адрес WordPress (URL)"
"Home URL","Адрес сайта (URL)"
"Image default link type","Тип ссылки по умолчанию для изображений"
"Image default size","Размер по умолчанию для изображений"
"Image default align","Выравнивание по умолчанию для изображений"
"Template","Шаблон"
"Stylesheet","Таблица стилей"
"Post Thumbnail","Миниатюра записи"
"Time Zone","Часовой пояс"
"Site Tagline","Краткое описание"
"Date Format","Формат даты"
"Time Format","Формат времени"
"Allow new users to sign up","Разрешить регистрацию пользователей"
"Thumbnail Width","Ширина миниатюры"
"Thumbnail Height","Высота миниатюры"
"Crop thumbnail to exact dimensions","Обрезать миниатюру точно по размерам"
"Medium size image width","Ширина среднего размера"
"Medium size image height","Высота среднего размера"
"Large size image width","Ширина крупного размера"
"Large size image height","Высота крупного размера"
"Allow people to post comments on new articles","Разрешить оставлять комментарии на новые статьи"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Разрешить оповещения с других блогов (уведомления и обратные ссылки)"
"Insufficient arguments passed to this XML-RPC method.","Методу XML-RPC передано недостаточно аргументов."
"Invalid post type","Неверный тип записи"
"Invalid post ID.","Неверный ID записи."
"Sorry, you are not allowed to edit this post.","Извините, вам не разрешено редактировать эту запись."
"The post type may not be changed.","Тип записи изменить нельзя."
"Sorry, you are not allowed to post on this site.","Извините, вам не разрешено публиковаться на этом сайте."
"Sorry, you are not allowed to create private posts in this post type","Извините, вам не разрешено создавать личные записи этого типа"
"Sorry, you are not allowed to publish posts in this post type","Извините, вам не разрешено публиковать записи этого типа"
"Sorry, you are not allowed to create password protected posts in this post type","Извините, вам не разрешено защищать паролем записи этого типа."
"You are not allowed to create posts as this user.","Вам не разрешено создавать записи от лица этого пользователя."
"Invalid author ID.","Неверный ID автора."
"Sorry, you cannot stick a private post.","Извините, личную запись прилепить нельзя."
"Sorry, you are not allowed to stick this post.","Извините, вам не разрешено прилеплять эту запись."
"Invalid attachment ID.","Неверный ID вложения."
"Sorry, one of the given taxonomies is not supported by the post type.","Извините, одна из указанных таксономий не поддерживается этим типом записей."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Извините, вам не разрешено присваивать элементы одной из указанных таксономий."
"Invalid term ID","Неверный ID элемента"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Указано неоднозначное имя элемента иерархической таксономии. Пожалуйста, используйте ID элемента."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Извините, вам не разрешено добавлять элементы в одну из указанных таксономий."
"Sorry, your entry could not be posted. Something wrong happened.","Извините, вашу запись не удалось опубликовать. Что-то случилось."
"There is a revision of this post that is more recent.","Найдена более свежая редакция записи."
"Sorry, you are not allowed to delete this post.","Извините, вам не разрешено удалять эту запись."
"The post cannot be deleted.","Невозможно удалить запись."
"Sorry, you cannot edit this post.","Извините, вы не можете редактировать эту запись."
"The post type specified is not valid","Указанный тип записей некорректен"
"Sorry, you are not allowed to edit posts in this post type","Извините, вам не разрешено редактировать записи этого типа"
"Invalid taxonomy","Неверная таксономия"
"You are not allowed to create terms in this taxonomy.","Вам не разрешено создавать элементы этой таксономии."
"The term name cannot be empty.","Название элемента не может быть пустым."
"This taxonomy is not hierarchical.","Эта таксономия не поддерживает иерархию."
"Parent term does not exist.","Родительского элемента не существует."
"Sorry, your term could not be created. Something wrong happened.","Извините, элемент не удалось создать. Что-то случилось."
"You are not allowed to edit terms in this taxonomy.","Вам не разрешено редактировать элементы этой таксономии."
"This taxonomy is not hierarchical so you can't set a parent.","Эта таксономия не поддерживает иерархию, поэтому родительский элемент указать нельзя."
"Sorry, editing the term failed.","Извините, изменить элемент не удалось."
"You are not allowed to delete terms in this taxonomy.","Вам не разрешено удалять элементы этой таксономии."
"Sorry, deleting the term failed.","Извините, удалить элемент не удалось."
"You are not allowed to assign terms in this taxonomy.","Вам не разрешено использовать элементы этой таксономии."
"Sorry, you cannot edit users.","Извините, но вы не можете редактировать пользователей."
"Invalid user ID","Неверный ID пользователя"
"Sorry, you cannot list users.","Извините, но вы не можете смотреть список пользователей."
"The role specified is not valid","Указанная роль некорректна"
"Sorry, you cannot edit your profile.","Извините, но вы не можете редактировать свой профиль."
"Sorry, the user cannot be updated.","Извините, этот пользователь не может быть изменён."
"Sorry, you cannot edit this page.","Извините, вы не можете редактировать эту страницу."
"Sorry, no such page.","Извините, такой страницы нет."
"Sorry, you cannot edit pages.","Извините, вы не можете редактировать страницы."
"Sorry, you do not have the right to delete this page.","Извините, у вас нет прав на удаление этой страницы."
"Failed to delete the page.","Не удалось удалить страницу."
"Sorry, you do not have the right to edit this page.","Извините, у вас нет прав на редактирование этой страницы."
"Sorry, you cannot edit posts on this site.","Извините, вы не можете редактировать записи на этом сайте."
"Sorry, you must be able to edit posts on this site in order to view tags.","Извините, чтобы просматривать метки, вам нужны права на редактирование записей на этом сайте."
"Sorry, you do not have the right to add a category.","Извините, у вас нет прав на добавление рубрики."
"Sorry, the new category failed.","Извините, создать рубрику не удалось."
"Sorry, you do not have the right to delete a category.","Извините, у вас нет прав на удаление рубрики."
"Sorry, you must be able to edit posts to this site in order to view categories.","Извините, чтобы просматривать рубрики, вам нужны права на редактирование записей на этом сайте."
"You are not allowed to moderate comments on this site.","Вам не разрешено модерировать комментарии на этом сайте."
