"New password","Nieuw wachtwoord"
"Sites you are already a member of:","Websites waar je al deelnemer van bent: "
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Als je dit domein niet gaat gebruiken, gun het aan een nieuwe gebruiker. Nu houd jij het bezet!"
"Create Site","Site aanmaken"
"The site %s is yours.","De website %s is van jou."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> is je nieuwe website. <a href=\"%s\">Log in</a> als &#8220;%s&#8221; gebruik hierbij je bestaande wachtwoord."
"Get your own %s account in seconds","Verkrijg je eigen %s account in enkele seconden"
"Gimme a site!","Geef me een site!"
"Just a username, please.","Gewoon een gebruikersnaam."
"Next","Volgende"
"%s is your new username","%s is je nieuwe gebruikersnaam"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Voordat jij kan starten met je nieuwe gebruikersnaam, <strong>moet je deze eerst activeren</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Controleer je inbox op <strong>%s</strong> en klik op de link die we hebben gestuurd."
"If you do not activate your username within two days, you will have to sign up again.","Als je de gebruikersnaam niet binnen twee dagen activeert, dan moet u zich opnieuw registeren."
"Signup","Registreren"
"Congratulations! Your new site, %s, is almost ready.","Gefeliciteerd! je nieuwe website, %s is bijna klaar."
"But, before you can start using your site, <strong>you must activate it</strong>.","Voordat je met je website kan starten, <strong>moet deze eerst worden geactiveerd</strong>. "
"If you do not activate your site within two days, you will have to sign up again.","Als je de website niet binnen twee dagen activeert, zul je opnieuw moeten beginnen."
"Still waiting for your email?","Nog steeds aan het wachten op een e-mail?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Wanneer je nog geen bericht hebt ontvangen, zijn er een aantal dingen die je kan doen:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Nog even geduld. We hebben niet alle omstandigheden waaronder een e-mail bericht wordt afgeleverd in de hand."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Controleer de prullenbak of spam map van je e-mailprogramma. Soms komen e-mails per ongeluk daar terecht."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Heb je je e-mailadres juist ingevuld? Je hebt %s ingevuld, als dat niet klopt zal je geen email ontvangen."
"all","alles"
"none","geen"
"user","gebruiker"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Hallo Website beheerder! Op dit moment heb je &#8220;%s&#8221; registraties toegelaten. Ga naar de <a href=\"%s\">instellingen pagina</a> om de registratie instellingen te wijzigen of uit te schakelen."
"Registration has been disabled.","Registraties zijn uitgeschakeld."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Je moet eerst <a href=\"%s\">inloggen</a>, daarna kan je een nieuwe site maken."
"User registration has been disabled.","Gebruikersregistratie is gedeactiveerd."
"Site registration has been disabled.","Website registratie is uitgeschakeld."
"Sorry, new registrations are not allowed at this time.","Helaas, op dit moment zijn nieuwe registraties niet toegestaan."
"You are logged in already. No need to register again!","Je bent al ingelogd. Je hoeft je dus niet opnieuw te registreren."
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>De website, <strong>%s</strong>, die je zocht bestaat niet. Je kan deze natuurlijk wel aanmaken!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>De website waar je naar zoekt, <strong>%s</strong>, bestaat niet.</em></p> "
"Learn word","Leer woord"
"Insert Page Break","Paginaeinde invoegen"
"Types","Typen"
"Lower roman","Kleine Romeinse tekens"
"Upper alpha","Hoofdletters alfa"
"Upper roman","Hoofdletters romeins"
"Circle","Cirkel"
"Square","Vierkant"
"Rich Text Area","Richtekst gebied"
"Words:","Woorden:"
"Styles","Stijlen"
"Font size","Tekensetgrootte"
"Font family","Tekensetfamilie"
"Format","Notatie"
"Paragraph","Paragraaf"
"Address","Adres"
"Preformatted","Vooraf ingesteld"
"Heading 1","Koptekst 1"
"Heading 2","Koptekst 2"
"Heading 3","Koptekst 3"
"Heading 4","Koptekst 4"
"Heading 5","Koptekst 5"
"Heading 6","Koptekst 6"
"Code sample","Code voorbeeld"
"Definition term","Definitie term"
"Definition description","Definitie beschrijving"
"Underline","Onderstreept"
"Strikethrough (Alt + Shift + D)","Doorhalen (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Links uitlijnen (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Centreren (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Rechts uitlijnen (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Uitvullen (Alt + Shift + J)"
"Outdent","Inspringing vergroten"
"Indent","Inspringing verkleinen"
"Undo (Ctrl + Z)","Ongedaan maken (Ctrl + Z)"
"Redo (Ctrl + Y)","Opnieuw (Ctrl + Y)"
"Cleanup messy code","Slordige code opschonen"
"Edit HTML Source","HTML-broncode bewerken"
"Insert horizontal ruler","Horizontale regel invoegen"
"Remove formatting","Opmaak verwijderen"
"Select text color","Tekstkleur selecteren"
"Select background color","Achtergrondkleur selecteren"
"Insert custom character","Teken invoegen"
"Toggle guidelines/invisible elements","Onzichtbare elementen aan/uit"
"Insert/edit anchor","Anker invoegen/bewerken"
"Cut","Knippen"
"Copy","Kopi&#235;ren"
"Paste","Plakken"
"Image properties","Afbeeldingseigenschappen"
"New document","Nieuw document"
"Path","Pad"
"Are you sure you want to clear all contents?","Weet je zeker dat je alle inhoud wilt verwijderen?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Naar gereedschapsknoppen - Alt+Q, naar de editor - Alt-Z, naar het elementen path - Alt-X"
"Accessibility Help","Help over toegankelijkheid"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Druk op ALT F10 voor de toolbar. Druk op ALT 0 voor de help."
"About TinyMCE","Over TinyMCE"
"About","Over"
"License","Licentie"
"Author","Auteur"
"Version","Versie"
"Loaded plugins","Geladen plugins"
"Anchor name","Ankernaam"
"HTML Source Editor","HTML broneditor"
"Word wrap","regelterugloop"
"Select a color","Een kleur kiezen"
"Color picker","Kleurenkiezer"
"Palette","Palet"
"Palette colors","Kleurenpalet"
"Named","Genaamd"
"Named colors","Benoemde kleuren"
"Color:","Kleur:"
"Name:","Naam:"
"Select custom character","Teken selecteren"
"Use left and right arrows to navigate.","Gebruik de linker en rechter pijlen om te navigeren."
"Image URL","URL"
"Image description","Beschrijving afbeelding"
"Image list","Afbeeldingenlijst"
"Border","Rand"
"Dimensions","Afmetingen"
"Vertical space","Verticale spatie"
"Horizontal space","Horizontale spatie"
"Baseline","Basis"
"Top","Bovenkant"
"Middle","Midden"
"Bottom","Onderkant"
"Text top","Tekst aan bovenkant"
"Text bottom","Tekst aan onderkant"
"Target","Doel"
"Open link in the same window","LInk openen in hetzelfde venster"
"Open link in a new window","Link openen in een nieuw venster"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","De URL die je hebt ingevoerd lijkt op een e-mailadres. Wil je het vereiste mailto:-voorvoegsel toevoegen?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","De URL die je hebt ingevoerd lijkt op een externe link. Wil je het vereiste http://-voorvoegsel toevoegen?"
"Link list","Lijst met links"
"General Usage","Algemeen gebruik"
"General","Algemeen"
"Advanced","Geavanceerd"
"File/URL","Bestand/URL"
"List","Lijst"
"Constrain proportions","Afmetingen beperken"
"Name","Naam"
"Auto play","Automatisch afspelen"
"Loop","Lus"
"Show menu","Menu tonen"
"Quality","Kwaliteit"
"Scale","Schaal"
"Align","Uitlijnen"
"Base","Basis"
"Hidden","Verborgen"
"Play every frame","Elk frame afspelen"
"Target cache","Doelcache"
"No correction","Geen correctie"
"Enable JavaScript","JavaScript inschakelen"
"Start time","Starttijd"
"End time","Eindtijd"
"Auto start","Autostart"
"Enabled","Ingeschakeld"
"Fullscreen","Volledig scherm"
"Invoke URLs","URLs aanroepen"
"Stretch to fit","Passend maken"
"Windowless video","Video zonder omlijsting"
"Balance","Balans"
"Base URL","Basis-URL"
"Current marker","Huidige telling"
"Current position","Huidige positie"
"Default frame","Standaard frame"
"Rate","Waardering"
"Flash options","Flash opties"
"QuickTime options","QuickTime instellingen"
"Windows media player options","Windows Media Player opties"
"Real media player options","RealPlayer opties"
"Shockwave options","Shockwave opties"
"Image status","Afbeeldingsstatus"
"Maintain aspect","Aspect handhaven"
"No java","Geen Java"
"Sound","Geluid"
"Progress","Voortgang"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Streamed rtsp middelen toevoegen aan het QT Src veld onder de Geavanceerd tab."
"Top left","Linksboven"
"Top right","Rechtsboven"
"Bottom left","Linksonder"
"Bottom right","Rechtsonder"
"Flash video options","Flash video opties"
"Start image","Start afbeelding"
"Default volume","Standaard volume"
"Hidden GUI","Verborgen GUI"
"Show scale modes","Schalingsmodes tonen"
"HTML5 Video Options","HTML5 video opties"
"Alternative source 1","Alternatieve bron 1"
"Alternative source 2","Alternatieve bron 2"
"Poster","Schrijver"
"Source","Bron"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Toon/verberg extra werkbalk (Alt + Shift + Z) "
"Insert More Tag (Alt + Shift + T)","Meer lezen tag invoegen (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Pagina-einde invoegen (Alt + Shift + P)"
"More...","Meer..."
"Next page...","Volgende pagina..."
"Add Media","Media toevoegen"
"Add an Image","Afbeelding toevoegen"
"Add Video","Video toevoegen"
"Add Audio","Audio toevoegen"
"Edit Gallery","Galerij bewerken"
"Delete Gallery","Galerij verwijderen"
"Distraction Free Writing mode (Alt + Shift + W)","Schrijven zonder afleidingsmodus (Alt + Shift + W)"
"Edit Image","Afbeelding bewerken"
"Delete Image","Afbeelding verwijderen"
"Advanced Settings","Geavanceerde instellingen"
"Size","Afmeting"
"Medium","Gemiddeld"
"Full Size","Volledige grootte"
"Current Link","Huidige link"
"Link to Image","Link naar afbeelding"
"Enter a link URL or click above for presets.","Geef een link URL of klik hierboven om vooraf in te stellen."
"Advanced Image Settings","Geavanceerde afbeeldingsinstellingen"
"Width","Breedte"
"Height","Hoogte"
"Original Size","Originele grootte"
"Advanced Link Settings","Geavanceerde link instellingen"
"Link Rel","Link relatie"
"Caption","Onderschrift"
"Alternative Text","Alternatieve tekst"
"Rich Editor Help","Wysiwyg-editor hulp"
"Basics of Rich Editing","De basis van wysiwyg"
"Basics","Basisinfo"
"Advanced use of the Rich Editor","Geavanceerd gebruik van de wysiwyg-editor"
"Hotkeys","Sneltoetsen"
"About the software","Over de software"
"Rich Editing Basics","Met Wysiwyg bewerken - de basis "
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Wysiwyg</em> (What You See Is What You Get - Wat Je Ziet Is Wat Je Krijgt), ook wel Rich editing genoemd, houdt in dat tekst wordt opgemaakt terwijl je typt. Deze wysiwyg-editor genereert HTML-code achter de schermen terwijl jij bezig bent met schrijven. Lettertypes, links en afbeeldingen worden ongeveer getoond zoals ze op het internet te zien zullen zijn."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","Deze editor werkt goed in alle belangrijke webbrowsers. HTML bewerken is echter niet hetzelfde als tekst typen. Elke webpagina bevat twee hoofdcomponenten: de structuur, de eigenlijke HTML-code die de editor produceert terwijl je typt, en de weergavestijl die daarop wordt toegepast door het huidige WordPress thema en is vastgelegd in het bestand style.css. WordPress produceert geldige XHTML 1.0, wat betekent dat het invoegen van meerdere regeleinden (br-tags) na een paragraaf geen extra witruimte oplevert op de webpagina. De interne HTML-correctiefuncties zullen de extra br-tags dan ook verwijderen als ongeldige code."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","De meeste standaard sneltoetsen werken binnen deze editor net als in een elke andere tekstbewerker. Bijvoorbeeld: Shift+Enter geeft een nieuw regel, Ctrl+C = kopi&#235;ren, Ctrl+X = knippen, Ctrl+Z  = ongedaan maken, Ctrl+Y = opnieuw uitvoeren, Ctrl+A = alles selecteren, enzovoort (gebruik op een Mac de Command-toets in plaats van Ctrl). Bekijk de Sneltoetsen-tab voor alle beschikbare sneltoetsen."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Als je het niet prettig vindt om met de wysiwyg-editor te werken, kan je deze uitzetten via <strong>Je profiel</strong>, onder <strong>Gebruikers</strong> in het Dashboard menu."
"Advanced Rich Editing","Geavanceerd bewerken"
"Images and Attachments","Afbeeldingen en bijlagen"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Er bevindt zich een knop in de editor (in de rij iconen) om afbeeldingen in te voegen die zich al ergens op internet bevinden. Als je een URL voor een afbeelding hebt, klik op deze knop en geef de URL in het vak wat verschijnt."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Wanneer een afbeelding of ander mediabestand vanaf een computer geüpload wordt, kan er gebruik gemaakt worden van de media-knop boven de editor. De media-bibliotheek zal proberen om een ​​miniatuur-en kleinbedrijf kopie te maken van elk geüploade afbeelding. Bij het invoegen van een afbeelding in het bericht, klikt op de thumbnail om een menu met opties weer te tonen. Klik op \"In bericht invoegen\", wanneer de benodigde opties zijn geselecteerd om de afbeelding of bestand in het bericht te tonen."
"HTML in the Rich Editor","HTML in de wysiwyg-editor"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Elke HTML direct ingevoerd in de editor zal verschijnen als tekst zodra het bericht wordt bekeken. Wat je ziet is echt wat je krijgt. Wanneer HTML-elementen ingevoerd moeten worden die niet met de knoppen op de werkbalk zijn gegenereerd worden, moeten deze met handmatig in de teksteditor worden toegevoegd. Voorbeelden hiervoor zijn tabellen en &lt;code&gt;. Klik hiervoor op tabblad tekst en bewerk de code om vervolgens terug te schakelen naar de visuele modus. Wanneer de code geldig is en begrepen wordt door de editor is deze direct zichtbaar."
"Pasting in the Rich Editor","Plakken in de wysiwyg-editor"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Wanneer je informatie kopieert van een andere webpagina kan dit resulteren tot inconsequenties afhankelijk van je browser en de webpagina van waar je kopieert. De editor probeert onjuiste HTML te corrigeren, maar voor het beste resultaat gebruik de Tekst tab of één van de kopieerknoppen die zijn te vinden op de tweede rij. Als alternatief kun je ook de tekst kopi&#235;ren per paragraaf. Om een paragraaf in &#233;&#233;n keer te selecteren driedubbelklik op de paragraaf. "
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Inhoud plakken vanuit andere programma&#39;s, zoals Word of Excel, gaat het beste met de Plak vanuit Word knop op de tweede regel, of in Tekst modus."
"Writing at Full Speed","Schrijven op volle snelheid"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","In plaats van je met je muis te klikken op de toolbar, kan je ook toetsencombinaties gebruiken. Onderstaande toetsen gebruik je normaal gesproken in combinatie met de Ctrl-toets. Op een Mac gebruik je in plaats daarvan de Command-toets."
"Action","Actie"
"Select all","Alles selecteren"
"Undo","Ongedaan maken"
"Redo","Opnieuw"
"Bold","Vet"
"Italic","Cursief"
"The following shortcuts use different access keys: Alt + Shift + letter.","Voor de volgende sneltoetsen gebruik je een andere toetscombinatie: Alt + Shift + letter."
"Check Spelling","Spelling controleren"
"Align Left","Links uitlijnen"
"Justify Text","Tekst uitvullen"
"Align Center","Centreren"
"Strikethrough","Doorgehaald"
"Align Right","Rechts uitlijnen"
"Insert link","Link invoegen"
"Remove link","Link verwijderen"
"Quote","Citeren"
"Insert Image","Afbeelding invoegen"
"Distraction Free Writing mode","Schrijven zonder afleidingsmodus"
"Insert More Tag","Meer-tag invoegen"
"Insert Page Break tag","Pagina-afbreken tag invoegen"
"Editor width in Distraction Free Writing mode:","Editor breedte in Schrijven zonder afleidingsmodus:"
"Wider","Breder"
"Narrower","Smaller"
"Default width","Standaardbreedte"
"Version:","Versie:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE is een platform onafhankelijk web gebaseerd Javascript HTML WYSIWYG bewerker uitgebracht als Open Source onder %sLGPL</a>\tdoor Moxiecode Systems AB. Het geeft de mogelijkheid om HTML TEXTAREA velden of andere HTML-elementen om te zetten in bewerkers."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Alle rechten voorbehouden."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Bezoek de <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a> voor meer informatie over de software."
"Got Moxie?","Heb je Moxie?"
"Comments Feed","Reactiefeed"
"Edit This","Bewerken"
"Edit comment","Reactie bewerken"
"Edit Link","Link bewerken"
"Use commas instead of %s to separate excluded categories.","Gebruik komma&#39;s in plaats van %s om uitgesloten categorie&#235;n te scheiden."
"Previous Post","Vorige bericht"
"Next Post","Volgende bericht"
"Newer Comments &raquo;","Nieuwere reacties &raquo;"
"&laquo; Older Comments","&laquo; Oudere reacties"
"This is the short link.","Dit is een verkorte link."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Op deze server draait PHP versie %s, maar WordPress %s vereist minimaal PHP versie %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Het lijkt erop dat je PHP-installatie geen MySQL-extensie heeft en die is noodzakelijk om WordPress te kunnen gebruiken."
"Maintenance","Onderhoud"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Tijdelijk niet beschikbaar vanwege gepland onderhoud. Probeer het over enkele minuten nog een keer."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>MISLUKT</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> mag alleen cijfers, letters en underscores bevatten."
"The site you have requested is not installed properly. Please contact the system administrator.","De site die je hebt aangevraagd is niet correct ge&#239;nstalleerd. Neem contact op met de systeembeheerder."
"S_Sunday_initial","Z"
"M_Monday_initial","M"
"T_Tuesday_initial","D"
"W_Wednesday_initial","W"
"T_Thursday_initial","D"
"F_Friday_initial","V"
"S_Saturday_initial","Z"
"number_format_thousands_sep","."
"Drop files to upload","Sleep hier je bestanden naartoe"
"Upload Limit Exceeded","Uploadlimiet overschreden"
"Drop files anywhere to upload","Sleep hier je bestanden naartoe"
"Select Files","Bestanden selecteren"
"Maximum upload file size: %d%s.","Maximale bestandsgrootte voor upload: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Je browser heeft enkele beperkingen bij het uploaden van grote bestanden met de multi-bestand uploader. Maak gebruiker van de <a href=\"%s\" target=\"%s\">browser uploader</a> voor bestanden groter dan 100MB."
"Uploading","Uploaden"
"Dismiss Errors","Foutmeldingen negeren"
"Error","Fout"
"Deselect","Deselecteren"
"Caption this image&hellip;","Plaats een onderschrift&hellip;"
"Describe this video&hellip;","Beschrijf deze video&hellip;"
"Describe this audio file&hellip;","Beschrijf dit audiobestand&hellip;"
"Describe this media file&hellip;","Beschrijf dit mediabestand&hellip;"
"Attachment Details","Bijlagedetails"
"Refresh","Verversen"
"Delete Permanently","Permanent verwijderen"
"Alt Text","alt-tekst"
"Description","Omschrijving"
"Edit","Bewerken"
"Clear","Wissen"
"Attachment Display Settings","Weergaveinstellingen bijlagen"
"Link To","Link naar"
"Custom URL","Aangepaste URL"
"Attachment Page","Bijlagepagina"
"Media File","Mediabestand"
"Large","Groot"
"Gallery Settings","Galerij instellingen"
"Columns","Kolommen"
"Random Order","Willekeurige volgorde"
"No editor could be selected.","Niet mogelijk om editor te selecteren."
"Allowed Files","Toegestane bestanden"
"Select","Selecteren"
"%d selected","%d geselecteerd"
"Drag and drop to reorder images.","Versleep de afbeeldingen om ze te ordenen."
"Upload Files","Bestanden uploaden"
"Upload Images","Afbeeldingen uploaden"
"Media Library","Mediabibliotheek"
"Insert Media","Media toevoegen"
"Create a new gallery","Een nieuwe galerij aanmaken"
"&#8592; Return to library","&#8592; Terug naar bibliotheek"
"All media items","Alle mediabestanden"
"No items found.","Niets gevonden."
"Insert into page","In pagina invoegen"
"Insert into post","Invoegen in bericht"
"Uploaded to this page","Ge&#252;pload naar deze pagina"
"Uploaded to this post","Ge&#252;pload naar dit bericht"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Je staat op het punt dit item permanent te verwijderen.\n  'Annuleren' om te stoppen, 'OK' om te verwijderen."
"Insert from URL","Invoegen via URL"
"Set Featured Image","Uitgelichte afbeelding maken"
"Set featured image","Stel uitgelichte afbeelding in"
"Create Gallery","Galerij aanmaken"
"&#8592; Cancel Gallery","&#8592; Galerij annuleren"
"Insert gallery","Galerij invoegen"
"Update gallery","Galerij bijwerken"
"Add to gallery","Aan galerij toevoegen"
"Add to Gallery","Voeg toe aan de gallerij"
"Reverse order","Volgorde omkeren"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","De constante <code>VHOST</code> <strong>is niet langer in gebruik</strong>. Gebruik de boolean constante <code>SUBDOMAIN_INSTALL</code> in wp-config.php om de subdomein configuratie in te schakelen. Gebruik subdomain_install() om te controleren of een subdomein configuratie ingeschakeld is."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Conflicterende waarden voor de constanten VHOST en SUBDOMAIN_INSTALL.</strong> De waarde van SUBDOMAIN_INSTALL zal worden overgenomen voor de subdomein configuratie instellingen."
"The requested user does not exist.","De opgevraagde gebruiker bestaat niet."
"That user does not exist.","Deze gebruiker bestaat niet."
"<strong>ERROR</strong>: Site URL already taken.","<strong>MISLUKT</strong>: Webite-URL al in gebruik."
"<strong>ERROR</strong>: problem creating site entry.","<strong>MISLUKT</strong>: probleem bij het maken van een websitebericht."
"Only lowercase letters (a-z) and numbers are allowed.","Alleen kleine letters (a-z) en cijfers zijn toegestaan."
"Please enter a username.","Voer een gebruikernaam in."
"That username is not allowed.","Deze gebruikersnaam is niet toegestaan."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Je kunt dat e-mail adres niet gebruiken om je aan te melden. We hebben problemen met ze dat enkele e-mails van ons worden geblokkeerd. Graag een andere e-mailprovider gebruiken."
"Username must be at least 4 characters.","Gebruikersnaam moet minimaal 4 tekens zijn."
