"New password","Nova senha"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Bem-vindo Administrador do Site! Atualmente você permite &#8220;%s&#8221; registros. Para mudar ou desativá-los, vá para sua <a href=\"%s\">página de Opções</a>."
"Registration has been disabled.","O registro foi desativado."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Você precisa fazer o <a href=\"%s\">login</a> e então criar um novo site."
"User registration has been disabled.","O registro de usuários foi desativado."
"Site registration has been disabled.","O registro de sites foi desativado."
"Sorry, new registrations are not allowed at this time.","Novos registros não são permitidos no momento."
"You are logged in already. No need to register again!","Você já está conectado. Não é necessário registrar-se novamente!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>O site que você está procurando, <strong>%s</strong>, não existe, mas você pode criá-lo aqui</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>O site que você está procurando, <strong>%s</strong>, não existe.</em></p>"
"Learn word","Assimilar palavra"
"Insert Page Break","Inserir quebra de página"
"Types","Tipos"
"Lower alpha","Inicial minúscula"
"Lower greek","Grego minúsculo"
"Lower roman","Romano minúsculo"
"Upper alpha","Inicial maiúscula"
"Upper roman","Romano maiúsculo"
"Circle","Círculo"
"Disc","Disco"
"Square","Quadrado"
"Rich Text Area","Área de Texto Rico"
"Words:","Palavras:"
"Styles","Estilos"
"Font size","Tamanho da fonte"
"Font family","Tipo de fonte"
"Format","Formato"
"Paragraph","Parágrafo"
"Address","Endereço"
"Preformatted","Pré-formatado"
"Heading 1","Cabeçalho 1"
"Heading 2","Cabeçalho 2"
"Heading 3","Cabeçalho 3"
"Heading 4","Cabeçalho 4"
"Heading 5","Cabeçalho 5"
"Heading 6","Cabeçalho 6"
"Blockquote","Aspas"
"Code","Código"
"Code sample","Exemplo de código"
"Definition term","Definição"
"Definition description","Descrição da definição"
"Underline","Sublinhado"
"Strikethrough (Alt + Shift + D)","Rasurado (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Alinhar à Esquerda (Alt + Shift + R)"
"Align Center (Alt + Shift + C)","Centralizar (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Alinhar à Direita (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Alinhar Justificado (Alt + Shift + R)"
"Outdent","Diminuir recuo"
"Indent","Aumentar recuo"
"Undo (Ctrl + Z)","Desfazer (Ctrl + Z)"
"Redo (Ctrl + Y)","Refazer (Ctrl + Y)"
"Cleanup messy code","Limpar código bagunçado"
"Edit HTML Source","Editar HTML"
"Subscript","Subescrito"
"Superscript","Superescrito"
"Insert horizontal ruler","Inserir linha horizontal"
"Remove formatting","Remover formatação"
"Select text color","Selecionar cor do texto"
"Select background color","Selecionar cor de fundo"
"Insert custom character","Inserir símbolo"
"Toggle guidelines/invisible elements","Ativar/desativar elementos invisíveis"
"Insert/edit anchor","Inserir/editar âncora"
"Cut","Cortar"
"Copy","Copiar"
"Paste","Colar"
"Image properties","Propriedades da imagem"
"New document","Novo documento"
"Help","Ajuda"
"Path","Caminho"
"Are you sure you want to clear all contents?","Tem certeza que quer apagar todo o conteúdo?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Ir para ferramentas - Alt+Q, ir para editor - Alt+Z, ir para caminho de um elemento - Alt+X"
"Accessibility Help","Ajuda sobre Acessibilidade"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Pressione ALT F10 para mostrar a barra de ferramentas. Pressione ALT 0 para Ajuda"
"Toolbar","Barra de Ferramentas"
"About TinyMCE","Sobre o TinyMCE"
"About","Sobre"
"License","Licença"
"Author","Autor"
"Version","Versão"
"Loaded plugins","Plugins carregados"
"Anchor name","Nome da âncora"
"HTML Source Editor","Editor de HTML"
"Word wrap","Quebra automática"
"Select a color","Escolher uma cor"
"Picker","Seletor"
"Color picker","Seletor de cor"
"Palette","Paleta"
"Palette colors","Paleta de cores"
"Named","Nomeado"
"Named colors","Cores com nome"
"Color:","Cor:"
"Name:","Nome:"
"Select custom character","Selecionar caractere especial"
"Use left and right arrows to navigate.","Use as teclas de direção esquerda e direita para navegar."
"Image URL","URL da imagem"
"Image description","Descrição da imagem"
"Image list","Lista de imagens"
"Border","Borda"
"Dimensions","Dimensões"
"Vertical space","Espaço vertical"
"Horizontal space","Espaço horizontal"
"Baseline","Linha de base"
"Top","Topo"
"Middle","Meio"
"Bottom","Base"
"Text top","Topo do texto"
"Text bottom","Base do texto"
"Link URL","URL do link"
"Target","Destino"
"Open link in the same window","Abrir link na mesma janela"
"Open link in a new window","Abrir link numa nova janela"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","O URL que indicou parece ser um endereço de email. Você quer adicionar o prefixo mailto: necessário?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","O URL que você digitou parece ser um link externo. Quer adicionar o prefixo http://?"
"Link list","Lista de links"
"General Usage","Uso Geral"
"General","Geral"
"Advanced","Avançada"
"File/URL","Arquivo/URL"
"List","Lista"
"Constrain proportions","Manter proporções"
"Type","Tipo"
"Name","Nome"
"V-Space","Espaço vertical"
"H-Space","Espaço horizontal"
"Auto play","Auto iniciar"
"Show menu","Mostrar menu"
"Quality","Qualidade"
"Scale","Redimensionar"
"Align","Alinhar"
"Flashvars","Variáveis do Flash (Flashvars)"
"Hidden","Oculto"
"Controller","Controlador"
"Kiosk mode","Modo quiosque"
"Play every frame","Tocar cada frame"
"Target cache","Cache de destino"
"No correction","Nenhuma correção"
"Enable JavaScript","Ativar JavaScript"
"Start time","Hora de início"
"End time","Fim"
"Choke speed","Limite de velocidade"
"Auto start","Início automático"
"Enabled","Ativado"
"Fullscreen","Tela inteira"
"Invoke URLs","Chamar URLs"
"Mute","Mudo"
"Stretch to fit","Aumentar para ajustar ao tamanho"
"Windowless video","Vídeo sem janela"
"Balance","Balanço"
"Base URL","URL base"
"Captioning id","ID de legenda"
"Current marker","Marcador atual"
"Current position","Posição atual"
"Default frame","Frame padrão"
"Play count","Total de reproduções"
"Rate","Velocidade"
"UI Mode","Modo UI"
"Flash options","Opções de Flash"
"QuickTime options","Opções do QuickTime"
"Windows media player options","Opções de Windows Media Player"
"Real media player options","Opções de Real Media Player"
"Shockwave options","Opções de Shockwave"
"Auto goto URL","Ir para URL automaticamente"
"Image status","Status da imagem"
"Maintain aspect","Manter aparência"
"No java","Sem java"
"Prefetch","Pré-carregar"
"Shuffle","Embaralhar"
"Num loops","Nº de loops"
"Controls","Controles"
"Script callbacks","Callbacks de script"
"Stretch style","Estilo do alargamento"
"Stretch H-Align","Aumentar alinhamento horizontal"
"Stretch V-Align","Aumentar alinhamento vertical"
"Sound","Som"
"Progress","Andamento"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Fluxos de recursos rtsp devem ser adicionados ao campo QT Src, na aba Avançadas."
"Top left","Em cima à esquerda"
"Top right","Em cima à direita"
"Bottom left","Embaixo à esquerda"
"Bottom right","Embaixo à direita"
"Flash video options","Opções de Flash Vídeo"
"Scale mode","Modo de redimensionamento"
"Start image","Imagem inicial"
"Default volume","Volume padrão"
"Hidden GUI","GUI oculta"
"Show scale modes","Mostrar modos de redimensionamento"
"Smooth video","Suavizar vídeo"
"JS Callback","Callback JS"
"HTML5 Video Options","Opções de vídeo HTML 5"
"Alternative source 1","Fonte alternativa 1"
"Alternative source 2","Fonte alternativa 2"
"Preload","Pré-carregar"
"Poster","Autor"
"Source","Origem"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Mostrar/Esconder Extras (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Inserir a Tag Mais (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Inserir Quebra de Página (Alt + Shift + P)"
"More...","Mais..."
"Next page...","Próxima página..."
"Add Media","Adicionar Mídia"
"Add an Image","Adicionar uma Imagem"
"Add Video","Adicionar Vídeo"
"Add Audio","Adicionar Áudio"
"Edit Gallery","Editar galeria"
"Delete Gallery","Excluir galeria"
"Distraction Free Writing mode (Alt + Shift + W)"," Modo de Escrita sem Distrações (Alt + Shift + W)"
"Edit Image","Editar imagem"
"Delete Image","Excluir imagem"
"Advanced Settings","Configurações avançadas"
"Size","Tamanho"
"Thumbnail","Miniatura"
"Medium","Médio"
"Full Size","Tamanho completo"
"Current Link","Link atual"
"Link to Image","Link para imagem"
"Enter a link URL or click above for presets.","Digite o URL do link ou clique acima para as predefinições."
"Advanced Image Settings","Configurações avançadas de imagem"
"Width","Largura"
"Height","Altura"
"Original Size","Tamanho Original"
"CSS Class","Classe CSS"
"Advanced Link Settings","Configurações avançadas de link"
"Link Rel","Rel do Link"
"Caption","Legenda"
"Alternative Text","Texto alternativo"
"Rich Editor Help","Ajuda do editor visual"
"Basics of Rich Editing","Noções básicas de edição visual"
"Basics","Noções básicas"
"Advanced use of the Rich Editor","Uso avançado do editor visual"
"Hotkeys","Teclas de atalho"
"About the software","Sobre o software"
"Rich Editing Basics","Noções básicas de edição visual"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","A <em>edição visual de texto</em>, também denominada WYSIWYG (What You See Is What You Get, literalmente Aquilo que você vê é aquilo que você obtém, significa que o texto é formatado à medida que o usuário o escreve.  O editor cria o código HTML em segundo plano enquanto o usuário se concentra na escrita. Estilos de texto, links e imagens aparecem aproximadamente como irão aparecer na Internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","O WordPress inclui um Editor visual de HTML que funciona bem nos principais navegadores atuais. No entanto, editar HTML não é o mesmo que digitar texto. Cada página da web possui dois componentes principais: a estrutura, que corresponde ao código HTML e é criada pelo editor à medida que você escreve, e o design, determinado pelo tema do WordPress que está ativo no momento e pelo respectivo arquivo style.css. O WordPress cria o XHTML 1.0 válido, ou seja, inserir várias quebras de linha (tags BR) depois de um parágrafo não produz espaço em branco adicional na página. As tags BR são removidas como inválidas pelas funções internas de correção de HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Neste editor a maior parte das teclas de atalho funciona como em qualquer outro editor de texto. Por exemplo: Shift+Enter insere uma quebra de linha, Ctrl+C = copiar, Ctrl+X = cortar, Ctrl+Z = desfazer, Ctrl+Y = refazer, Ctrl+A = selecionar tudo etc. (no Mac, use a tecla Command em vez de Ctrl). Na aba Teclas de atalho, veja todos os atalhos disponíveis."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Se você não gostar do modo como o editor visual funciona, desative-o no submenu Seu perfil, na opção Usuários do menu de administração."
"Advanced Rich Editing","Edição visual avançada"
"Images and Attachments","Imagens e anexos"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Na barra de ferramentas do editor, existe um botão para inserir imagens já hospedadas em algum lugar na Internet. Se souber o URL de uma imagem, clique nesse botão para inserir o URL na caixa apresentada."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Se você precisa enviar uma imagem ou outro arquivo de mídia de seu computador, use o botão Biblioteca de Mídia, acima do editor. A Biblioteca de Mídia tentará criar uma cópia em miniatura para cada imagem enviada. Para inserir a imagem enviada no post, clique primeiro na miniatura para que seja apresentado um menu de opções. Quando você tiver selecionado as opções pretendidas, clique em \"Inserir no Post\" e a imagem ou arquivo irá aparecer no post que você está editando."
"HTML in the Rich Editor","HTML no Editor Visual"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Qualquer HTML digitado diretamente no editor vai aparecer como texto quando a publicação for vista. O que você vê é o que obtém. Se quiser incluir elementos HTML que não podem ser gerados com os botões da barra de ferramentas, você deve digitá-los diretamente no editor de texto. Exemplos disso são tabelas e &lt;código&gt;. Para fazer isso, clique na aba de texto e edite o código, então retorne para o modo visual. Se o código for válido e tiver sido entendido pelo editor, você deverá vê-lo imediatamente."
"Pasting in the Rich Editor","Colando no Editor Visual"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Ao colar conteúdo de uma outra página da web os resultados podem ser inconsistentes e dependem de seu navegador e da página da web de onde você está colando. O editor tenta corrigir qualquer código HTML incorreto que tenha sido colado, mas para melhores resultados tente utilizar a aba Texto ou um dos botões de colar que estão na segunda linha. Alternativamente, tente colar parágrafo por parágrafo. Na maior parte dos navegadores, para selecionar um parágrafo de cada vez, faça um clique triplo nele."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Colar conteúdo de uma outra aplicação, como Word ou Excel, funciona melhor com o botão Colar do Word, na segunda linha, ou em modo texto."
"Writing at Full Speed","Escrevendo à velocidade máxima"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Em vez de usar o mouse para clicar na barra de ferramentas, use as teclas de atalho. Em Windows e Linux use Ctrl + letra. Em Macintosh use Command + letra."
"Letter","Letra"
"Action","Ação"
"Select all","Selecionar tudo"
"Undo","Desfazer"
"Redo","Refazer"
"Bold","Negrito"
"Italic","Itálico"
"The following shortcuts use different access keys: Alt + Shift + letter.","Os seguintes atalhos usam teclas de acesso diferentes: Alt + Shift + letra."
"Check Spelling","Verificar ortografia"
"Align Left","Alinhar à esquerda"
"Justify Text","Justificar texto"
"Align Center","Centralizar"
"Strikethrough","Riscado"
"Align Right","Alinhar à direita"
"Insert link","Inserir link"
"Remove link","Remover link"
"Quote","Citação"
"Insert Image","Inserir imagem"
"Distraction Free Writing mode","Modo de escrita sem distrações"
"Insert More Tag","Inserir a tag Mais"
"Insert Page Break tag","Inserir tag de quebra de página"
"Editor width in Distraction Free Writing mode:","Largura do editor no Modo de Escrita sem Distrações:"
"Wider","Mais Largo"
"Narrower","Mais Estreito"
"Default width","Largura padrão"
"Version:","Versão:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE é uma plataforma independente, baseada em web. Um editor Javascript, HTML e WYSIWYG lançado como Código-aberto, sobre a licença %sLGPL</a>\tpor Moxiecode Systems AB. Tem a capacidade de converter campos de texto HTML ou outros campos em instâncias de editor."
"GNU Library General Public License","Licença Pública Geral da Biblioteca GNU"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright © 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Todos os direitos reservados."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Para mais informações sobre este software, visite o <a href=\"http://tinymce.com\" target=\"_blank\">site do TinyMCE</a>."
"Got Moxie?","Tem Moxie?"
"Comments Feed","Feed de comentários"
"Edit This","Editar"
"Edit comment","Editar comentário"
"Edit Link","Editar link"
"Use commas instead of %s to separate excluded categories.","Use vírgulas em vez de %s para separar categorias excluídas."
"Previous Post","Post anterior"
"Next Post","Post seguinte"
"Newer Comments &raquo;","Comentários mais recentes &raquo;"
"&laquo; Older Comments","&laquo; Comentários mais antigos"
"This is the short link.","Este é o link encurtado."
"Your server is running PHP version %s but WordPress %s requires at least %s.","O seu servidor funciona com a versão %s do PHP, mas o WordPress %s necessita pelo menos da versão %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Parece que em sua instalação do PHP está faltando a extensão MySQL, que é requesitada pelo WordPress."
"Maintenance","Manutenção"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Momentaneamente indisponível para manutenção programada. Confira novamente em um minuto."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERRO</strong>: <code>$table_prefix</code> no arquivo <code>wp-config.php</code> só pode conter números, letras e sublinhados."
"The site you have requested is not installed properly. Please contact the system administrator.","O site que você solicitou não está instalado adequadamente. Contate o administrador do site."
"S_Sunday_initial","D"
"M_Monday_initial","S"
"T_Tuesday_initial","T"
"W_Wednesday_initial","Q"
"T_Thursday_initial","Q"
"F_Friday_initial","S"
"S_Saturday_initial","S"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Solte os arquivos para fazer o upload"
"Upload Limit Exceeded","Limite de upload excedido"
"Drop files anywhere to upload","Solte os arquivos em qualquer lugar para fazer o upload"
"Select Files","Selecionar arquivos"
"Maximum upload file size: %d%s.","Tamanho máximo do arquivo: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","O seu navegador possui algumas limitações de upload de arquivos grandes pelo uploader de múltiplos arquivos. Use o <a href=\"%s\" target=\"%s\">uploader do navegador</a> para arquivos maiores que 100MB."
"Uploading","Upload em andamento"
"Dismiss Errors","Limpar erros"
"Error","Erro"
"Deselect","Desmarcar"
"Caption this image&hellip;","Escreva uma legenda&hellip;"
"Describe this video&hellip;","Descreva este vídeo&hellip;"
"Describe this audio file&hellip;","Descreva este arquivo de áudio&hellip;"
"Describe this media file&hellip;","Descreva este arquivo de mídia&hellip;"
"Attachment Details","Detalhes do anexo"
"Refresh","Atualizar"
"Delete Permanently","Excluir permanentemente"
"Alt Text","Texto alternativo"
"Description","Descrição"
"Edit","Editar"
"Clear","Limpar"
"Attachment Display Settings","Configurações de exibição do anexo"
"Link To","Link para"
"Custom URL","URL personalizado"
"Attachment Page","Página de anexo"
"Media File","Arquivo de mídia"
"Large","Grande"
"Gallery Settings","Configurações da galeria"
"Columns","Colunas"
"Random Order","Ordem aleatória"
"No editor could be selected.","Nenhum editor pode ser selecionado."
"Allowed Files","Arquivos Permitidos"
"Select","Selecionar"
"%d selected","selecionadas: %d"
"Drag and drop to reorder images.","Arraste e solte para reordenar as imagens."
"Upload Files","Fazer upload dos arquivos"
"Upload Images","Fazer upload das imagens"
"Media Library","Biblioteca de mídia"
"Insert Media","Inserir mídia"
"Create a new gallery","Criar uma nova galeria"
"&#8592; Return to library","&#8592; Devolver à biblioteca"
"All media items","Todas as mídias"
"No items found.","Nenhum item encontrado."
"Insert into page","Inserir na página"
"Insert into post","Inserir no post"
"Uploaded to this page","Anexadas a esta página"
"Uploaded to this post","Anexadas a este post"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Você está prestes a excluir permanentemente este item.\n  'Cancelar' para interromper, 'OK' para excluir."
"Insert from URL","Inserir do URL"
"Set Featured Image","Usar como imagem destacada"
"Set featured image","Usar como imagem destacada"
"Create Gallery","Criar galeria"
"&#8592; Cancel Gallery","&#8592; Cancelar a galeria"
"Insert gallery","Inserir galeria"
"Update gallery","Atualizar a galeria"
"Add to gallery","Adicionar à galeria"
"Add to Gallery","Adicionar à galeria"
"Reverse order","Inverter a ordem"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","A constante <code>VHOST</code> <strong>é obsoleta</strong>. Use a constante booleana <code>SUBDOMAIN_INSTALL</code> no wp-config.php para ativar uma configuração de subdomínio. Use is_subdomain_install() para verificar se uma configuração de subdomínio está ativada."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Valores conflitantes para a constante VHOST e SUBDOMAIN_INSTALL.</strong> A sua configuração de subdomínio será presumida como valor do SUBDOMAIN_INSTALL."
"The requested user does not exist.","O usuário solicitado não existe."
"That user does not exist.","Aquele usuário não existe."
"<strong>ERROR</strong>: Site URL already taken.","<strong>ERRO</strong>: URL de site já em uso."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ERRO</strong>: problema ao criar novo site."
"Only lowercase letters (a-z) and numbers are allowed.","Apenas letras minúsculas (a-z) e números são permitidos."
"Please enter a username.","Digite um nome de usuário."
"That username is not allowed.","Este nome de usuário não é permitido."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Você não pode usar este endereço de email para se registrar. Estamos enfrentando problemas com ele, pois seu servidor está bloqueando alguns de nossos emails. Use outro servidor de email."
"Username must be at least 4 characters.","O nome do usuário deve ter pelo menos 4 caracteres."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Nomes de usuário não podem conter os caracteres &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Nomes de usuário devem conter letras também!"
"Please enter a valid email address.","Digite um endereço de email válido."
"Sorry, that email address is not allowed!","Este email não é permitido!"
"Sorry, that username already exists!","Este nome de usuário já existe!"
"Sorry, that email address is already used!","Este email já está em uso!"
"That username is currently reserved but may be available in a couple of days.","Atualmente, este nome de usuário está reservado, mas pode ficar disponível em alguns dias."
"username and email used","nome de usuário e email usados"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Este endereço de email já foi usado. Confira se há um email de ativação em sua caixa de entrada. Ele se tornará disponível em alguns dias se você não fizer nada."
"Please enter a site name.","Digite um nome para o site."
"That name is not allowed.","Este nome não é permitido."
