"New password","Nytt passord"
"But, before you can start using your site, <strong>you must activate it</strong>.","Før du kan byrja å bruka nettstaden, <strong>må du stadfesta han</strong>"
"If you do not activate your site within two days, you will have to sign up again.","Viss du ikkje tek i bruk nettstaden din innan to dagar, må du registrera deg på nytt."
"Still waiting for your email?","Ventar du framleis på eposten din?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Viss du ikkje har fått nokon epost enno, er det fleire ting du kan gjera:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Vent litt til. Sume gonger kan epostar koma seint fram, utan at me kan gjera noko med det."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Sjekk søpel- eller spam-mappa på eposten din. Det hender epostane ved eit mistak kjem dit."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Skreiv du inn rett epostadresse? Du skreiv inn %s. Viss dette ikkje stemmer, vil du ikkje få epostar."
"all","alle"
"none","ingen"
"blog","blogg"
"user","brukar"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Hei, nettstadstyrar! Du gjev no løyve til &#8220;%s&#8221;-registreringar. For å skru av eller på registrering, kan du gå til sida for <a href=\"%s\">innstillingar</a>."
"Registration has been disabled.","Registreringa er slegen av."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Du må fyrst <a href=\"%s\">logga inn</a>, og så kan du laga ein ny nettstad."
"User registration has been disabled.","Brukarar kan ikkje registrera seg nett no."
"Site registration has been disabled.","Det går ikkje an å registrera nettstader no."
"Sorry, new registrations are not allowed at this time.","Orsak, men det er ikkje lov å registrera nye brukarar no."
"You are logged in already. No need to register again!","Du er alt logga inn, og treng ikkje registrera deg på nytt!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Nettstaden du såg etter, <strong>%s</strong> finst ikkje - men du kan laga han no!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Nettstaden du såg etter, <strong>%s</strong>, finst ikkje.</em></p>"
"Learn word","Lær ord"
"Insert Page Break","Set inn sideskift"
"Types","Typar"
"Lower alpha","Minusklar"
"Lower greek","Greske minusklar"
"Lower roman","Små romartal"
"Upper alpha","Majusklar"
"Upper roman","Store romartal"
"Circle","Sirkel"
"Disc","Plate"
"Square","Kvadrat"
"Rich Text Area","Riktekstfelt"
"Words:","Ord:"
"Styles","Stilar"
"Font size","Skriftstorleik"
"Font family","Skrifttype"
"Paragraph","Avsnitt"
"Address","Adresse"
"Preformatted","Førehandsformatert"
"Heading 1","Overskrift 1"
"Heading 2","Overskrift 2"
"Heading 3","Overskrift 3"
"Heading 4","Overskrift 4"
"Heading 5","Overskrift 5"
"Heading 6","Overskrift 6"
"Blockquote","Blokksitat"
"Code","Kode"
"Code sample","Kodeutval"
"Definition term","Nemning "
"Definition description","Nemningsbruk"
"Underline","Understrek"
"Strikethrough (Alt + Shift + D)","Gjennomstreking (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Venstrejuster (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Midtstill (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Høgrejuster (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Blokkjuster (Alt + Shift + J)"
"Outdent","Utrykk"
"Indent","Innrykk"
"Undo (Ctrl + Z)","Angra (Ctrl + Z)"
"Redo (Ctrl + Y)","Gjer om (Ctrl + Y)"
"Cleanup messy code","Rydd opp rotet kode"
"Edit HTML Source","Endra HTML-kjelde"
"Subscript","Lægja tekst"
"Superscript","Høgja tekst"
"Insert horizontal ruler","Sett inn vassrett line"
"Remove formatting","Fjern formatering"
"Select text color","Vel tekstfarge"
"Select background color","Vel bakgrunnsfarge"
"Insert custom character","Sett inn spesialteikn"
"Toggle guidelines/invisible elements","Hjelpeliner/usynlege element"
"Insert/edit anchor","Sett inn/endre anker"
"Cut","Klipp"
"Copy","Kopier"
"Paste","Lim inn"
"Image properties","Bileteigenskapar"
"New document","Nytt dokument"
"Help","Hjelp"
"Path","Stig"
"Are you sure you want to clear all contents?","Er du sikker på at du vil fjerna alt innhald?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Gåtil verktyknappar - ALT+Q, gå til handsamar - ALT-Z, gå til elementstig - ALT-X"
"Accessibility Help","Hjelp om tilgjenge"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Trykk ALT F10 for verktylinja. Trykk ALT 0 for hjelp."
"Toolbar","Verktylinje"
"About TinyMCE","Om TinyMCE"
"About","Om"
"License","Lisens"
"Plugins","Innstikk"
"Plugin","Innstikk"
"Author","Forfattar"
"Version","Versjon"
"Loaded plugins","Innlasta innstikk"
"Anchor name","Ankernamn"
"HTML Source Editor","HTML-kodehandsamar"
"Word wrap","Orddeling"
"Select a color","Vel ein farge"
"Picker","Veljar"
"Color picker","Fargeveljar"
"Palette","Palett"
"Palette colors","Palettfargar"
"Named","Namngjeven"
"Named colors","Namngjevne fargar"
"Color:","Farge:"
"Name:","Namn:"
"Select custom character","Vel spesialteikn"
"Use left and right arrows to navigate.","Bruk høgre- og venstrepilene for å navigera."
"Image URL","URL til bilete"
"Image description","Biletforklaring"
"Image list","Biletliste"
"Border","Kantline"
"Dimensions","Storleikar"
"Vertical space","Loddrett mellomrom"
"Horizontal space","Vassrett mellomrom"
"Baseline","Grunnline"
"Top","Topp"
"Middle","Midten"
"Bottom","Botn"
"Text top","Teksttopp"
"Text bottom","Tekstbotn"
"Link URL","Lenkje-URL"
"Target","Mål"
"Open link in the same window","Opne lenkje i same vindauge"
"Open link in a new window","Opne lenkje i eit nytt vindauge"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","URL-en du skreiv inn ser ut til å vere ei e-postadresse. Vil du leggje til det påkravde mailto:-førefestet?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","URL-en du skreiv inn ser ut til å vera ei lenkje som går ut av denne veven. Vil du leggje til det påkravde http://-førefestet?"
"Link list","Lenkjeliste"
"General Usage","Vanleg bruk"
"General","Generelt"
"Advanced","Avansert"
"File/URL","Fil/URL"
"List","Liste"
"Constrain proportions","Avgrens proposjonar"
"Name","Namn"
"V-Space","L-mellomrom"
"H-Space","V-mellomrom"
"Auto play","Automatisk avspeling"
"Loop","Lykkje"
"Show menu","Vis meny"
"Quality","Kvalitet"
"Scale","Endra storleik"
"Align","Juster"
"SAlign","SJuster"
"WMode","W-modus"
"Flashvars","Flash-variablar"
"Cache","Mellomlager"
"Hidden","Skjult"
"Controller","Kontroll"
"Kiosk mode","Kiosk-modus"
"Play every frame","Spel av alle rammer"
"Target cache","Mål-mellomlager"
"No correction","Inga retting"
"Enable JavaScript","Slå på JavaScript"
"Start time","Starttid"
"End time","Sluttid"
"Choke speed","Avgrensingsfart"
"Volume","Volum"
"Auto start","Start automatisk"
"Enabled","Aktivert"
"Fullscreen","Fullskjerm"
"Invoke URLs","Kall URL-ar"
"Mute","Døyv"
"Stretch to fit","Strekk for å passe"
"Windowless video","Film utan vindauge"
"Balance","Jamvekt"
"Base URL","Hovud-URL"
"Captioning id","ID for bilettekst"
"Current marker","Gjeldande markør"
"Current position","Gjeldande plassering"
"Default frame","Standardråme"
"Play count","Avspelingstal"
"Rate","Fart"
"UI Mode","UI-modus"
"Flash options","Val for Flash"
"QuickTime options","QuickTime-val"
"Windows media player options","Val for Windows media player"
"Real media player options","Val for Real media player"
"Shockwave options","Val for Shockwave"
"Auto goto URL","Gå automatisk til URL"
"Image status","Status på bilete"
"Maintain aspect","Hald på tilhøvet"
"No java","Ingen Java"
"Prefetch","Hent på førehand"
"Shuffle","Vilkårleg avspeling"
"Console","Konsoll"
"Num loops","Tal på lykkjer"
"Controls","Kontrollar"
"Script callbacks","Skript-tilbakekall"
"Stretch style","Strekkstil"
"Stretch H-Align","Strekk vassrett"
"Stretch V-Align","Strekk loddrett"
"Sound","Lyd"
"Progress","Framgang"
"QT Src","QT-kjelde"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Strøyma <abbr title=\"Real Time Streaming Protocol\" lang=\"en\">RTSP</abbr>-ressursar lyt verte lagt til i feltet QT-kjelde under avansert-fana."
"Top left","Øvst til venstre"
"Top right","Øvst til høgre"
"Bottom left","Nedst til venstre"
"Bottom right","Nedst til høgre"
"Flash video options","Val for Flash-video"
"Scale mode","Skaleringsmodus"
"Buffer","Mellomlager"
"Start image","Startbilete"
"Default volume","Standardvolum"
"Hidden GUI","Skjult grensesnitt"
"Show scale modes","Vis skaleringsmodus"
"Smooth video","Jamn video"
"JS Callback","JS-tilbakekall"
"HTML5 Video Options","Val for HTML5-video"
"Alternative source 1","Alternativ kjelde 1"
"Alternative source 2","Alternativ kjelde 2"
"Preload","Førlasting"
"Poster","Plakat"
"Source","Kjelde"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Vis/gøym verktykassa (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Set inn Les vidare (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Set inn sidebryting (Alt + Shift + P)"
"More...","Meir..."
"Next page...","Neste side..."
"Add Media","Legg til medium"
"Add an Image","Legg til eit bilete"
"Add Video","Legg til video"
"Add Audio","Legg til lyd"
"Edit Gallery","Endra galleri"
"Delete Gallery","Slett galleri"
"Distraction Free Writing mode (Alt + Shift + W)","Konsentrert skriving-modus (Alt + Shift + W)"
"Edit Image","Endra bilete"
"Delete Image","Slett bilete"
"Advanced Settings","Avanserte innstillingar"
"Size","Storleik"
"Thumbnail","Miniatyr"
"Medium","Middels"
"Full Size","Full storleik"
"Current Link","Gjeldande lenkje"
"Link to Image","Lenkje til bilete"
"Enter a link URL or click above for presets.","Skriv inn ein lenkje-URL eller klikk over for forvalde."
"Advanced Image Settings","Avanserte biletinnstillingar"
"Width","Breidd"
"Height","Høgd"
"Original Size","Opphavleg storleik"
"CSS Class","CSS-klasse"
"Advanced Link Settings","Avanserte lenkjeinnstillingar"
"Link Rel","Lenkjesamhøve"
"60%s","60 %s"
"70%s","70 %s"
"80%s","80 %s"
"90%s","90 %s"
"100%s","100 %s"
"110%s","110 %s"
"120%s","120 %s"
"130%s","130 %s"
"Caption","Undertittel"
"Alternative Text","Alternativ tekst"
"Rich Editor Help","Hjelp til rikteksthandsamar"
"Basics of Rich Editing","Grunnleggjande om rikteksthandsaming"
"Basics","Grunnleggjande"
"Advanced use of the Rich Editor","Avansert bruk av rikteksthandsamaren"
"Hotkeys","Snøggtastar"
"About the software","Om programvara"
"Rich Editing Basics","Grunnleggjande om rikteksthandsaming"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Rikteksthandsaming</em>, også kalla WYSIWYG for <span lang=\"en\">What You See Is What You Get</span> (det du ser er det du får), tyder at teksten din vert formatert fortlaupande når du skriv. Rikteksthandsamaren oppretter HTML-kode bak kulissane slik at du kan halde fokuset ditt på skrivinga. Skriftstilar, lenkjer og bilete framstår om lag slik dei kjem til å sjå ut på Internett."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress har ein rikteksthandsamar for HTML som fungerer godt med alle større nettlesarar i dag. Det å handsame HTML er ikkje det same som å skrive inn tekst. Kvar einaste vevside har to overordna delar: strukturen, som er den faktiske HTML-koden og er produsert av handsamaren medan du skriv, og utskrifta, som er lagt til av den gjeldande WordPress-bunaden og er definert i style.css. WordPress lagar gyldig XHTML 1.0, som tyder at det å setje inn fleire lineskift (BR-element) etter eit avsnitt ikkje vil lage tomrom på sida di. BR-elementa vil verte fjerna som ugyldige av den innebygde HTML-kontrollfunksjonen."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Dei vanlegaste tastatursnarvegane vil fungere i handsamaren. Til dømes: Shift+Enter set inn lineskift, Ctrl+C = kopier, Ctrl+X = klipp ut, Ctrl+Z = angre, Ctrl+Y = gjenta, Ctrl+A = merk alt, og så bortetter (på Mac nyttar du kommando-tasten i staden for Ctrl). Sjå Snøggtastar-fana for alle tilgjengelege tastatursnarvegar."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Om du ikkje liker måten rikteksthandsamaren fungerer på, kan du skru han av frå undermenyen Din profil, under Brukarar i adminmenyen."
"Advanced Rich Editing","Avansert rikteksthandsaming"
"Images and Attachments","Bilete og vedlegg"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Det er ein knapp i verktylina for å setje inn bilete som er lagra ein annan stad på Internett. Om du har ein URL til eit bilete, klikk denne knappen og set inn URL-en i tekstfeltet."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Viss du treng å lasta opp eit bilete eller ei anna mediefil frå datamaskina di, kan du bruka mediebibliotek-knappen over redigeringa. Mediebiblioteket vil prøva å laga miniatyrbilete av det du lastar opp. For å setja biletet inn i innlegget ditt, klikkar du på miniatyren for å få opp ein meny med val. Når du har valt det du ynskjer, klikkar du \"Set inn i innlegget\", og biletet eller fila vil koma opp i innlegget du skriv."
"HTML in the Rich Editor","HTML i rikteksthandsamaren"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Når du skriv inn HTML i riktekst-redigeringa, kjem det opp som tekst når du ser på innlegget. Det du ser, er det du får. Viss du vil ha med HTML-element som ikkje kan lagast med verktøyknappane, må du skriva det inn for hand i tekstredigeringa. Dette kan til dømes vera tabellar og &lt;code&gt;taggar. For å skriva inn HTML, går du til tekstfanen og redigerer koden, så tilbake til riktekstmodus. Viss koden er gyldig, og redigeringsprogrammet klarer å tolka han, vil du sjå resultatet med ein gong."
"Pasting in the Rich Editor","Klipp og lim i Rikteksthandsamaren"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Når du limer inn innhald frå ei anna nettside, kan resultatet bli ulikt etter kva nettlesar og nettside du limer inn frå. Redigeringsprogrammet prøver å retta opp ugyldig HTML-kode som blir limt inn, men du bør bruka tekstmodus-fana eller ein av lim inn-knappane på andre rada for best resultat. Eventuelt kan du prøva å lima inn avsnitt for avsnitt. I dei fleste nettlesarar kan du velja eit avsnitt ved å trippelklikka på det."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Om du vil lima inn innhald frå eit anna program, til dømes Word eller Excel, er det best å bruka Lim inn frå Word-knappen på andre rada, eller bruka tekstmodus."
"Writing at Full Speed","Skriving i høg fart"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","I staden for å nytte musa for å klikke på verktylina, nytt desse snøggtastane. Windows og Linux nyttar CTRL + bokstav. Macintosh nyttar Command + bokstav."
"Letter","Bokstav"
"Action","Handling"
"Select all","Vel alt"
"Undo","Angre"
"Redo","Gjer om"
"Bold","Feit"
"Italic","Skråstilt"
"The following shortcuts use different access keys: Alt + Shift + letter.","Dei følgjande snarvegane nyttar andre tastar: Alt + Shift + bokstav."
"Check Spelling","Stavekontroll"
"Align Left","Venstrejuster"
"Justify Text","Blokkjuster"
"Align Center","Midtstill"
"Strikethrough","Gjennomstrek"
"Align Right","Høgrejuster"
"Insert link","Set inn lenkje"
"Remove link","Fjern lenkje"
"Quote","Sitat"
"Insert Image","Set inn bilete"
"Distraction Free Writing mode","Konsentrert skriving-modus"
"Insert More Tag","Sett inn Meir-merket"
"Insert Page Break tag","Set inn sideskift"
"Editor width in Distraction Free Writing mode:","Breidd på redigeringsvindauget i modus for konsentrert skriving:"
"Wider","Vidare"
"Narrower","Smalare"
"Default width","Standardbreidd"
"Version:","Utgåve:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE er eit plattformuavhengig Javascript HTML-direkteredigeringsprogram som er open kjeldekode, under %sLGPL</a>\tav Moxiecode Systems AB. Det kan gjera om HTML TEXTAREA-felt eller andre HTML-element til redigeringsvindauge."
"GNU Library General Public License","GNU Library General Public-lisensen"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Alle rettar atterhaldne."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Les meir om programmet på <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE-heimesida</a>."
"Got Moxie?","Har du Moxie?"
"Comments Feed","Nyheitsstraum for innspel"
"Edit This","Endra dette"
"Edit comment","Endra innspel"
"Edit Link","Endra lenkje"
"Use commas instead of %s to separate excluded categories.","Bruk komma i staden for %s for å dela opp utelatne kategoriar."
"Previous Post","Førre innlegg"
"Next Post","Neste innlegg"
"Newer Comments &raquo;","Nyare innspel →"
"&laquo; Older Comments","← Eldre innspel"
"This is the short link.","Dette er den korte lenkja."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Tenaren køyrer PHP-versjon %s, men WordPress %s krev minst %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","PHP-installasjonen ser ut til å mangla MySQL-utvidinga, som WordPress treng."
"Maintenance","Vedlikehald"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Sida er nede på grunn av planlagt vedlikehald. Prøv att om ei lita stund."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>Feil</strong>: <code>$table_prefix</code> i <code>wp-config.php</code> kan berre innehalda tal, bokstavar og understrek."
"The site you have requested is not installed properly. Please contact the system administrator.","Denne nettstaden er ikkje skikkeleg installert. Ta kontakt med administratoren."
"S_Sunday_initial","su."
"M_Monday_initial","må."
"T_Tuesday_initial","ty."
"W_Wednesday_initial","on."
"T_Thursday_initial","to."
"F_Friday_initial","fr."
"S_Saturday_initial","la."
"am","a.m."
"pm","p.m."
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Slepp filer for å lasta opp"
"Upload Limit Exceeded","Over opplastingsgrensa"
"Drop files anywhere to upload","Slepp filer kvar som helst for å lasta opp"
"Select Files","Vel filer"
"Maximum upload file size: %d%s.","Største filopplastingsstorleik: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Nettlesaren din har avgrensingar på å lasta opp store filer med multi-opplastinga. Bruk heller <a href=\"%s\" target=\"%s\">nettlesar-opplastinga</a> for filer over 100MB."
"Uploading","Lastar opp"
"Dismiss Errors","Sjå bort frå feilmeldingar"
"Error","Feil "
"Deselect","Fjern valet"
"Caption this image&hellip;","Skriv bilettekst til dette biltetet&hellip;"
"Describe this video&hellip;","Skriv ei skildring til denne filmen&hellip;"
"Describe this audio file&hellip;","Skriv ei skildring til denne lydfila&hellip;"
"Describe this media file&hellip;","Skriv ei skildring til denne mediefila&hellip;"
"Attachment Details","Detaljar om vedlegget"
"Refresh","Last omatt"
"Delete Permanently","Slett for alltid"
"Alt Text","Alternativ tekst"
"Description","Skildring"
"Edit","Endra"
"Clear","Tøm"
"Attachment Display Settings","Innstillingar for vedleggsvising"
"Link To","Lenk til"
"Custom URL","Eiga adresse"
"Attachment Page","Vedleggsside"
"Media File","Mediafil"
"Large","Stor"
"Gallery Settings","Innstillingar for galleri"
"Columns","Spalter"
"Random Order","Tilfeldig rekkjefylgje"
"No editor could be selected.","Greidde ikkje velja redigeringsprogram."
"Allowed Files","Tilletne filer"
"Select","Vel"
"%d selected","Valde: %d"
"Drag and drop to reorder images.","Dra og slepp for å flytta om på bileta."
"Upload Files","Last opp filer"
"Upload Images","Last opp bilete"
"Media Library","Mediasamling"
"Insert Media","Set inn media"
"Create a new gallery","Lag eit nytt galleri"
"&#8592; Return to library","&#8592; Tilbake til biblioteket"
"All media items","Alle mediaelement"
"No items found.","Fann ingen element."
"Insert into page","Set inn på sida"
"Insert into post","Set inn i innlegget"
"Uploaded to this page","Lasta opp til denne sida"
"Uploaded to this post","Lasta opp til dette innlegget"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Du skal til å sletta dette elementet for alltid.\n'Avbryt' for å stoppa, 'OK' for å sletta."
"Insert from URL","Set inn frå URL"
"Set Featured Image","Bestem hovudbilete"
"Set featured image","Bestem hovudbilete"
"Create Gallery","Lag galleri"
"&#8592; Cancel Gallery","&#8592; Avbryt galleriet"
"Insert gallery","Set inn galleri"
"Update gallery","Oppdater galleriet"
"Add to gallery","Legg til i galleriet"
"Add to Gallery","Legg til i galleriet"
"Reverse order","Snu om"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanten <code>VHOST</code> <strong>er ikkje i bruk lenger</strong>. Bruk den boolske konstanten <code>SUBDOMAIN_INSTALL</code> i wp-config.php for å skru på underdomene-installasjon. Bruk is_subdomain_install() for å sjekka om undedomene er på eller av."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Konflikt for verdiane i konstantane VHOST og SUBDOMAIN_INSTALL.</strong> Verdien for SUBDOMAIN_INSTALL blir teken for å vera rett oppsett for underdomene."
"The requested user does not exist.","Denne brukaren finst ikkje."
"That user does not exist.","Den brukaren finst ikkje."
"<strong>ERROR</strong>: Site URL already taken.","<strong>FEIL</strong>: Nettstadadressa er oppteken."
