"New password","Nueva contraseña"
"Gimme a site!","¡Dame un sitio!"
"Just a username, please.","Solo el nombre de usuario, gracias."
"Next","Siguiente"
"%s is your new username","%s es tu nuevo nombre de usuario"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Pero, antes de poder comenzar a usar tu nuevo nombre de usuario, <strong>debes activarlo</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Comprueba la bandeja de entrada de <strong>%s</strong> y haz clic en el enlace que encontrarás."
"If you do not activate your username within two days, you will have to sign up again.","Si no activas tu nombre de usuario en dos días, deberás registrarte de nuevo."
"Signup","Registrarse"
"Congratulations! Your new site, %s, is almost ready.","¡Felicidades! Tu nuevo sitio , %s, ya está listo."
"But, before you can start using your site, <strong>you must activate it</strong>.","Pero, antes de que puedas comenzar a usar tu sitio, <strong>debes activarlo</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Si no activas tu sitio en dos días, deberás registrarte de nuevo."
"Still waiting for your email?","¿Continúas esperando el correo electrónico?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Si todavía no has recibido el correo electrónico, hay una serie de acciones que puedes realizar:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Espera un poco más. Hay veces, que el correo electrónico puede tardar en salir, por razones que escapan a nuestro control."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Comprueba la carpeta de correo basura, correo no deseado o spam de tu cliente de correo electrónico o correo web. A veces los correos electrónicos acaban ahí por equivocación."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","¿Has introducido tu correo electrónico correctamente? Has introducido %s, si es incorrecto no lo recibirás."
"all","todo"
"none","ninguno"
"user","usuario"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","¡Felicidades administrador del sitio! Ahora ya permites registros de &#8220;%s&#8221;. Para cambiarlo o desactivar los registros ve a tu <a href=\"%s\">página de opciones</a>."
"Registration has been disabled.","Los registros están deshabilitados."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Primero debes <a href=\"%s\">iniciar sesión</a>, después podrás crear un sitio nuevo."
"User registration has been disabled.","No se permite el registro de nuevos usuarios."
"Site registration has been disabled.","No se permiten nuevos registros de sitios."
"Sorry, new registrations are not allowed at this time.","Disculpa, los nuevos registros están deshabilitados."
"You are logged in already. No need to register again!","Ya te has identificado. ¡No necesitas registrarte de nuevo!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>El sitio que estás buscando, <strong>%s</strong> no existe pero puedes crearlo ahora.</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em> El sitio que has estado buscando, <strong>%s</strong>, no existe.</em></p>"
"Learn word","Aprender palabra"
"Insert Page Break","Insertar salto de página"
"Types","Tipos"
"Lower alpha","Alfa inferior"
"Lower greek","Griega inferior"
"Lower roman","Romana inferior"
"Upper alpha","Alfa superior"
"Upper roman","Romana superior"
"Circle","Círculo"
"Disc","Disco"
"Square","Cuadrado"
"Rich Text Area","Área de texto enriquecido"
"Words:","Palabras:"
"Styles","Estilos"
"Font size","Tamaño de la fuente"
"Font family","Familia de la fuente"
"Format","Formato"
"Paragraph","Párrafo"
"Address","Dirección"
"Preformatted","Preformateado"
"Heading 1","Título 1"
"Heading 2","Título 2"
"Heading 3","Título 3"
"Heading 4","Título 4"
"Heading 5","Título 5"
"Heading 6","Título 6"
"Blockquote","Cita"
"Code","Código"
"Code sample","Código de ejemplo"
"Definition term","Definición del término"
"Definition description","Definición de descripción"
"Underline","Subrayado"
"Strikethrough (Alt + Shift + D)","Tachado (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Alinear a la izquierda (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Alinear al centro (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Alinear a la derecha (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Justificación completa (Alt + Shift + J)"
"Outdent","Disminuir margen"
"Indent","Aumentar margen"
"Undo (Ctrl + Z)","Deshacer (Ctrl + Z)"
"Redo (Ctrl + Y)","Rehacer (Ctrl + Y)"
"Cleanup messy code","Limpiar el código desordenado"
"Edit HTML Source","Editar HTML"
"Subscript","Subíndice"
"Superscript","Superíndice"
"Insert horizontal ruler","Insertar línea horizontal"
"Remove formatting","Eliminar formato"
"Select text color","Elegir color de texto"
"Select background color","Elegir color de fondo"
"Insert custom character","Insertar carácter especial"
"Toggle guidelines/invisible elements","Mostrar/Ocultar guías y otros elementos"
"Insert/edit anchor","Insertar/Editar anclaje"
"Cut","Cortar"
"Copy","Copiar"
"Paste","Pegar"
"Image properties","Propiedades de la imagen"
"New document","Nuevo documento"
"Help","Ayuda"
"Path","Ruta"
"Are you sure you want to clear all contents?","¿Seguro que quieres borrar todo el contenido?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Ir a la herramienta de los botones - Alt + Q, Ir al editor - Alt-Z, Ir al elemento de la ruta - Alt-X"
"Accessibility Help","Ayuda sobre accesibilidad"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Pulsa ALT F10 para la barra de herramientas. Pulsa ALT 0 para ayuda."
"Toolbar","Barra de herramientas"
"About TinyMCE","Acerca de TinyMCE"
"About","Acerca de"
"License","Licencia"
"Author","Autor"
"Version","Versión"
"Loaded plugins","Plugins cargados"
"Anchor name","Nombre del ancla"
"HTML Source Editor","Editor HTML"
"Word wrap","Ajuste de palabras"
"Select a color","Elige un color"
"Picker","Selector"
"Color picker","Selector de color"
"Palette","Paleta"
"Palette colors","Paleta de colores"
"Named","Nombrado"
"Named colors","Nombre de los colores"
"Name:","Nombre:"
"Select custom character","Elegir un carácter especial"
"Use left and right arrows to navigate.","Usa las flechas izquierda y derecha para navegar."
"Image URL","URL de la imagen"
"Image description","Descripción de la imagen"
"Image list","Lista de imágenes"
"Border","Borde"
"Dimensions","Dimensiones"
"Vertical space","Espacio vertical"
"Horizontal space","Espacio horizontal"
"Baseline","Linea base"
"Top","Arriba"
"Middle","Intermedio"
"Bottom","Abajo"
"Text top","Texto superior"
"Text bottom","Texto inferior"
"Link URL","URL del enlace"
"Target","Destino"
"Open link in the same window","Abrir el enlace en la misma ventana"
"Open link in a new window","Abrir el enlace en una nueva ventana"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","La URL que has introducido parece ser un correo electrónico, ¿quieres añadir el prefijo mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","La URL especificada parece ser un enlace externo, ¿quieres añadir el prefijo http://?"
"Link list","Lista de enlaces"
"General Usage","Uso general"
"General","Generales"
"Advanced","Avanzado"
"File/URL","Archivo/URL"
"List","Lista"
"Constrain proportions","Mantener proporciones"
"Type","Tipo"
"Name","Nombre"
"V-Space","Espacio vertical"
"H-Space","Espacio horizontal"
"Auto play","Reproducción automática"
"Loop","Repetir"
"Show menu","Mostrar menú"
"Quality","Calidad"
"Scale","Escala"
"Align","Alineación"
"WMode","Modo de ventana"
"Cache","Caché"
"Hidden","Oculto"
"Controller","Controlador"
"Kiosk mode","Modo quiosco"
"Play every frame","Reproducir todos los cuadros"
"Target cache","Caché destino"
"No correction","Sin corrección"
"Enable JavaScript","Activar JavaScript"
"Start time","Hora de inicio"
"End time","Hora de finalización"
"Choke speed","Velocidad de obstrucción"
"Volume","Volumen"
"Auto start","Inicio automático"
"Enabled","Activado"
"Fullscreen","Pantalla completa"
"Invoke URLs","Invocar URLs"
"Mute","Silenciar"
"Stretch to fit","Estrechar para ajustar"
"Windowless video","Vídeo sin ventana"
"Base URL","URL base"
"Captioning id","ID de captura"
"Current marker","Marcador actual"
"Current position","Posición actual"
"Default frame","Marco por defecto"
"Play count","Contador de reproducción"
"Rate","Puntuar"
"UI Mode","Modo UI"
"Flash options","Opciones del Flash"
"QuickTime options","Opciones de QuickTime"
"Windows media player options","Opciones de Windows Media Player"
"Real media player options","Opciones de Real Media Player"
"Shockwave options","Opciones de Shockwave"
"Auto goto URL","Ir automáticamente a la URL"
"Image status","Estado de la Imagen"
"Maintain aspect","Mantener aspecto"
"No java","Sin java"
"Prefetch","Prelectura"
"Shuffle","Aleatorio"
"Console","Consola"
"Num loops","Bucles numéricos"
"Controls","Controles"
"Script callbacks","Llamadas de Script"
"Stretch style","Estilo estirado"
"Stretch H-Align","Estirar alineación horizontal"
"Stretch V-Align","Estirar alineación vertical"
"Sound","Sonido"
"Progress","Progreso"
"QT Src","Origen de QT"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Los recursos Rtsp deben añadirse en el campo Origen de QT en la pestaña de Ajustes avanzados."
"Top left","Arriba izq."
"Top right","Arriba dcha."
"Bottom left","Abajo izq."
"Bottom right","Abajo dcha."
"Flash video options","Opciones del video Flash"
"Scale mode","Modo de escala"
"Start image","Imagen de inicio"
"Default volume","Volumen predeterminado"
"Hidden GUI","Ocultar GUI"
"Show scale modes","Mostrar modos de escala"
"Smooth video","Suavizar vídeo"
"JS Callback","Llamada JS"
"HTML5 Video Options","Opciones de vídeo HTML5"
"Alternative source 1","Fuente alternativa 1"
"Alternative source 2","Fuente alternativa 2"
"Preload","Precarga"
"Poster","Cartel"
"Source","Fuente"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Mostrar/Oultar opciones avanzadas (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Insertar etiqueta More (Alt + Shift+ T)"
"Insert Page break (Alt + Shift + P)","Insertar salto de línea (Alt + Shift + P)"
"More...","Más..."
"Next page...","Siguiente página..."
"Add Media","Añadir objeto"
"Add an Image","Añadir una imagen"
"Add Video","Añadir un vídeo"
"Add Audio","Añadir un archivo de audio"
"Edit Gallery","Editar galería"
"Delete Gallery","Eliminar galería"
"Distraction Free Writing mode (Alt + Shift + W)","Modo de escritura sin distracciones (Alt + Shift + W)"
"Edit Image","Editar imagen"
"Delete Image","Eliminar imagen"
"Advanced Settings","Ajustes avanzados"
"Size","Tamaño"
"Thumbnail","Miniatura"
"Medium","Medio"
"Full Size","Tamaño completo"
"Current Link","Enlace actual"
"Link to Image","Enlazar a imagen"
"Enter a link URL or click above for presets.","Introduce una URL para el enlace o clic sobre el actual."
"Advanced Image Settings","Ajustes avanzados de imágenes"
"Width","Ancho"
"Height","Altura"
"Original Size","Tamaño original"
"CSS Class","Clase CSS"
"Advanced Link Settings","Ajustes avanzados de enlaces"
"Link Rel","Relación del enlace"
"Caption","Leyenda"
"Alternative Text","Texto alternativo"
"Rich Editor Help","Ayuda del editor visual"
"Basics of Rich Editing","Uso básico del editor visual"
"Basics","Básico"
"Advanced use of the Rich Editor","Uso avanzado del Editor visual"
"Hotkeys","Atajos de teclado"
"About the software","Acerca del programa"
"Rich Editing Basics","Edición visual básica"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","La <em>edición visual</em>, también llamada WYSIWYG por What You See Is What You Get (en inglés, Lo Que Ves Es Lo Que Obtendrás), consiste en dar formato al texto a medida que lo escribes. El editor visual va creando el código HTML tras las bambalinas mientras tú te centras en escribir. Tipos de letra, enlaces e imágenes se ven tal y como aparecerán en Internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress incluye un editor HTML que suele funcionar bien en los principales navegadores utilizados en la actualidad. Sin embargo, la edición de HTML no es tan fiable como escribir texto. Cada página Web tiene dos componentes principales: la estructura, que es el actual código HTML y es producido por el editor a partir de los que estás escribiendo, y el diseño, que se aplica a ella por el tema seleccionado WordPress y se define en el style.css. Además WordPress válida XHTML 1.0, lo que significa que no se puede mostrar el control de los elementos estructurales. Por lo tanto, la inserción de varios saltos de línea (BR etiquetas) después de un párrafo no da lugar a  espacios en blanco en la página web final. La etiquetas BR serán eliminadas como incorrectas por las funciones de  corrección."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Si sueles usar el editor, la mayoría de las combinaciones de teclas básicas funcionan como en cualquier otro editor de texto. Por ejemplo: Shift + Enter inserta un salto de línea, Ctrl + C = copiar, Ctrl + X = cortar, Ctrl + Z = deshacer, Ctrl + Y = rehacer, Ctrl + A = seleccionar todo, etc (en Mac usar la tecla Comando en lugar de Ctrl). Puedes ver la lista de teclas rápidas para todos los atajos de teclado."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Si no te gusta la forma en que trabaja el editor visual, podrás desactivarlo desde el submenu de tu perfil, en el menú usuario en la administración."
"Advanced Rich Editing","Edición visual avanzada"
"Images and Attachments","Imágenes y archivos"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","En la barra de herramientas del editor hay un botón para insertar imágenes hospedadas en cualquier sitio de Internet. Si tienes el URL de una imagen, haz clic en ese botón y escríbelo en la ventana que aparecerá."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Si necesitas subir una imagen u otro archivo multimedia desde tu ordenador puedes usar el botón de la Librería multimedia que hay sobre el editor. La librería multimedia intentará crear una copia en miniatura para cada imagen cargada. Para insertar tu imagen en la entrada, primero haz clic en la miniatura para mostrar un menú de opciones. Cuando hayas elegido las opciones que te gusten haz clic en \"Insertar en la entrada\" y tu imagen o archivo aparecerá en la entrada que se está editando."
"HTML in the Rich Editor","HTML en el editor visual"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Cualquier código HTML introducido directamente en el editor Visual aparecerá como texto en la entrada. Lo que ves es lo que hay. Cuando quieras incluir elementos HTML que no pueden ser generados con los botones de la barra de herramientas, debes introducirlos a mano en el modo HTML del editor. Por ejemplo, tablas o &lt;código&gt;. Para hacer esto haz click en la pestaña HTML y edita el código, después vuelve al modo Visual. Si el código es válido y entendido por el editor, deberías verlo transformado inmediatamente."
"Pasting in the Rich Editor","Pegando en el editor visual"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Cuando pegas contenido directamente de otra web, los resultados pueden ser inconsistentes y variables dependiendo de tu navegador y de la página desde la que pegues. El editor intentará corregir los códigos HTML no válidos que pongas, pero para obtener un mejor resultado, usa la pestaña de edición de texto o los botones de pegar que hay en la segunda fila. También puedes intentar pegarlo párrafo por párrafo. En la mayoría de los navegadores, si hace clic tres veces seleccionas un párrafo entero."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Si quieres pegar contenido de otra aplicación, como Word o Excel, se hace mucho mejor con el botón \"Pegar desde Word\" que hay en la segunda fila, o en modo texto"
"Writing at Full Speed","Escribir a toda velocidad"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","En lugar de mover el ratón para hacer clic en la barra de herramientas, usa estas teclas de acceso rápido. En Windows y Linux usa Ctrl+letra. En Macintosh usa Comando+letra."
"Letter","Letra"
"Action","Acción"
"Select all","Seleccionar todos"
"Undo","Deshacer"
"Redo","Rehacer"
"Bold","Negrita"
"Italic","Cursiva"
"The following shortcuts use different access keys: Alt + Shift + letter.","Los siguientes atajos utilizan claves de acceso diferentes: Alt + Shift + letra."
"Check Spelling","Comprobar ortografía"
"Align Left","Alinear a la izquierda"
"Justify Text","Justificar texto"
"Align Center","Alinear al centro"
"Strikethrough","Tachado"
"Align Right","Alinear a la derecha"
"Insert link","Insertar enlace"
"Remove link","Borrar enlace"
"Quote","Cita"
"Insert Image","Insertar imagen"
"Distraction Free Writing mode","Mode de escritura sin distracciones"
"Insert More Tag","Insertar etiqueta Más"
"Insert Page Break tag","Insertar etiqueta de salto de página"
"Editor width in Distraction Free Writing mode:","Anchura del editor en el modo de escritura sin distracciones:"
"Wider","Más ancho"
"Narrower","Más estrecho"
"Default width","Ancho por defecto"
"Version:","Versión:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE es un editor Javascript HTML WYSIWYG basado en web e independiente de la plataforma, liberado como Código abierto bajo la licencia %sLGPL</a>→ por Moxiecode Systems AB. Puede convertir campos u o tros elementos HTML en instancias del editor."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Derechos de copia &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Todos los derechos reservados."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Para más información sobre este software visita la  <a href=\"http://tinymce.com\" target=\"_blank\">web de TinyMCE</a>."
"Got Moxie?","¿Tienes Moxie?"
"Comments Feed","Feed de comentarios"
"Edit This","Editar Esto"
"Edit comment","Editar comentario"
"Edit Link","Editar enlace"
"Use commas instead of %s to separate excluded categories.","Utiliza comas en vez de %s para separar categorías excluidas."
"Previous Post","Entrada anterior"
"Next Post","Entrada siguiente"
"Newer Comments &raquo;","Últimos comentarios &raquo;"
"&laquo; Older Comments","&laquo; Comentarios más viejos"
"This is the short link.","Este es el enlace corto."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Tu servidor está ejecutando la versión %s de PHP, pero WordPess %s necesita, al menos, la versión %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Parece que tu instalación de PHP no cuenta con la extensión de MySQL, necesaria para hacer funcionar WordPress."
"Maintenance","Mantenimiento"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","No disponible por mantenimiento programado.  Vuelve a comprobar el sitio en unos minutos."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERROR</strong>: <code>$table_prefix</code> en <code>wp-config.php</code> sólo puede contener números, letras y guiones bajos."
"The site you have requested is not installed properly. Please contact the system administrator.","El sitio que has solicitado no está instalado correctamente. Por favor, ponte en contacto con el administrador del sistema."
"S_Sunday_initial","D"
"M_Monday_initial","L"
"T_Tuesday_initial","M"
"W_Wednesday_initial","X"
"T_Thursday_initial","J"
"F_Friday_initial","V"
"S_Saturday_initial","S"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Suelta aquí los archivos a subir"
"Upload Limit Exceeded","Límite de subida excedido"
"Drop files anywhere to upload","Suelta archivos en cualquier lugar para subirlos"
"Select Files","Selecciona archivos"
"Maximum upload file size: %d%s.","Tamaño máximo de subida de archivos: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Tu navegador tiene algunas limitaciones para subir archivos grandes desde el cargador múltiple. Por favor, usa el <a href=\"%s\" target=\"%s\">cargador de navegador</a> para archivos de más de 100MB."
"Uploading","Subiendo"
"Dismiss Errors","Descartar errores"
"Deselect","Desmarcar"
"Caption this image&hellip;","Titula esta imagen&hellip;"
"Describe this video&hellip;","Describe este video&hellip;"
"Describe this audio file&hellip;","Describe este archivo de audio&hellip;"
"Describe this media file&hellip;","Describe este archivo&hellip;"
"Attachment Details","Detalles de adjuntos"
"Refresh","Actualizar"
"Delete Permanently","Borrar permanentemente"
"Alt Text","Texto alternativo"
"Description","Descripción"
"Edit","Editar"
"Clear","Limpiar"
"Attachment Display Settings","Ajustes de la pantalla de adjuntos"
"Link To","Enlazado a"
"Custom URL","URL personalizada"
"Attachment Page","Página de adjuntos"
"Media File","Archivo multimedia"
"Large","Grande"
"Gallery Settings","Ajustes de galería"
"Columns","Columnas"
"Random Order","Orden aleatorio"
"No editor could be selected.","No se pudo elegir ningún editor."
"Allowed Files","Archivos permitidos"
"Select","Elegir"
"%d selected","%d seleccionados"
"Drag and drop to reorder images.","Arrastra y suelta para ordenar las imágenes."
"Upload Files","Subir archivos"
"Upload Images","Subir imágenes"
"Media Library","Librería multimedia"
"Insert Media","Insertar objeto"
"Create a new gallery","Crear una nueva galería"
"&#8592; Return to library","&#8592; Volver a la librería"
"All media items","Todos los elementos multimedia"
"No items found.","No se han encontrado elementos."
"Insert into page","Insertar en la página"
"Insert into post","Insertar en la entrada"
"Uploaded to this page","Subir a esta página"
"Uploaded to this post","Subido a esta entrada"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Estás a punto de borrar permanentemente este elemento.\n 'Cancelar' para parar, 'Aceptar' para borrar."
"Insert from URL","Insertar desde URL"
"Set Featured Image","Fijar la imagen destacada"
"Set featured image","Asignar imagen destacada"
"Create Gallery","Crear galería"
"&#8592; Cancel Gallery","&#8592; Cancelar galería"
"Insert gallery","Inserta galería"
"Update gallery","Actualizar galería"
"Add to gallery","Añadir a la galería"
"Add to Gallery","Añadir a la Galería"
"Reverse order","Orden inverso"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","La constante <code>VHOST</code> <strong> está obsoleta</strong>. Usa la constante booleana/lógica <code>SUBDOMAIN_INSTALL</code> en wp-config.php para habilitar la configuración de subdominios. Usa is_subdomain_install() para comprobar si la configuración de subdominios está activada."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Hay valores en conflicto para las constantes VHOST y SUBDOMAIN_INSTALL.</strong> Se asumirá que el valor de la configuración de subdominio es SUBDOMAIN_INSTALL."
"The requested user does not exist.","El usuario solicitado no existe."
"That user does not exist.","Este usuario no existe"
"<strong>ERROR</strong>: Site URL already taken.","<strong>ERROR</strong>: URL del sitio ya utilizada."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ERROR</strong>: ha habido un problema al crear la entrada del sitio."
"Only lowercase letters (a-z) and numbers are allowed.","Sólo se permiten minúsculas (a-z) y números."
"Please enter a username.","Por favor escribe el nombre de usuario."
"That username is not allowed.","Ese nombre de usuario no está permitido."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","No puedes usar este correo electrónico para registrarte. Estamos teniendo problemas con él, bloquea nuestros correos electrónicos. Por favor, usa otro proveedor."
"Username must be at least 4 characters.","El nombre de usuario debe tener, al menos, 4 caracteres."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","¡Lo sentimos, nombres de usuario no puede contener el caracter &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Disculpa, el nombre de usuario, también debe contener letras."
