"New password","Ny adgangskode"
"Your address will be %s.","Din adresse bliver %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Skal være på mindst fire tegn, men kun bogstaver og tal. Det kan ikke ændres, så vælg med omhu."
"Site Title:","Titel på websted:"
"Privacy:","Privatliv:"
"Allow search engines to index this site.","Tillad søgemaskiner at indeksere denne hjemmeside."
"Yes","Ja"
"No","Nej"
"(Must be at least 4 characters, letters and numbers only.)","(Skal være mindst 4 tegn og kun bogstaver og tal.)"
"Email&nbsp;Address:","E-mail-adresse:"
"We send your registration email to this address. (Double-check your email address before continuing.)","Vi sender din tilmeldings-e-mail til denne adresse. (Dobbelttjek din e-mail-adresse, før du fortsætter.)"
"Get <em>another</em> %s site in seconds","Få <em>et websted mere</em> på %s i løbet af ingen tid"
"There was a problem, please correct the form below and try again.","Der er noget galt. Tilføj rettelser i formularen nedenfor og prøv igen."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Velkommen tilbage, %s. Ved at udfylde formularen nedenfor kan du <strong>tilføje endnu et websted til din konto</strong>. Der er ingen begrænsninger på, hvor mange websteder, du kan have, så du kan bare oprette så mange, som du har lyst til. Men vær ansvarlig, når du skriver!"
"Sites you are already a member of:","Sider du allerede er medlem af:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Hvis du ikke vil bruge et lækkert webstedsdomæne, så gem det til en ny bruger. Ellers skal du bare gå videre!"
"Create Site","Opret websted"
"The site %s is yours.","Webstedet %s er dit."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> er din nye side. <a href=\"%s\">Log ind</a> som &#8220;%s&#8221; med din nuværende adgangskode."
"Get your own %s account in seconds","Få din egen %s-konto på få sekunder"
"Gimme a site!","Gi' mig et websted!"
"Just a username, please.","Bare et brugernavn, tak."
"Next","Næste"
"%s is your new username","%s er dit nye brugernavn"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Men, før du kan bruge dit nye brugernavn, skal du <strong>aktivere det</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Tjek din indbakke på <strong>%s</strong> og klik på linket."
"If you do not activate your username within two days, you will have to sign up again.","Hvis du ikke aktiverer dit brugernavn inden to dage, skal du gennemføre tilmeldingen igen."
"Signup","Tilmeld"
"Congratulations! Your new site, %s, is almost ready.","Tillykke! Dit nye websted, %s, er næsten på plads."
"But, before you can start using your site, <strong>you must activate it</strong>.","Men før du kan begynde at bruge din side, <strong>skal du aktivere den</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Hvis du ikke aktiverer din side indenfor to dage, skal du tilmelde dig påny."
"Still waiting for your email?","Venter du stadig på din e-mail?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Hvis du endnu ikke har modtaget din e-mail, er der forskellige ting, du kan gøre:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Vent lidt længere. Levering af e-mail kan sommetider være forsinket på grund af processer uden for vores kontrol."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Husk at kontrollere din junk- eller spammappe. Nogen gange havner e-mails der ved en fejltagelse."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Har du indtastet din e-mail korrekt? Du har indtastet %s. Hvis den ikke er korrekt, vil du ikke få dine e-mails."
"all","alle"
"none","ingen"
"user","bruger"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Hej, administrator! Du tillader i øjeblikket &#8220;%s&#8221; oprettelser. For at ændre eller deaktivere oprettelser skal du gå til <a href=\"%s\">Indstillinger</a>."
"Registration has been disabled.","Registrering er slået fra."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Du skal først <a href=\"%s\">logge ind</a>. Derefter kan du oprette et nyt websted."
"User registration has been disabled.","Brugerregistrering er blevet slået fra."
"Site registration has been disabled.","Oprettelse af websteder er blevet deaktiveret."
"Sorry, new registrations are not allowed at this time.","Beklager, nye registreringer ikke tilladt i øjeblikket."
"You are logged in already. No need to register again!","Du er allerede logget ind. Der er ingen grund til at du opretter dig igen!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Webstedet, du søgte efter, <strong>%s</strong>, eksisterer ikke. Men du kan oprette det nu!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Webstedet, du søgte efter, <strong>%s</strong>, eksisterer ikke.</em></p>"
"Learn word","Lær ord"
"Insert Page Break","Indsæt sideskift"
"Types","Skrifttyper"
"Lower alpha","Små bogstaver"
"Lower greek","Små græske tegn"
"Lower roman","Små romertal"
"Upper alpha","Store bogstaver"
"Upper roman","Store romertal"
"Circle","Cirkel"
"Disc","Skive"
"Square","Firkant"
"Rich Text Area","Rich text område"
"Words:","Ord:"
"Styles","Designs"
"Font size","Fontstørrelse"
"Font family","Fontfamilie"
"Format","Formatering"
"Paragraph","Afsnit"
"Address","Adresse"
"Preformatted","Preformatteret"
"Heading 1","Overskrift 1"
"Heading 2","Overskrift 2"
"Heading 3","Overskrift 3"
"Heading 4","Overskrift 4"
"Heading 5","Overskrift 5"
"Heading 6","Overskrift 6"
"Code","Kode"
"Code sample","Kodeeksempel"
"Definition term","Definitionsterm"
"Definition description","Definitionsbeskrivelse"
"Underline","Understreget"
"Strikethrough (Alt + Shift + D)","Gennemstregning (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Venstrestil (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Centrer (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Højrestillet (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Justeret (Alt + Shift + J)"
"Outdent","Afcitér/Ryk ud"
"Indent","Citér/Indryk"
"Undo (Ctrl + Z)","Fortryd (Ctrl + Z)"
"Redo (Ctrl + Y)","Annuller fortryd (Ctrl + Y)"
"Cleanup messy code","Rens rodet kode"
"Edit HTML Source","Rediger HTML-kilde"
"Subscript","Sænket skrift"
"Superscript","Hævet tekst"
"Insert horizontal ruler","Indsæt vandstret streg"
"Remove formatting","Fjern formatering"
"Select text color","Vælg tekstfarve"
"Select background color","Vælg baggrundsfarve"
"Insert custom character","Indsæt specialtegn"
"Toggle guidelines/invisible elements","Toggle guidelines/usynlige elementer"
"Insert/edit anchor","Indsæt/Rediger anchor"
"Cut","Klip"
"Copy","Kopier"
"Paste","Sæt ind"
"Image properties","Billedegenskaber"
"New document","Nyt dokument"
"Help","Hjælp"
"Path","Sti"
"Are you sure you want to clear all contents?","Er du sikker på, du vil fjerne alt indhold?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Gå til værktøjsknapper - Alt+Q, Gå til editor - Alt-Z, Gå til elementsti - Alt-X"
"Accessibility Help","Tilgængelighed Hjælp"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Tryk på ALT F10 for værktøjslinje. Tryk på ALT 0 for hjælp."
"Toolbar","Værktøjslinje"
"About TinyMCE","Om TinyMCE"
"About","Om"
"Author","Forfatter"
"Loaded plugins","Loadede plugins"
"Anchor name","Anchor-navn"
"HTML Source Editor","HTML kildeeditor"
"Word wrap","Tekstombrydning"
"Select a color","Vælg en farve"
"Picker","Vælger"
"Color picker","Farvevælger"
"Palette colors","Palettefarver"
"Named","Navngivet"
"Named colors","Navngivne farver"
"Color:","Farve:"
"Name:","Navn:"
"Select custom character","Vælg specialtegn"
"Use left and right arrows to navigate.","Brug venstre- og højrepile til at navigere."
"Image URL","Billede-URL"
"Image description","Billedbeskrivelse"
"Image list","Billedliste"
"Border","Ramme"
"Dimensions","Dimensioner"
"Vertical space","Vertikal afstand"
"Horizontal space","Horisontal afstand"
"Baseline","Grundlinje"
"Middle","Midten"
"Bottom","Bund"
"Text top","Tekst øverst"
"Text bottom","Tekst nederst"
"Link URL","Link-URL"
"Open link in the same window","Åbn link i samme vindue"
"Open link in a new window","Åbn link i nyt vindue"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Den URL, du har indtastet, lader til at være en e-mailadresse. Vil du tilføje det påkrævede mailto: prefix?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Den URL, du har indtastet, lader til at linke eksternt, vil du tilføje det påkrævede http:// prefix?"
"Link list","Linkliste"
"General Usage","Generel anvendelse"
"General","Generelt"
"Advanced","Avanceret"
"File/URL","Fil/URL"
"List","Liste"
"Constrain proportions","Lås proportioner"
"Name","Navn"
"Auto play","Afspil automatisk"
"Show menu","Vis menu"
"Quality","Kvalitet"
"Scale","Skaler"
"Align","Justering"
"Flashvars","FlashVars"
"Hidden","Skjult"
"Play every frame","Afspil alle frames"
"No correction","Ingen rettelse"
"Enable JavaScript","Aktiver JavaScript"
"Start time","Startid"
"End time","Sluttid"
"Auto start","Autostart"
"Enabled","Aktiveret"
"Fullscreen","Fuld skærm"
"Invoke URLs","Start-URL'er"
"Stretch to fit","Stræk for at tilpasse"
"Captioning id","Billedtekst-id"
"Current position","Nuværende position"
"Play count","Antal afspilninger"
"Flash options","Flash-indstillinger"
"QuickTime options","QuickTime-indstillinger"
"Windows media player options","Windows Media Player-instillinger"
"Real media player options","Real Media Player-instillinger"
"Shockwave options","Shockwave-instillinger"
"Image status","Billedstatus"
"Maintain aspect","Lås forhold"
"No java","Ingen java"
"Stretch H-Align","Stræk H-Align"
"Stretch V-Align","Stræk V-Align"
"Sound","Lyd"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Streamed rtsp resources bør tilføjes QT Src-feltet under fanebladet Avanceret."
"Top left","Øverst til venstre"
"Top right","Øverst til højre"
"Bottom left","Nederst til venstre"
"Bottom right","Nederst til højre"
"Flash video options","Flash-video-indstillinger"
"Start image","Startbillede"
"Default volume","Standardvolume"
"Hidden GUI","Gemt GUI"
"Show scale modes","Vis skaleringsmærker"
"HTML5 Video Options","HTML5 Videoindstillinger"
"Alternative source 1","Alternativ 1"
"Alternative source 2","Alternativ 2"
"Poster","Plakat"
"Source","Kilde"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Vis/skjul ekstra værktøjslinje (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Indsæt Mere-tag (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Indsæt sideskift (Alt + Shift + P)"
"More...","Mere..."
"Next page...","Næste side..."
"Add Media","Tilf&#248;j medier"
"Add an Image","Tilf&#248;j et billede"
"Add Video","Tilf&#248;j video"
"Add Audio","Tilf&#248;j lydklip"
"Edit Gallery","Rediger galleri"
"Delete Gallery","Slet galleri"
"Distraction Free Writing mode (Alt + Shift + W)","Distraktionsfri skrivning (Alt + Skift + W)"
"Edit Image","Rediger billede"
"Delete Image","Slet billede"
"Advanced Settings","Avancerede indstillinger"
"Size","St&#248;rrelse"
"Full Size","Fuld størrelse"
"Current Link","Nuværende link"
"Link to Image","Link til billede"
"Enter a link URL or click above for presets.","Skriv en link-url eller klik ovenfor for forudindstillinger."
"Advanced Image Settings","Avancerede billedindstillinger"
"Width","Bredde"
"Height","H&#248;jde"
"Original Size","Oprindelig størrelse"
"CSS Class","CSS-klasse"
"Advanced Link Settings","Avancerede linkindstillinger"
"Link Rel","Link-rel"
"60%s","60 %s"
"70%s","70 %s"
"80%s","80 %s"
"90%s","90 %s"
"100%s","100 %s"
"110%s","110 %s"
"120%s","120 %s"
"130%s","130 %s"
"Caption","Billedtekst"
"Alternative Text","Alternativ tekst"
"Rich Editor Help","Rich Editor hjælp"
"Basics of Rich Editing","Grundlæggende Rich Editing"
"Basics","Grundl&#230;ggende"
"Advanced use of the Rich Editor","Avanceret brug af Rich Editor"
"Hotkeys","Genvejstaster"
"About the software","Om softwaren"
"Rich Editing Basics","Grundl&#230;ggende Rich Editing"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Rich Editing</em>, som ogs&#229; kaldes WYSIWYG (What You See Is What You Get), betyder, at din tekst bliver formateret, mens du skriver. Rich Editor laver HTML-kode bag scenen, mens du koncentrerer dig om at skrive. Fonts, links og billeder vil se ud lige n&#248;jagtig som de g&#248;r p&#229; internettet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress har en indbygget HTML-editor, som virker godt i alle store browsere. Det er dog ikke det samme at redigere HTML som at skrive tekst. Hver webside har to vigtige elementer: strukturen, som er den egentlige HTML-kode og som bliver produceret af editoren mens du skriver, og visningen, som styres af filen style.css i det tema, du bruger. WordPress producerer gyldig XHTML 1.0, hvilket betyder, at selv om du inds&#230;tter flere linjeskift efter hinanden (br-tags) efter et afsnit, s&#229; vises der ikke whitespace p&#229; websiden. Disse br-tags vi blive fjernet som ugyldige af de indbyggede HTML-korrektionsfunktioner."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Når du bruger editoren, kan du bruge de fleste gængse genvejstaster. For eksempel: Shift+Enter indsætter linjeskift, Ctrl+C = kopier, Ctrl+X = klip, Ctrl+Z = fortryd, Ctrl+Y = genskab, Ctrl+A = vælg alt osv. (på en Mac skal du bruge Command-knappen i stedet for Ctrl). Vælg fanebladet Genvejstaster for at se alle tilgængelige genvejstaster."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Hvis du ikke synes om m&#229;den rich editoren virker p&#229;, kan du sl&#229; den fra i Din profil-undermenuen under Brugere i administrationsmenuen."
"Advanced Rich Editing","Avanceret Rich Editing"
"Images and Attachments","Billeder og vedh&#230;ftede filer"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Der er en knap i værktøjslinjen i editoren, der kan bruges til at indsætte billeder, der allerede ligger på internettet. Hvis du har en URL til et billede, kan du bare klikke på den knap og indsætte URL'en i popup-boksen."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Hvis du vil uploade et billede eller en anden mediefil fra din computer kan du bruge Tilføj medier knappen over editoren. Mediebiblioteket vil forsøge at skabe en miniatureudgave af hvert uploaded billede. For at indsætte dit billede i artiklen skal du klikke på miniaturen for at få adgang til en indstillingsmenu. Når du har valgt dine ønskede indstillinger trykker du 'Indsæt i indlæg' og dit billede eller din fil vil blive vist i det indlæg du redigerer."
"HTML in the Rich Editor","HTML i Rich Editor"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Når artiklen læses vil alt HTML der indskrives direkte i rich editoren blive vist som tekst. Hvad du ser, er hvad du får. Når du vil inkludere HTML elementer, der ikke kan laves med knapperne i værktøjslinjen, skal du indskrive det direkte i tekst-editoren. Eksempler kan være tabeller og &lt;code&gt;.\nFor at gøre dette, klik på tekst fanebladet, og tilføj dine ændringer til koden, og skift derefter tilbage til den visuelle editor. Hvis koden er gyldig og editoren forstår den, bør du set den gengivet med det samme."
"Pasting in the Rich Editor","Inds&#230;t i Rich Editor"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Når der indsættes indhold fra en anden hjemmeside kan resultatet blive ændret og vil afhænge af din browser og den hjemmeside du kopierer fra. Editoren prøver at tilrette ugyldig HTML koden når det indsættes, men for at opnå det bedste resultat bør du anvende tekst-fanebladet eller en af indsætknapperne i række to. Alternativt kan du indsætte et afsnit ad gangen. I de fleste browsere kan man vælge et helt afsnit ved at klikke på det tre gange hurtigt."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Indsættelse af indhold fra et andet program, som Word eller Excel, gøres bedst med Indsæt fra Word-knappen i anden række eller i tekst-tilstand."
"Writing at Full Speed","Skriver med fuld fart"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","I stedet for at r&#230;kke ud efter musen n&#229;r du vil bruge v&#230;rkt&#248;jslinjen, kan du bruge disse taster. Windows og Linux bruger Ctrl + bogstav. Macintosh bruger Command + bogstav."
"Letter","Bogstav"
"Action","Handling"
"Select all","V&#230;lg alle"
"Undo","Fortryd"
"Redo","Annuller fortryd"
"Bold","Fed"
"Italic","Kursiv"
"The following shortcuts use different access keys: Alt + Shift + letter.","F&#248;lgende genveje bruger andre taster: Alt + Shift + bogstav."
"Check Spelling","Stavekontrol"
"Align Left","Venstrejusteret"
"Justify Text","Juster tekst"
"Align Center","Centreret"
"Strikethrough","Gennemstreg"
"Align Right","Højrejusteret"
"Insert link","Inds&#230;t link"
"Remove link","Fjern link"
"Quote","Citat"
"Insert Image","Inds&#230;t billede"
"Distraction Free Writing mode","Distraktionsfri skrivning"
"Insert More Tag","Indsæt Mere-tag"
"Insert Page Break tag","Inds&#230;t Sideskift-tag"
"Editor width in Distraction Free Writing mode:","Editor-bredde ved distraktionsfri skrivning:"
"Wider","Bredere"
"Narrower","Smallere"
"Default width","Standardbredde"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE er en platformuafhængig webbaseret Javascript HTML WYSIWYG-editor udgivet som Open Source under %sLGPL</a> → af Moxiecode Systems AB. Det kan konvertere HTML TEXTAREA felter eller andre HTML-elementer til noget, der lettere kan redigeres."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright © 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB </a>. Alle rettigheder forbeholdes."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","For mere information omkring dette software, besøg <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCEs hjemmeside</a>."
"Got Moxie?","Har du Moxie?"
"Comments Feed","Kommentarfeed"
"Edit This","Rediger"
"Edit comment","Rediger kommentar"
"Edit Link","Rediger link"
"Use commas instead of %s to separate excluded categories.","Brug komma i stedet for  %s for at adskille ekskluderede katagorier."
"Previous Post","Tidligere indl&#230;g"
"Next Post","N&#230;ste indl&#230;g"
"Newer Comments &raquo;","Nyere kommentarer &raquo;"
"&laquo; Older Comments","&laquo; &#230;ldre kommentarer"
"This is the short link.","Dette er det korte link."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Din server kører PHP version %s, men WordPress %s kræver minimum version %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Det ser ud til, at din PHP-installation mangler MySQL-udvidelsen, som kr&#230;ves af WordPress."
"Maintenance","Vedligeholdelse"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Er ikke tilgængelig pga. planlagt vedligeholdelse. Kom tilbage om et par minutter."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>FEJL</strong>: <code>$table_prefix</code> i <code>wp-config.php</code> m&#229; kun indeholde tal, bogstaver og underscores."
"The site you have requested is not installed properly. Please contact the system administrator.","Det websted, du prøver at få adgang til, er ikke installeret korrekt. Kontakt venligst systemadministratoren."
"S_Sunday_initial","s"
"M_Monday_initial","m"
"T_Tuesday_initial","ti"
"W_Wednesday_initial","o"
"T_Thursday_initial","to"
"F_Friday_initial","f"
"S_Saturday_initial","l"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Træk filer for at uploade"
"Upload Limit Exceeded","Upload begrænsning overskredet"
"Drop files anywhere to upload","Træk filer hertil for at uploade"
"Select Files","Vælg filer"
"Maximum upload file size: %d%s.","Maksimal upload filstørrelse: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Din browser har nogle begrænsninger i forbindelse med upload af store filer med multi-fil uploaderen. Brug venligst <a href=\"%s\" target=\"%s\">browser uploaderen</a> for filer over 100MB."
"Uploading","Uploader"
"Dismiss Errors","Afvis fejl"
"Error","Fejl "
"Deselect","Fravælg"
"Caption this image&hellip;","Billedtekst til dette billede&hellip;"
"Describe this video&hellip;","Beskriv denne video&hellip;"
"Describe this audio file&hellip;","Beskriv denne lydfil&hellip;"
"Describe this media file&hellip;","Beskriv denne mediefil&hellip;"
"Attachment Details","Detaljer for vedhæftning"
"Refresh","Genindlæs"
"Delete Permanently","Slet permanent"
"Alt Text","Alt Tekst"
"Description","Beskrivelse"
"Edit","Rediger"
"Clear","Ryd"
"Attachment Display Settings","Indstillinger for visning af vedhæftning"
"Link To","Link til"
"Custom URL","Tilpasset URL"
"Attachment Page","Side for vedhæftning"
"Media File","Medie fil"
"Large","Stor"
"Gallery Settings","Indstillinger for galleri"
"Columns","Kolonner"
"Random Order","Tilfældig rækkefølge"
"No editor could be selected.","Editor kunne ikke vælges."
"Allowed Files","Tilladte filer"
"Select","V&#230;lg"
"%d selected","%d valgt"
"Drag and drop to reorder images.","Træk og slip for at omrokere billeder"
"Upload Files","Upload filer"
"Upload Images","Upload billeder"
"Media Library","Mediebibliotek"
"Insert Media","Indsæt medier"
"Create a new gallery","Opret nyt galleri"
"&#8592; Return to library","&#8592; Tilbage til biblioteket"
"All media items","Alle medier"
"No items found.","Ingen emner fundet"
"Insert into page","Indsæt på siden"
"Insert into post","Indsæt i indlæg"
"Uploaded to this page","Uploaded til denne side"
"Uploaded to this post","Uploaded til denne artikel"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Du er ved at slette dette element permanent.\n  'Annuller' for at stoppe, 'OK' for at slette."
"Insert from URL","Indsæt fra URL"
"Set Featured Image","Vælg fremhævet billede"
"Set featured image","Vælg fremhævet billede"
"Create Gallery","Opret galleri"
"&#8592; Cancel Gallery","&#8592; Fortryd galleri"
"Insert gallery","Indsæt galleri"
"Update gallery","Opdater galleri"
"Add to gallery","Tilføj til galleri"
"Add to Gallery","Tilføj til Galleri"
"Reverse order","Omvendt rækkefølge"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Konstanten <code>VHOST</code> <strong>er under udfasning</strong>. Brug den booleske konstant <code>SUBDOMAIN_INSTALL</code> i wp-config.php til at aktivere opsætning med subdomæner. Brug is_subdomain_install() til at tjekke, om opsætningen med subdomæner er aktiveret."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Der er værdier i konflikt for konstanterne VHOST og SUBDOMAIN_INSTALL.</strong> Værdien for SUBDOMAIN_INSTALL antages at være din indstilling for subdomæneopsætning."
"The requested user does not exist.","Den anmodede bruger findes ikke."
"That user does not exist.","Den bruger eksisterer ikke."
"<strong>ERROR</strong>: Site URL already taken.","<strong>FEJL</strong>: Webstedets URL er allerede taget."
"<strong>ERROR</strong>: problem creating site entry.","<strong>FEJL</strong>: Der opstod et problem under oprettelsen af webstedet."
"Only lowercase letters (a-z) and numbers are allowed.","Kun små bogstaver (a-z) og tal er tilladt."
"Please enter a username.","Angiv venligst et brugernavn."
"That username is not allowed.","Brugernavn ikke tilladt."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Du kan ikke bruge denne e-mail-adresse til tilmelding. Vi har problemer med, at den e-mail-udbyder blokerer nogle af vores e-mails. Brug venligst en anden udbyder."
"Username must be at least 4 characters.","Brugernavn skal være mindst 4 karakterer langt."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Beklager, brugernavne kan ikke indeholde tegnet &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","OBS! Et brugernavn skal indeholde nogle bogstaver også!"
"Please enter a valid email address.","Indtast venligst en gyldig e-mail-adresse."
"Sorry, that email address is not allowed!","Beklager, den e-mail-adresse er ikke tilladt!"
"Sorry, that username already exists!","Beklager, men der er allerede en, der har taget det brugernavn!"
"Sorry, that email address is already used!","Beklager, den e-mail-adresse er allerede i brug!"
"That username is currently reserved but may be available in a couple of days.","Dette brugernavn er i øjeblikket reserveret, men kan være til rådighed om et par dage."
"username and email used","brugernavn og e-mail er i brug"
