"New password","Nové heslo"
"Disc","Puntík"
"Square","Čtvereček"
"Rich Text Area","Pole s vizuálním editorem"
"Words:","Počet slov:"
"Styles","Styly"
"Font size","Velikost písma"
"Font family","Druh písma"
"Format","Formát"
"Paragraph","Odstavec"
"Address","Adresa"
"Preformatted","Přednastavené formátování"
"Heading 1","Nadpis 1"
"Heading 2","Nadpis 2"
"Heading 3","Nadpis 3"
"Heading 4","Nadpis 4"
"Heading 5","Nadpis 5"
"Heading 6","Nadpis 6"
"Blockquote","Bloková citace"
"Code","Kód"
"Code sample","Ukázka kódu"
"Definition term","Definovaný termín"
"Definition description","Popis definice"
"Underline","Podtržení"
"Strikethrough (Alt + Shift + D)","Přeškrtnout (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Zarovnat doleva (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Zarovnat na střed (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Zarovnat doprava (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Zarovnat do bloku (Alt + Shift + J)"
"Outdent","Zmenšit odsazení"
"Indent","Zvětšit odsazení"
"Undo (Ctrl + Z)","Zpět (Ctrl + Z)"
"Redo (Ctrl + Y)","Znovu (Ctrl + Y)"
"Cleanup messy code","Vyčistit nekvalitní kód"
"Edit HTML Source","Upravit zdrojový HTML kód"
"Subscript","Dolní index"
"Superscript","Horní index"
"Insert horizontal ruler","Vložit vodorovnou čáru"
"Remove formatting","Odstranit formátování"
"Select text color","Zvolit barvu textu"
"Select background color","Zvolit barvu pozadí"
"Insert custom character","Vložit speciální znak"
"Toggle guidelines/invisible elements","Zapnout/vypnout neviditelné prvky"
"Insert/edit anchor","Vložit/upravit kotvu"
"Cut","Vyjmout"
"Copy","Kopírovat"
"Paste","Vložit"
"Image properties","Vlastnosti obrázku"
"New document","Nový dokument"
"Help","Nápověda"
"Path","Cesta"
"Are you sure you want to clear all contents?","Opravdu chcete smazat celý obsah?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Přeskočit na panel nástrojů - Alt+Q, přeskočit do editoru - Alt-Z, přeskočit na cestu k prvkům - Alt-X"
"Accessibility Help","Nápověda k přístupnosti webu"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Stiskněte klávesy ALT a F10 pro zobrazení panelu nástrojů. Pomocí kláves ALT a 0 pak zobrazíte nápovědu."
"Toolbar","Panel nástrojů"
"About TinyMCE","Informace o vizuálním editoru TinyMCE"
"About","O programu"
"License","Licence"
"Plugins","pluginů na stránku"
"Author","Redaktor"
"Version","Verze"
"Loaded plugins","Načtené pluginy"
"Anchor name","Název kotvy"
"HTML Source Editor","HTML Editor"
"Word wrap","Zalomení řádků"
"Select a color","Zvolit barvu"
"Picker","Vzorník"
"Color picker","Vzorník barev"
"Palette","Paleta"
"Palette colors","Paleta barev"
"Named","Názvy"
"Named colors","Názvy barev"
"Color:","Barva:"
"Name:","Jméno:"
"Select custom character","Vyberte speciální symbol"
"Use left and right arrows to navigate.","Mezi symboly se můžete pohybovat pomocí pravé a levé šipky."
"Image URL","URL obrázku"
"Image description","Popis obrázku"
"Image list","Seznam obrázků"
"Border","Orámování"
"Dimensions","Rozměry"
"Vertical space","Vertikální mezera"
"Horizontal space","Horizontální mezera"
"Baseline","Na účaří řádku"
"Top","Nahoru"
"Middle","Na střed řádku"
"Bottom","Dolů"
"Text top","Na vrch textu"
"Text bottom","Na spodek textu"
"Link URL","URL odkazu"
"Target","Zobrazení odkazu"
"Open link in the same window","Otevřít odkaz ve stejném okně"
"Open link in a new window","Otevřít odkaz v novém okně"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","Vložené URL vypadá jako emailová adresa. Chcete k ní přidat požadovaný chybějící parametr (mailto:)?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","Vložené URL vypadá jako externí odkaz. Chcete k němu přidat požadovaný chybějící parametr (http://)?"
"Link list","Seznam odkazů"
"General Usage","Základní použití"
"General","Obecné"
"Advanced","Pokročilé"
"File/URL","Soubor/URL"
"List","Seznam"
"Constrain proportions","Zachovat proporce"
"Type","Typ"
"Name","Název"
"V-Space","Vertikální mezera"
"H-Space","Horizontální mezera"
"Auto play","Automaticky přehrát"
"Loop","Opakovaný cyklus"
"Show menu","Zobrazit menu"
"Quality","Kvalita"
"Scale","Změnit velikost"
"Align","Zarovnat"
"Base","Základna"
"Hidden","Skrytý"
"Controller","Ovladač"
"Kiosk mode","Celoobrazovkový režim"
"Play every frame","Přehrát každý snímek"
"Target cache","Cílová cache"
"No correction","Bez korekcí"
"Enable JavaScript","Povolit JavaScript"
"Start time","Počáteční čas"
"End time","Čas ukončení"
"Choke speed","Zpomalit"
"Volume","Hlasitost"
"Auto start","Automatické spuštění"
"Enabled","Povoleno"
"Fullscreen","Celá obrazovka"
"Invoke URLs","Vyvolat URL"
"Mute","Ztlumit"
"Stretch to fit","Roztáhnout do velikosti okna"
"Windowless video","Video bez vlastního okna"
"Balance","Vyvážení"
"Base URL","Základní URL"
"Captioning id","Popisovací ID"
"Current marker","Aktuální ukazatel"
"Current position","Aktuální pozice"
"Default frame","Původní rámec"
"Play count","Doba hraní"
"Rate","Hodnocení"
"Flash options","Nastavení Flashe"
"QuickTime options","Nastavení QuickTime"
"Windows media player options","Nastavení Windows Media Player"
"Real media player options","Nastavení Real Media Player"
"Shockwave options","Nastavení Shockwave"
"Auto goto URL","Automaticky přejít na URL"
"Image status","Stav obrázku"
"Maintain aspect","Zachovat poměr stran"
"No java","Vypnout Javu"
"Console","Konzola"
"Num loops","Počet opakování"
"Controls","Ovládání"
"Script callbacks","Zpětné volání skriptů"
"Stretch style","Načíst styl"
"Stretch H-Align","Roztáhnout vodorovné zarovnání"
"Stretch V-Align","Roztáhnout svislé zarovnání"
"Sound","Zvuk"
"Progress","Průběh"
"QT Src","QT Zdroj"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Streamované rtsp zdroje mohou být přidány do pole QT Zdroj v pokročilém nastavení."
"Top left","Vlevo nahoře"
"Top right","Vpravo nahoře"
"Bottom left","Vlevo dole"
"Bottom right","Vpravo dole"
"Flash video options","Nastavení pro Flash video"
"Scale mode","Mód velikosti"
"Start image","Počáteční obrázek"
"Default volume","Původní hlasitost"
"Hidden GUI","Skryté GUI"
"Show scale modes","Zobrazit módy velikosti"
"Smooth video","Vyhlazené video"
"JS Callback","Zpětné volání JS"
"HTML5 Video Options","Nastavení HTML5 videa"
"Alternative source 1","1. náhradní zdroj"
"Alternative source 2","2. náhradní zdroj"
"Preload","Předběžně nahrát"
"Poster","Zástupný obrázek"
"Source","Zdroj"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Zobrazit/skrýt rozšířené možnosti (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Vložit značku pro pokračování textu (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Vložit značku pro rozdělení stránky (Alt + Shift + P)"
"More...","Celý příspěvek..."
"Next page...","Další stránka..."
"Add Media","Mediální soubory"
"Add an Image","Přidat obrázek"
"Add Video","Přidat video"
"Add Audio","Přidat audio"
"Edit Gallery","Upravit galerii"
"Delete Gallery","Smazat galerii"
"Distraction Free Writing mode (Alt + Shift + W)","Režim nevyrušovaného psaní (Alt + Shift + W)"
"Edit Image","Upravit obrázek"
"Delete Image","Smazat obrázek"
"Advanced Settings","Rozšířená nastavení"
"Size","Velikost"
"Thumbnail","Náhled"
"Medium","Střední"
"Full Size","Původní velikost"
"Current Link","Aktuální odkaz"
"Link to Image","Odkaz na obrázek"
"Enter a link URL or click above for presets.","Vložte ručně URL odkazu nebo klikněte na výše nabízené možnosti."
"Advanced Image Settings","Rozšířená nastavení obrázku"
"Width","Šířka"
"Height","Výška"
"Original Size","Původní velikost"
"CSS Class","CSS třída"
"Advanced Link Settings","Rozšířená nastavení odkazů"
"Link Rel","Rel odkazu"
"60%s","60 %s"
"70%s","70 %s"
"80%s","80 %s"
"90%s","90 %s"
"100%s","100 %s"
"110%s","110 %s"
"120%s","120 %s"
"130%s","130 %s"
"Caption","Titulek"
"Alternative Text","Alternativní text"
"Rich Editor Help","Nápověda k editoru"
"Basics of Rich Editing","Základy práce s editorem"
"Basics","Úvod"
"Advanced use of the Rich Editor","Pokročilé možnosti vizuálního editoru"
"Hotkeys","Klávesové zkratky"
"About the software","Podrobnosti o programu"
"Rich Editing Basics","Základy práce s editorem"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Vizuální editor</em> (označovaný také zkratkou WYSIWYG) je online nástroj, s jehož pomocí můžete snadno vytvářet, upravovat a formátovat text, a to uživatelsky velmi příjemnou formou prostřednictvím příslušných grafických ikon. Pracovní verze textu z tohoto editoru je pak vzhledově skoro stejná jako zobrazená verze na webu. Zatímco se tedy můžete soustředit hlavně na samotný obsah, vizuální editor automaticky vytvoří příslušný HTML kód, který je uložen do databáze a následně zobrazován. Na webu se tedy objeví např. stejný styl písma, odkazy či obrázky tak, jak jste si to nastavili ve vizuálním editoru."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","Součástí WordPressu je kvalitní vizuální editor TinyMCE, který bez problémů funguje ve všech nejpoužívanějších internetových prohlížečích. Další úpravy automaticky vytvořeného HTML kódu už jsou pak složitější než jednoduché psaní textu v editoru. Každá internetová stránka se skládá ze dvou hlavních složek: struktury a vzhledu. Struktura je definována pomocí aktuálního HTML kódu, který vzniká automaticky při použití vizuálního editoru (nebo ho můžete zadávat přímo). Konkrétní vzhled webu je pak určován aktuálně zvolenou šablonou, respektive definovanými kaskádovými styly (CSS) v souboru style.css. WordPress automaticky generuje validní kód podle specifikace XHTML 1.0, což znamená, že např. vložení několika nových řádků (zalomení) hned po sobě (značka BR) za nějakým odstavcem nevytvoří očekávanou větší mezeru, ale naopak budou tyto značky automaticky odstraněny, protože nejsou v tomto případě považovány za validní."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Pokud používáte vizuální editor, funguje v něm většina běžných klávesových zkratek stejně jako v jiných textových editorech (Word, Poznámkový blok). Například: Shift+Enter = zalomit řádek, Ctrl+C = kopírovat, Ctrl+X = vyjmout, Ctrl+Z = vrátit provedenou akci zpět, Ctrl+Y = opakovat předchozí akci, Ctrl+A = vybrat vše. Pokud používáte operační systém Mac OS X, použijte pro tyto zkratky klávesu Command místo Ctrl. Pro bližší informace o dostupných klávesových zkratkách se podívejte na jejich přehled."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Nechcete-li vizuální editor používat, můžete si ho vypnout v administraci -  menu Uživatelé, položka Profil."
"Advanced Rich Editing","Pokročilé možnosti vizuálního editoru"
"Images and Attachments","Obrázky a další přílohy"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Panel nástrojů vizuálního editoru obsahuje i tlačítko pro snadné vkládání obrázků, které jsou uloženy někde na internetu. Pokud tedy znáte přesnou adresu obrázku, můžete kliknout na toto tlačítko a vložit URL adresu do příslušného pole."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Pokud chcete nahrát na web obrázek nebo nějaký jiný mediální soubor přímo ze svého počítače, stačí pouze kliknout na tlačítko \"Mediální soubory\", které je umístěné přímo nad samotným editorem. Okamžitě se zobrazí nové okno s dalšími funkcemi Knihovny médií, kde můžete vybraný obrázek jednoduše nahrát a WordPress se přitom ještě pokusí automaticky vytvořit zmenšený náhled. Abyste mohli následně obrázek vložit do příspěvku, musíte nejdříve kliknout na vytvořený náhled, čímž zobrazíte další možnosti nastavení. Až budete mít všechno potřebné připraveno, stačí už jen použít tlačítko \"Vložit do příspěvku\" a nahraný obrázek se objeví na zvoleném místě příspěvku."
"HTML in the Rich Editor","Použití HTML kódu v editoru"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Pokud vložíte libovolný HTML kód do vizuálního editoru, tak se bude na webu zobrazovat jako normální text. Stejně jako to uvidíte zobrazené v editoru, tak to bude vypadat i přímo na webu. Když budete ale potřebovat vložit do textu nějaký HTML prvek, který nelze vytvořit běžnou cestou pomocí grafických ikonek panelu nástrojů vizuálního editoru (např. různé tabulky nebo označení zdrojového kódu &lt;code&gt;), musíte ho ručně zapsat, a to až po přepnutí z vizuálního editoru na záložku HTML. Následně můžete přepnout zpět do vizuálního editoru a pokud bude HTML kód správný a pro editor srozumitelný, automaticky se zobrazí jeho vizuální podoba."
"Pasting in the Rich Editor","Vkládání textu do vizuálního editoru"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Když budete chtít vložit do příspěvku nějaký zkopírovaný text z jiné internetové stránky, výsledek nemusí být bohužel vždy takový, jak byste očekávali, protože vše závisí i na používaném internetovém prohlížeči a zdrojové stránce. Vizuální editor se sice pokouší automaticky opravovat neplatný HTML kód, ale pokud chcete při vkládání kopírovaného obsahu dosáhnout co nejlepších výsledků, použijte raději záložku pro úpravy HTML kódu nebo jedno z tlačítek určené pro různé způsoby vkládání kopírovaného textu (nachází se ve druhé řádě panelu nástrojů). Můžete také vyzkoušet postupně kopírovat jednotlivé odstavce, ve většině internetových prohlížečů je možné vybraný odstavec na webu označit tak, že třikrát za sebou rychle kliknete ukazatelem myši (tzv. trojklik)."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Vkládání kopírovaného obsahu z jiných aplikací (např. Word či Excel) je nejlepší provádět prostřednictvím speciálního tlačítka \"Vložit text z Wordu\", které naleznete v druhé řadě panelu nástrojů vizuálního editoru."
"Writing at Full Speed","Zrychlení práce s editorem"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Pokud neradi zbytečně pohybujete myší, můžete používat při práci s vizuálním editorem klávesové zkratky. Uživatelé operačních systémů Windows a Linux mohou používat zkratky ve tvaru Ctrl + písmeno a uživatelé systému Macintosh zase Command + písmeno."
"Letter","Klávesa"
"Action","Akce"
"Select all","Vybrat vše"
"Undo","Zpět"
"Redo","Znovu"
"Bold","Tučné"
"Italic","Kurzíva"
"The following shortcuts use different access keys: Alt + Shift + letter.","Následující klávesové zkratky využívají odlišné kombinace kláves: Alt + Shift + písmeno."
"Check Spelling","Kontrola pravopisu"
"Align Left","Zarovnat doleva"
"Justify Text","Zarovnat do bloku"
"Align Center","Zarovnat na střed"
"Strikethrough","Přeškrtnout"
"Align Right","Zarovnat doprava"
"Insert link","Vložit odkaz"
"Remove link","Odstranit odkaz"
"Quote","Citace"
"Insert Image","Vložit obrázek"
"Distraction Free Writing mode","Režim nevyrušovaného psaní"
"Insert More Tag","Vložit značku pro pokračování textu"
"Insert Page Break tag","Vložit značku pro rozdělení stránky"
"Editor width in Distraction Free Writing mode:","Klávesové zkratky lze použít i pro nastavení šířky vizuálního editoru v režimu nevyrušovaného psaní:"
"Wider","Rozšířit"
"Narrower","Zúžit"
"Default width","Výchozí šířka"
"Version:",""
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE je oblíbený WYSIWYG editor, který je založen na Javascriptu a HTML a funguje nezávisle na používané webové aplikaci. Anglická zkratka \"What You See Is What You Get\" odpovídá volnému překladu \"Stejně jako to uvidíte zobrazené v editoru, tak to bude vypadat i přímo na webu\" a editor je tedy využíván zejména k zobrazování obsahu textových polí nebo jiných HTML prvků ve vizuálně přehledné podobě, která je současně automaticky převáděna na validní HTML kód. Tento vizuální editor je šířen v podobě programu s otevřeným zdrojovým kódem (Open Source) pod licencí %sLGPL</a> a je pravidelně aktualizován společností Moxiecode Systems AB."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003−2012, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>. Všechna práva vyhrazena."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Další informace o programu naleznete na internetových stránkách <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE</a>."
"Got Moxie?","Nechcete to zkusit?"
"Comments Feed","RSS komentářů"
"Edit This","Upravit"
"Edit comment","Upravit komentář"
"Edit Link","Upravit odkaz"
"Use commas instead of %s to separate excluded categories.","Jako oddělovač jednotlivých rubrik zařazených do seznamu všech vyloučených použijte raději jednoduchou čárku místo původního %s."
"Previous Post","Předchozí příspěvek"
"Next Post","Následující příspěvek"
"Newer Comments &raquo;","Novější komentáře &raquo;"
"&laquo; Older Comments","&laquo; Starší komentáře"
"This is the short link.","Zkrácený odkaz."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Váš server používá PHP verze %s, ale WordPress %s vyžaduje alespoň %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Ve vaší instalaci PHP patrně chybí rozšíření MySQL, které je však pro fungování WordPressu vyžadováno."
"Maintenance","Režim údržby webu"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Web je dočasně nedostupný kvůli plánované údržbě. Zkuste to prosím za chvíli znovu."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>CHYBA</strong>: <code>$table_prefix</code> v souboru <code>wp-config.php</code> může obsahovat pouze písmena, čísla a podtržítka."
"The site you have requested is not installed properly. Please contact the system administrator.","Požadovaný web není správně nainstalován. Kontaktujte prosím systémového administrátora vašeho serveru."
"S_Sunday_initial","Ne"
"M_Monday_initial","Po"
"T_Tuesday_initial","Út"
"W_Wednesday_initial","St"
"T_Thursday_initial","Čt"
"F_Friday_initial","Pá"
"S_Saturday_initial","So"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Přetáhnout soubory z počítače"
"Upload Limit Exceeded","Vyhrazený prostor pro nahrávání souborů byl vyčerpán"
"Drop files anywhere to upload","Přetáhnout soubory z počítače"
"Select Files","Vybrat soubory"
"Maximum upload file size: %d%s.","Maximální velikost nahrávaného souboru: %d %s."
