"New password","新規パスワード"
"Delete Image","画像を削除"
"Advanced Settings","詳細設定"
"Size","サイズ"
"Thumbnail","サムネイル"
"Medium","普通"
"Full Size","フルサイズ"
"Current Link","現在のリンク"
"Link to Image","画像にリンクを張る"
"Enter a link URL or click above for presets.","リンク URL を入力するか、または上のいずれかをクリックしてください。"
"Advanced Image Settings","詳細画像設定"
"Width","幅"
"Height","高さ"
"Original Size","元のサイズ"
"CSS Class","CSS クラス"
"Advanced Link Settings","詳細リンク設定"
"Link Rel","リンク rel"
"Caption","キャプション"
"Alternative Text","代替テキスト"
"Rich Editor Help","リッチエディターのヘルプ"
"Basics of Rich Editing","リッチエディターの基本情報"
"Basics","基本情報"
"Advanced use of the Rich Editor","リッチエディターの詳細"
"Hotkeys","ホットキー"
"About the software","このソフトウェアについて"
"Rich Editing Basics","リッチエディットの基本情報"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>リッチエディット</em>は WYSIWYG (What You See Is What You Get) とも呼ばれ、テキストを入力すると自動的にそのテキストがフォーマットされます。このリッチエディターはあなたがテキストを書いている間、その後ろで HTML コードを作成します。フォントスタイル、リンク、そして画像が通常インターネット上で見るのと同じように表示されます。"
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress には今日の主要な Web ブラウザすべてで作動するリッチエディターが組み込まれています。ただし、HTML の編集は普通のテキストのそれとは違う点が多いということを常に意識してください。ウェブページは2つの主要な構成要素から成り立っています。ひとつは「構造」です。構造はエディター上で作成される HTML コードそのものです。もうひとつは「表現」です。表現は現在選択されている WordPress テーマにより適用され、style.css により定義されます。WordPress は妥当な (valid) XHTML 1.0 を出力します。したがって、パラグラフの後に複数の改行 (BR タグ) を挿入してもウェブページ上に空白スペースが作られることはありません。内部の HTML 修正機能が BR タグを正しくないものとして取り去ってしまうでしょう。"
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","他のテキストエディターがサポートするようなキーボードショートカットは、基本的なものはどれも使用できるようになっています。たとえば、Shift+Enter で改行を挿入、Ctrl+C でコピー、Ctrl+X でカット、Ctrl+Z で元に戻す、Ctrl+Y でやり直し、Ctrl+A ですべて選択、など (Mac の場合は Ctrl の代わりに Command キーを使います)。利用可能なすべてのキーボードショートカットは「ホットキー」タブでご確認ください。"
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","もしこのリッチエディターが気に入らなければ、管理画面の「ユーザー」設定の「あなたのプロフィール」でこの機能を無効にできます。"
"Advanced Rich Editing","リッチエディターの詳細"
"Images and Attachments","画像とファイル"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","インターネット上にアップロード済みの画像を挿入するためのボタンがエディターツールバーにあります。その画像の URL がお分かりなら、このボタンをクリックして表示されるボックスにその URL を入力してください。"
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","お使いのコンピュータから画像ファイルなどのメディアファイルをアップロードする必要がある場合は、エディターの上にあるメディアライブラリボタンを使用できます。メディアライブラリは、アップロードされた各画像からサムネイルサイズのコピーを作成しようとします。アップロードした画像を投稿に挿入するには、まずサムネイルをクリックしてオプションメニューを表示してください。オプションを選択して「投稿に挿入」をクリックすると、その画像またはファイルが編集中の投稿に現れます。"
"HTML in the Rich Editor","リッチエディター内の HTML"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","リッチエディターに直接入力した HTML コードは、投稿が表示される際にテキストとして表示されます。管理画面で見えているものが、投稿でもそのまま表示されるということです。ツールバーボタンで入力できない HTML の要素を使いたい場合は、テキストエディターを使ってて入力する必要があります。たとえば、テーブルや &lt;code&gt; などです。まずはテキストエディターのタブをクリックして、コードを編集し、それからビジュアルモードに戻ってみましょう。コードが有効でありエディターが理解できるものであれば、その場でレンダリングされたものを見ることができます。"
"Pasting in the Rich Editor","リッチエディターへのペースト"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","別のウェブページからコンテンツをペーストすると、ブラウザや元のウェブページによって不整合が起きることがあります。エディターは、ペーストされた無効な HTML コードを修正しようとします。が、テキストタブを使うか二行目にあるペーストボタンを利用してみるのが最もよいやり方です。または、段落ごとにひとつひとつペーストしてみましょう。多くのブラウザでは、トリプルクリックをすると段落を選択できます。"
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Word や Excel など、別のアプリケーションからコンテンツをペーストする場合、二行目にある「Word からペースト」ボタンを使うか、テキストモードを使うとうまくいきます。"
"Writing at Full Speed","フルスピードで入力"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","ツールバーをクリックするためにマウスに手を伸ばすよりも次のアクセスキーを使用してみましょう。Windows と Linux では Ctrl + 文字、Macintosh では Command + 文字を使用します。"
"Letter","キー"
"Action","操作"
"Select all","すべて選択"
"Undo","取り消し"
"Redo","やり直し"
"Bold","太字"
"Italic","イタリック"
"The following shortcuts use different access keys: Alt + Shift + letter.","以下のショートカットは異なるアクセスキーを使用します: Alt + Shift + 文字"
"Check Spelling","スペルをチェック"
"Align Left","左揃え"
"Justify Text","均等割り付け"
"Align Center","中央揃え"
"Strikethrough","打ち消し"
"Align Right","右揃え"
"Insert link","リンクの挿入"
"Remove link","リンクの削除"
"Quote","引用"
"Insert Image","画像の挿入"
"Distraction Free Writing mode","集中執筆モード"
"Insert More Tag","More タグを挿入"
"Insert Page Break tag","Page Break タグを挿入"
"Editor width in Distraction Free Writing mode:","集中執筆モードのエディター幅:"
"Wider","幅を広げる"
"Narrower","幅を狭める"
"Default width","デフォルトの幅"
"Version:","バージョン:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE は Moxiecode Systems AB によって %sLGPL</a> に基づくオープンソースとして公開されている、プラットフォームに依存しないウェブベースの Javascript HTML WYSIWYG エディターです。HTML テキストエリアなどの HTML 要素をエディタインスタンスに変換できるようになっています。"
"GNU Library General Public License","GNU ライブラリ一般公衆利用許諾契約書"
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","このソフトウェアについての詳しい情報は、<a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE のサイト</a>をご覧ください。"
"Comments Feed","コメントフィード"
"Edit This","編集"
"Edit comment","コメント編集"
"Edit Link","リンクの編集"
"Use commas instead of %s to separate excluded categories.","カテゴリーを区切るには「%s」ではなく半角英字のカンマを使ってください。"
"Previous Post","過去の投稿へ"
"Next Post","次の投稿へ"
"Newer Comments &raquo;","新しいコメント &raquo;"
"&laquo; Older Comments","&laquo; 古いコメント"
"This is the short link.","これは短縮 URL です。"
"Your server is running PHP version %s but WordPress %s requires at least %s.","サーバーの PHP バージョンは %s ですが WordPress %s は %s 以上のみでご利用になれます。"
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","お使いのサーバーの PHP では WordPress に必要な MySQL 拡張を利用できないようです。"
"Maintenance","メンテナンス"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","現在メンテナンス中のため、しばらくの間ご利用いただけません。"
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>エラー</strong>: <code>wp-config.php</code> 内の <code>$table_prefix</code> には半角英数字と下線のみしか使えません。"
"The site you have requested is not installed properly. Please contact the system administrator.","リクエストされたサイトは正常にインストールされていません。システム管理者にお問い合わせください。"
"S_Sunday_initial","日_Sunday_initial"
"M_Monday_initial","月_Monday_initial"
"T_Tuesday_initial","火_Tuesday_initial"
"W_Wednesday_initial","水_Wednesday_initial"
"T_Thursday_initial","木_Thursday_initial"
"F_Friday_initial","金_Friday_initial"
"S_Saturday_initial","土_Saturday_initial"
"Drop files to upload","ファイルをドロップしてアップロード"
"Upload Limit Exceeded","アップロード上限超過"
"Drop files anywhere to upload","アップロードするファイルをドロップ"
"Select Files","ファイルを選択"
"Maximum upload file size: %d%s.","最大アップロードファイルサイズ: %d%s。"
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","お使いのブラウザーは、複数ファイルアップローダーを使って大きなファイルをアップロードすることができません。 100MBを超えるファイルには<a href=\"%s\" target=\"%s\">ブラウザーアップローダー</a>を使ってください。 "
"Uploading","アップロード中"
"Dismiss Errors","エラーを非表示にする"
"Error","エラー "
"Deselect","選択を解除"
"Caption this image&hellip;","この画像のキャプション"
"Describe this video&hellip;","このビデオの説明を書く"
"Describe this audio file&hellip;","この音声の説明を書く"
"Describe this media file&hellip;","このメディアの説明を書く"
"Attachment Details","添付ファイルの詳細"
"Refresh","再読み込み"
"Delete Permanently","完全に削除する"
"Alt Text","代替テキスト"
"Description","説明"
"Edit","編集"
"Clear","クリア"
"Attachment Display Settings","添付ファイルの表示設定"
"Link To","リンク先"
"Custom URL","カスタム URL"
"Attachment Page","添付ファイルのページ"
"Media File","メディアファイル"
"Large","大サイズ"
"Gallery Settings","ギャラリーの設定"
"Columns","カラム"
"Random Order","ランダム"
"No editor could be selected.","エディターを選択できませんでした。"
"Allowed Files","アップロードできるファイル"
"Select","選択"
"%d selected","%d点を選択済"
"Drag and drop to reorder images.","画像を並べ替えるにはドラッグ & ドロップ操作をしてください。"
"Upload Files","ファイルをアップロード"
"Upload Images","画像をアップロード"
"Media Library","メディアライブラリ"
"Insert Media","メディアを挿入"
"Create a new gallery","ギャラリーを作成"
"&#8592; Return to library","&#8592; ライブラリへ戻る"
"All media items","すべてのメディア"
"No items found.","アイテムは見つかりませんでした。"
"Insert into page","固定ページに挿入"
"Insert into post","投稿に挿入"
"Uploaded to this page","この固定ページへのアップロード"
"Uploaded to this post","この投稿へのアップロード"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","この項目を完全に削除しようとしています。\n中止するには 'キャンセル' を、削除するには 'OK' をクリックしてください。"
"Insert from URL","URL から挿入"
"Set Featured Image","アイキャッチ画像を設定"
"Set featured image","アイキャッチ画像を設定"
"Create Gallery","ギャラリーを作成"
"&#8592; Cancel Gallery","&#8592; ギャラリーをキャンセル"
"Insert gallery","ギャラリーを挿入"
"Update gallery","ギャラリーを更新"
"Add to gallery","ギャラリーに追加"
"Add to Gallery","ギャラリーに追加"
"Reverse order","順序を逆にする"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","定数 <code>VHOST</code> は<strong>廃止予定です</strong>。サブドメインの設定は、wp-config.php の中で二値定数 <code>SUBDOMAIN_INSTALL</code> で行ってください。is_subdomain_install() を用いて、サブドメインが有効かどうかチェックできます。"
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>定数 VHOST と 定数 SUBDOMAIN_INSTALL が矛盾しています。</strong> SUBDOMAIN_INSTALL の値はサブドメインの設定と合わせてください。"
"The requested user does not exist.","リクエストされたユーザーが見つかりません。"
"That user does not exist.","選択したユーザーが見つかりません。"
"<strong>ERROR</strong>: Site URL already taken.","<strong>エラー</strong>: そのサイト URL はすでに使われています。"
"<strong>ERROR</strong>: problem creating site entry.","<strong>エラー</strong>: サイトエントリーの作成中に問題が発生しました。"
"Only lowercase letters (a-z) and numbers are allowed.","a-z の半角英数字の小文字と数字のみが使えます。"
"Please enter a username.","ユーザー名を入力してください。"
"That username is not allowed.","そのユーザー名は利用できません。"
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","私たちからのメールがブロックされることがあるため、そのメールアドレスはユーザー登録に使用できません。別のプロバイダーのメールアドレスを使用してください。"
"Username must be at least 4 characters.","ユーザー名は4文字以上必要です。"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","ユーザー名に '_' (アンダーバー) を含めることはできません !"
"Sorry, usernames must have letters too!","ユーザー名には半角英字の小文字を含めてください !"
"Please enter a valid email address.","有効なメールアドレスを入力してください。"
"Sorry, that email address is not allowed!","そのメールアドレスでは登録できません !"
"Sorry, that username already exists!","このユーザー名はすでに使用されています !"
"Sorry, that email address is already used!","このメールアドレスはすでに使用されています !"
"That username is currently reserved but may be available in a couple of days.","このユーザー名は別の方が予約中ですが、数日すれば利用できるようになるかもしれません。"
"username and email used","このユーザー名とメールアドレスは使用されています"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","このメールアドレスはすでに使用されています。登録お知らせメールが届いていないか受信トレイを確認してください。数日以内に有効化されなければ、再びこのメールアドレスをユーザー登録に使用できるようになります。"
"Please enter a site name.","サイト名を入力してください。"
"That name is not allowed.","その名称は利用できません。"
"Site name must be at least 4 characters.","サイト名は4文字以上必要です。"
"Sorry, site names may not contain the character &#8220;_&#8221;!","サイト名に '_' (アンダーバー) を含めることはできません !"
"Sorry, you may not use that site name.","このサイト名は使えません。"
"Sorry, site names must have letters too!","サイト名には半角アルファベットを含めてください !"
"Please enter a site title.","サイトタイトルを入力してください。"
"Sorry, that site already exists!","このサイト名はすでに使用されています !"
"Sorry, that site is reserved!","このサイト名は予約済みです !"
