"New password","Nova senha"
"Site registration has been disabled.","A criação de sites foi desactivada."
"Sorry, new registrations are not allowed at this time.","Por agora não são permitidos novos registos."
"You are logged in already. No need to register again!","Já tem a sessão iniciada. Não é preciso registar-se outra vez!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>O site que procurava, <strong>%s</strong>, não existe. Mas pode criá-lo agora!</em></p>"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>O site que procura, <strong>%s</strong> não existe</em>.</p>"
"Learn word","Aprender palavra"
"Insert Page Break","Inserir Quebra de Página"
"Types","Tipos"
"Circle","Círculo"
"Disc","Disco"
"Square","Quadrado"
"Rich Text Area","Área de texto rico"
"Words:","Palavras:"
"Styles","Estilos"
"Font size","Tamanho da letra"
"Font family","Tipo de letra"
"Format","Formato"
"Paragraph","Parágrafo"
"Address","Endereço"
"Preformatted","Préformatado"
"Heading 1","Cabeçalho 1"
"Heading 2","Cabeçalho 2"
"Heading 3","Cabeçalho 3"
"Heading 4","Cabeçalho 4"
"Heading 5","Cabeçalho 5"
"Heading 6","Cabeçalho 6"
"Blockquote","Citação"
"Code","Código"
"Code sample","Amostra de código"
"Definition term","Definição"
"Definition description","Descrição da definição"
"Underline","Sublinhado"
"Strikethrough (Alt + Shift + D)","Rasurado (Alt + Shift + D)"
"Align Left (Alt + Shift + L)","Alinhar à esquerda (Alt + Shift + L)"
"Align Center (Alt + Shift + C)","Alinhar ao centro (Alt + Shift + C)"
"Align Right (Alt + Shift + R)","Alinhar à direita (Alt + Shift + R)"
"Align Full (Alt + Shift + J)","Justificar (Alt + Shift + J)"
"Outdent","Desindentar"
"Indent","Indentar"
"Undo (Ctrl + Z)","Desfazer (Ctrl + Z)"
"Redo (Ctrl + Y)","Refazer (Ctrl + Y)"
"Cleanup messy code","Limpar código"
"Edit HTML Source","Editar HTML"
"Subscript","Subescrito"
"Superscript","Sobescrito"
"Insert horizontal ruler","Inserir linha horizontal"
"Remove formatting","Remover formatação"
"Select text color","Seleccione a cor do texto"
"Select background color","Seleccione a cor de fundo"
"Insert custom character","Inserir símbolo"
"Toggle guidelines/invisible elements","Ligar/desligar elementos invisíveis"
"Insert/edit anchor","Inserir/editar &acirc;ncora"
"Cut","Cortar"
"Copy","Copiar"
"Paste","Colar"
"Image properties","Propriedades da imagem"
"New document","Novo documento"
"Help","Ajuda"
"Path","Caminho"
"Are you sure you want to clear all contents?","Tem a certeza que quer eliminar todo o conteúdo?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Ir directamente para as ferramentas - Alt+Q, ir directamente para o editor - Alt+Z, Ir directamente para o caminho de um elemento - Alt+X"
"Accessibility Help","Ajuda de acessibilidade"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Prima ALT F10 para a barra de ferramentas. Prima ALT 0 para ajuda."
"Toolbar","Barra de ferramentas"
"About TinyMCE","Acerca do TinyMCE"
"About","Acerca"
"License","Licença"
"Author","Autor"
"Version","Versão"
"Loaded plugins","Plugins carregados"
"Anchor name","Nome da âncora"
"HTML Source Editor","Editor de HTML"
"Word wrap","Translinear"
"Select a color","Escolha uma cor"
"Picker","Selecção"
"Color picker","Selecção de cores"
"Palette colors","Cores da palette"
"Named","por Nome"
"Named colors","Cores por nome"
"Color:","Cor:"
"Name:","Nome:"
"Select custom character","Selecionar caractere especial"
"Use left and right arrows to navigate.","Use as setas de esquerda/direita para navegar."
"Image URL","URL da imagem"
"Image description","Descrição da imagem"
"Image list","Lista de imagens"
"Border","Limite"
"Dimensions","Dimensões"
"Vertical space","Espaço vertical"
"Horizontal space","Espaço horizontal"
"Baseline","Base"
"Top","Topo"
"Middle","Meio"
"Bottom","Fundo"
"Text top","Topo do texto"
"Text bottom","Fundo do texto"
"Link URL","URL do Link"
"Target","Janela"
"Open link in the same window","Abrir link na mesma janela"
"Open link in a new window","Abrir link numa nova janela"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","O URL que indicou parece ser um endereço de correio electrónico. Quer adicionar o prefixo mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","O URL que indicou parece ser um link externo. Quer adicionar o prefixo http://?"
"Link list","Lista de links"
"General Usage","Utilização geral"
"General","Geral"
"Advanced","Avançadas"
"File/URL","Ficheiro/URL"
"List","Lista"
"Constrain proportions","Constrangir proporções"
"Type","Tipo"
"Name","Nome"
"V-Space","Espaço vertical"
"H-Space","Espaço horizontal"
"Auto play","Auto iniciar"
"Show menu","Mostrar menu"
"Quality","Qualidade"
"Scale","Escala"
"Align","Alinhar"
"Flashvars","Variáveis Flash (Flashvars)"
"Hidden","Invisível"
"Controller","Controlador"
"Kiosk mode","Modo quiosque"
"Play every frame","Tocar cada frame"
"Target cache","Cache alvo"
"No correction","Sem correcção"
"Enable JavaScript","Habilitar JavaScript"
"Start time","Tempo de início"
"End time","Fim"
"Choke speed","Velocidade de asfixiamento"
"Enabled","Activado"
"Fullscreen","Écrã inteiro"
"Invoke URLs","Invocar URLs"
"Mute","Mudo"
"Stretch to fit","Alargar ao tamanho"
"Windowless video","Video sem janela"
"Balance","Balanço"
"Base URL","URL Base"
"Captioning id","Id titulagem"
"Current marker","Marcador actual"
"Current position","Posição actual"
"Default frame","Frame por omissão"
"Play count","Total de visualizações"
"Rate","Velocidade"
"UI Mode","Modo UI"
"Flash options","Opções de Flash"
"QuickTime options","Opções do QuickTime"
"Windows media player options","Opções Windows Media Player"
"Real media player options","Opções Real Media Player"
"Shockwave options","Opções Shockwave"
"Auto goto URL","Ir para URL automaticamente"
"Image status","Estado da imagem"
"Maintain aspect","Manter aspecto"
"No java","Sem java"
"Prefetch","Précarregar"
"Console","Consola"
"Num loops","Nr. loops"
"Controls","Controlos"
"Script callbacks","Callbacks de script"
"Stretch style","Estilo do alargamento"
"Stretch H-Align","Alargar H-Align"
"Stretch V-Align","Alargar V-Align"
"Sound","Som"
"Progress","Progresso"
"QT Src","Fonte QT"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Recursos de rtsp em streaming devem ser adicionados ao campo Fonte QT, no separador Avançadas."
"Top left","Em cima à esquerda"
"Top right","Em cima à direita"
"Bottom left","Em baixo à esquerda"
"Bottom right","Em baixo à direita"
"Flash video options","Opções de Flash Video"
"Scale mode","Modo de escalonamento"
"Start image","Imagem inicial"
"Default volume","Volume por omissão"
"Hidden GUI","GUI Invisível"
"Show scale modes","Mostrar modos de escalonamento"
"Smooth video","Suavizar video"
"JS Callback","Callback JS"
"HTML5 Video Options","Opções de video HTML5"
"Alternative source 1","Origem alternativa 1"
"Alternative source 2","Origem alternativa 2"
"Preload","Précarregar"
"Poster","Autor"
"Source","Fonte"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Mostrar/esconder funções adicionais (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Inserir separador (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Inserir quebra de página (Alt + Shift + P)"
"More...","Mais..."
"Next page...","Página seguinte..."
"Add Media","Adicionar multimédia"
"Add an Image","Adicionar uma Imagem"
"Add Video","Adicionar Vídeo"
"Add Audio","Adicionar Áudio"
"Edit Gallery","Editar Galeria"
"Delete Gallery","Eliminar Galeria"
"Distraction Free Writing mode (Alt + Shift + W)","Modo de escrita sem distrações (Alt + Shift + W)"
"Edit Image","Editar imagem"
"Delete Image","Eliminar Imagem"
"Advanced Settings","Definições Avançadas"
"Size","Tamanho"
"Thumbnail","Miniatura"
"Medium","Média"
"Full Size","Tamanho Original"
"Current Link","Link Actual"
"Link to Image","Ligar à Imagem"
"Enter a link URL or click above for presets.","Introduza o URL do link ou clique acima para as predefinições"
"Advanced Image Settings","Definições Avançadas de Imagem"
"Width","Largura"
"Height","Altura"
"Original Size","Tamanho Original"
"CSS Class","Classe CSS"
"Advanced Link Settings","Definições Avançadas de Link"
"Caption","Legenda"
"Alternative Text","Texto alternativo"
"Rich Editor Help","Ajuda do Editor de Texto Formatado"
"Basics of Rich Editing","Noções Básicas de Edição de Texto Formatado"
"Basics","Noções Básicas"
"Advanced use of the Rich Editor","Utilização avançada do Editor de Texto Formatado"
"Hotkeys","Teclas de Acesso"
"About the software","Acerca do software"
"Rich Editing Basics","Noções Básicas de Edição de Texto Formatado"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","A <em>edição de texto formatado</em>, também denominada WYSIWYG (<em>What You See Is What You Get<em>, Aquilo Que Vê é Aquilo Que Obtém), significa que o texto é formatado à medida que o utilizador o escreve.  O editor cria o código HTML em segundo plano enquanto o utilizador se concentra na escrita. Estilos de tipos de letra, links e imagens aparecem aproximadamente como irão aparecer na Internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","O WordPress inclui um editor visual que funciona bem nos principais browsers actuais. No entanto, editar HTML não é o mesmo do que escrever texto. Cada página web tem dois componentes principais: a estrutura, que corresponde ao código HTML e que é criada pelo editor à medida que vai escrevendo e a apresentação que é determinada pelo tema de WordPress que está activo neste momento e pelo respectivo ficheiro style.css. O WordPress cria XHTML 1.0 válido o que quer dizer que inserir múltiplas quebras de linha (tags BR) a seguir a um parágrafo não vai produzir espaço em branco adicional na página. As tags BR são removidas como inválidas, pelas funções internas de correcção de HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Neste editor a maior parte das teclas de atalho funcionam como em qualquer outro editor. Por exemplo: Shift+Enter insere uma quebra de linha, Ctrl+C = copiar, Ctrl+X = cortar, Ctrl+Z = desfazer, Ctrl+Y = refazer, Ctrl+A = seleccionar tudo, etc. (no Mac use a tecla Command em vez de Ctrl). Veja no separador Teclas de Atalho todos os atalhos disponíveis."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Se não gosta do modo de funcionamento do editor visual, pode desligá-lo no seu Perfil, na opção Utlizadores do seu menu de administração."
"Advanced Rich Editing","Edição Avançada de Texto Formatado"
"Images and Attachments","Imagens e Anexos"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Existe um botão na barra de ferramentas do editor para inserir imagens que já estão alojadas algures na Internet. Se tiver o URL de uma imagem, clique neste botão para introduzir esse URL na caixa apresentada."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Se necessitar de carregar um ficheiro de imagem ou som a partir do computador, poderá utilizar o botão de Biblioteca multimédia, acima do editor. A ferramenta tentará criar uma imagem miniatura para cada imagem carregada. Para inserir a imagem carregada no artigo clique primeiro na miniatura, para que lhe seja apresentado um menu de opções. Quando tiver seleccionado as opções pretendidas, clique em \"Inserir no artigo\" e a imagem ou ficheiro irá aparecer no artigo em edição."
"HTML in the Rich Editor","HTML no Editor de Texto Formatado"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Todo o código HTML introduzido directamente no editor de texto formatado será apresentado como texto quando o artigo for visualizado. Aquilo que vê, é aquilo que obtém. Quando pretender incluir elementos HTML que não possam ser gerados com os botões da barra de ferramentas, deverá introduzi-los manualmente no editor HTML. Exemplos disso são tabelas e  &lt;code&gt;. Para o fazer, clique no botão HTML e edite o código, selecionando de seguida o modo Visual. Se o código for válido e compreendido pelo editor, será automaticamente apresentado."
"Pasting in the Rich Editor","A colar no Editor de Texto Formatado"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Quando cola conteúdo copiado de outra página na web, os resultados podem ser inconsistentes e muito dependentes do seu browser e da página de origem. O editor tenta corrigir HTML inválido que tenha sido colado, mas para garantir os melhores resultados, tente usar o editor de HTML ou um dos dois botões de colar que se encontram na segunda fila da barra de ferramentas. Em alternativa tente colar um parágrafo de cada vez. Na maioria dos browsers, para seleccionar um parágrafo, basta clicá-lo 3 vezes (triplo-clique)."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Para colar conteúdo de outra aplicação, como Word ou Excel, a melhor opção é usar o botão Colar do Word, na segunda linha, ou em modo Texto. "
"Writing at Full Speed","Escrevendo à velocidade máxima"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Em vez de usar o rato para clicar na barra de ferramentas, use as teclas de acesso rápido. Em Windows e Linux use Ctrl+letra. Em Macintosh use Command+letra."
"Letter","Letra"
"Action","Acção"
"Select all","Seleccionar tudo"
"Undo","Anular"
"Redo","Refazer"
"Bold","Negrito"
"Italic","Itálico"
"The following shortcuts use different access keys: Alt + Shift + letter.","Os seguintes atalhos usam teclas de acesso diferentes: Alt + Shift + letra."
"Check Spelling","Verificação Ortográfica"
"Align Left","Alinhar à Esquerda"
"Justify Text","Justificar Texto"
"Align Center","Alinhar ao Centro"
"Strikethrough","Rasurado"
"Align Right","Alinhar à Direita"
"Insert link","Inserir link"
"Remove link","Remover link"
"Quote","Citação"
"Insert Image","Inserir Imagem"
"Distraction Free Writing mode","Modo de escrita sem distrações"
"Insert More Tag","Inserir o separador Mais"
"Insert Page Break tag","Inserir quebra de página"
"Editor width in Distraction Free Writing mode:","Largura do editor no modo de escrita sem distrações:"
"Wider","Mais largo"
"Narrower","Mais estreito"
"Default width","Largura por omissão"
"Version:","Versão:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","O TinyMCE é um editor HTML WYSIWYG em Javascript, independente de plataforma, publicado como Open Source sob uma licença %sLGPL</a>\tpela Moxiecode Systems AB. Tem a capacidade de converter campos TEXTAREA ou outros elementos HTML em inst&acirc;ncias do editor."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2007, <a Href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Todos os direitos reservados."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Para mais informações sobre esta aplicação visite o <a href=\"http://tinymce.com\" target=\"_blank\">website TinyMCE</a>."
"Got Moxie?","Tem Moxie?"
"Comments Feed","Feed de Comentários"
"Edit This","Editar Isto"
"Edit comment","Editar Comentário"
"Edit Link","Editar Link"
"Use commas instead of %s to separate excluded categories.","Usar vírgulas em vez de %s para separar as categorias excluídas."
"Previous Post","Artigo anterior"
"Next Post","Artigo seguinte"
"Newer Comments &raquo;","Comentários mais recentes &raquo;"
"&laquo; Older Comments","&laquo; Comentários Mais Antigos"
"This is the short link.","Este é o link curto."
"Your server is running PHP version %s but WordPress %s requires at least %s.","O seu servidor está a correr o PHP na versão %s mas o WordPress %s necessita de, pelo menos, a versão %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","A sua instalação de PHP parece não ter a extensão MySQL, requerida pelo WordPress."
"Maintenance","Manutenção"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","De momento indisponível para uma breve manutenção agendada. Volte dentro de uns minutos."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERRO</strong>: O prefixo <code>$table_prefix</code> no ficheiro <code>wp-config.php</code> só pode conter dígitos, letras e underscores."
"The site you have requested is not installed properly. Please contact the system administrator.","O site que solicitou não está instalado correctamente. Por favor entre em contacto com o administrador do sistema."
"S_Sunday_initial","D"
"M_Monday_initial","S"
"T_Tuesday_initial","T"
"W_Wednesday_initial","Q"
"T_Thursday_initial","Q"
"F_Friday_initial","S"
"S_Saturday_initial","S"
"number_format_thousands_sep","."
"number_format_decimal_point",","
"Drop files to upload","Largue os ficheiros a carregar"
"Upload Limit Exceeded","Limite de carregamento excedido"
"Drop files anywhere to upload","Para carregar, largue os ficheiros em qualquer lugar, ou"
"Select Files","Selecione ficheiros"
"Maximum upload file size: %d%s.","Tamanho máximo de ficheiros: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","O seu browser tem algumas limitações no carregamento de múltiplos ficheiros. Por favor use o carregamento <a href=\"%s\" target=\"%s\">através do browser</a> para ficheiros acima dos 100Mb."
"Uploading","A carregar"
"Dismiss Errors","Descartar erros"
"Error","Erro"
"Deselect","Desmarcar"
"Caption this image&hellip;","Legenda desta imagem&hellip;"
"Describe this video&hellip;","Descreva este vídeo&hellip;"
"Describe this audio file&hellip;","Descreva este ficheiro de áudio&hellip;"
"Describe this media file&hellip;","Descreva este ficheiro multimédia&hellip;"
"Attachment Details","Detalhes do anexo"
"Refresh","Refrescar"
"Delete Permanently","Eliminar permanentemente"
"Alt Text","Texto alternativo"
"Description","Descrição"
"Edit","Editar"
"Clear","Limpar"
"Attachment Display Settings","Opções de visualização de anexos"
"Link To","Link para"
"Custom URL","URL personalizado"
"Attachment Page","Página de anexo"
"Media File","Ficheiro multimédia"
"Large","Grande"
"Gallery Settings","Opções de galerias"
"Columns","Colunas"
"Random Order","Ordem aleatória"
"No editor could be selected.","Nenhum editor pôde ser escolhido."
"Allowed Files","Ficheiros permitidos"
"Select","Seleccione"
"%d selected","%d selecionado(s)"
"Drag and drop to reorder images.","Arraste e largue as imagens para as ordenar"
"Upload Files","Carregar ficheiros"
"Upload Images","Carregar imagens"
"Media Library","Biblioteca multimédia"
"Insert Media","Inserir multimédia"
"Create a new gallery","Criar uma nova galeria"
"&#8592; Return to library","&#8592; Voltar à biblioteca"
"All media items","Todos os ficheiros multimédia"
"No items found.","Nenhum item encontrado."
"Insert into page","Inserir na página"
"Insert into post","Inserir no artigo"
"Uploaded to this page","Carregado nesta página"
"Uploaded to this post","Carregado neste artigo"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Está prestes a eliminar este item permanentemente.\n'Cancelar' para parar, 'Ok' para eliminar."
"Insert from URL","Inserir de um URL"
"Set Featured Image","Definir imagem de destaque"
"Set featured image","Definir imagem de destaque"
"Create Gallery","Criar galeria"
"&#8592; Cancel Gallery","&#8592; Cancelar galeria"
"Insert gallery","Inserir galeria"
"Update gallery","Actualizar a galeria"
"Add to gallery","Adicionar à galeria"
"Add to Gallery","Adicionar à galeria"
"Reverse order","Inverter ordem"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","A constante <code>VHOST</code> <strong>é obsoleta.</strong> Use a constante booleana <code>SUBDOMAIN_INSTALL</code> no wp-config.php para permitir uma configuração de sub-domínios. Use is_subdomain_install () para verificar se a configuração do sub-domínio está habilitada."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Valores em conflicto para as constantes VHOST e SUBDOMAIN_INSTALL.</strong> O valor de SUBDOMAIN_INSTALL será assumido como sendo a definição de configuração de sub-domínios."
"The requested user does not exist.","O utilizador solicitado não existe."
"That user does not exist.","Esse utilizador não existe."
"<strong>ERROR</strong>: Site URL already taken.","<strong>ERRO</strong>: Esse URL já está em uso."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ERRO</strong>: problema ao criar o site."
"Only lowercase letters (a-z) and numbers are allowed.","Apenas letras minúsculas (a-z) e números são permitidos."
"Please enter a username.","Indique um nome de utilizador."
"That username is not allowed.","Esse nome de utilizador não é permitido."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Não pode usar este endereço de correio electrónico para entrar. Estamos a ter problemas com o mesmo, dado que bloqueia alguns dos nossos emails. Por favor use outro servidor de correio electrónico."
"Username must be at least 4 characters.","O nome de utilizador deve ter pelo menos 4 caracteres."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Os nomes de utilizador não podem conter o caracter &#8220;_&#8221;!"
"Sorry, usernames must have letters too!","Os nomes de utilizador também têm de ter letras!"
"Please enter a valid email address.","Por favor insira um endereço de email válido."
"Sorry, that email address is not allowed!","Esse endereço de email não é permitido!"
"Sorry, that username already exists!","Esse nome de utilizador já existe!"
"Sorry, that email address is already used!","Esse endereço de email já está a ser usado!"
"That username is currently reserved but may be available in a couple of days.","Esse nome de utilizador está actualmente reservado, mas pode ficar disponível dentro de alguns dias."
"username and email used","nome de utilizador e email em utilização"
